变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,desc,jumpTo,languages
默认值,0,1,1,,,,0,{},TRUE,1,"""""","""""","""""",<cn;tw;en;en_us;en_eu;vn;th;kr>
ID,成就分类 1=人物成长 2=精灵收集 3=精灵培养 4=副本活动 5=竞技挑战 6=社交,任务目标类型,任务分类（客户端用）,任务目标参数(数量）,任务目标参数2（对应参数ID）,若是运营活动成就填yyID,获得成就点,任务奖励,是否显示（1显示 FALSE不显示）,任务顺序,标题,描述,跳转,语言区域
1001,1,,,40,,,20,{14=5;rmb=20},,,Rookie trainer,Attain Trainer level 40,10000,
1002,1,,,60,,,20,{14=5;rmb=30},,2,Intermediate Trainer,Attain Trainer level 60,10000,
1003,1,,,80,,,30,{14=10;rmb=30},,3,Advanced Trainer,Attain Trainer level 80,10000,
1004,1,,,99,,,30,{14=10;2000=1;rmb=30},,4,Golden Trainer,Attain Trainer level 99,10000,
1005,1,,,104,,,30,{14=20;rmb=100},,5,New Start,Attain Trainer level 104,10000,
1006,1,,,109,,,30,{14=30;rmb=100},FALSE,6,Adamant Trainer,Attain Trainer level 109,10000,
1007,1,,,114,,,30,{14=30;rmb=100},FALSE,7,Adamant Trainer,Attain Trainer level 114,10000,
1008,1,,,119,,,30,{14=30;rmb=100},FALSE,8,Adamant Trainer,Attain Trainer level 119,10000,
1009,1,2,2,3,,,15,{453=5;rmb=30},,,Qualified Adventurer,Adventure Pass reaches level 3,trainer,
1010,1,2,2,6,,,20,{453=5;rmb=30},,2,Heroic Adventurer,Adventure Pass reaches level 6,trainer,
1011,1,2,2,9,,,30,{453=5;rmb=30},,3,Gym Leader Adventurer,Adventure Pass reaches level 9,trainer,
1012,1,2,2,12,,,30,{453=5;rmb=30},,4,Overlord Adventurer,Adventure Pass reaches level 12,trainer,
1013,1,3,3,20,,,10,{453=10;rmb=30},,,Intensive training,Total privilege type point reaches level 20,trainer,
1014,1,3,3,50,,,10,{453=10;rmb=30},,2,Special Training,Total privilege type point reaches level 50,trainer,
1015,1,3,3,100,,,20,{453=10;rmb=50},,3,Advanced Training,Total privilege type point reaches level 100,trainer,
