变量名,describes,quality,describeStage,triggerTimes,triggerCondition,keyWords,aidID
默认值,"""""",1,"""""","""""","""""",<>,
ID,describes,quality,describeStage,triggerTimes,triggerCondition,keyWords,aidID
2161,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#100%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加1层【中毒Ⅰ】2回合,,开启助战技能,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2162,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#140%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加1层【中毒Ⅰ】2回合,2,伤害系数提升至140%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2163,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#140%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】2回合,3,对目标添加2层【中毒Ⅰ】2回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2164,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#180%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】2回合,4,伤害系数提升至180%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2165,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#180%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】3回合,5,【中毒】持续回合+1,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2166,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】3回合,6,伤害系数提升至220%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2167,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#220%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】3回合；同时令目标获得10%毒元素易伤1回合,7,同时令目标获得10%毒元素易伤1回合,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
2168,#L10#助战技能效果：#L0#对敌方十字范围造成#C0xE69900#260%物攻#C0x5B545B#+$(skillLevel*4*48*2)$的#C0xF13B54#物理伤害#C0x5B545B#，对目标添加2层【中毒Ⅰ】3回合；同时令目标获得10%毒元素易伤1回合,8,伤害系数提升至260%,#L10#助战触发次数：#L0#1次,#L10#助战触发条件：#L0#精灵释放必杀技时触发,<【中毒Ⅰ】>,161
