变量名,produceGate4,produceGate3,produceGate2,stackMax,name,quality,produceGate6,produceGate7,produceDesc,produceGate1,desc1,desc,icon,sortValue,sortType,type,switchNeedItemID,produceGate5,languages,switchCost,effBtn,pageTag,effect
默认值,"""""","""""","""""",9999,"""""",4,"""""","""""",暂无获得途径,"""""",主要用于进行精灵Z觉醒，但也可以用来提升极限属性，甚至作为超进化材料,一种无法合成精灵特殊的碎片,config/portrait/simple/img_249_lqy@.png,0,0,5,0,"""""",<cn;tw;en;en_us;en_eu;vn;th;kr>,{},<1>,<3>,{drawcard=FALSE;gain=FALSE}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
90001,,,,,Bulbasaur Aid Essence,,,,,,Exclusive material used to advance Bulbasaur's Aid breakthrough,Exclusive material used to advance Bulbasaur's Aid breakthrough,config/portrait/simple/img_1_mwzz@.png,,,,,,,,,,
90011,,,,,Charmander Aid Essence,,,,,,Exclusive material used to advance Charmander's Aid breakthrough,Exclusive material used to advance Charmander's Aid breakthrough,config/portrait/simple/img_4_xhl@.png,,,,,,,,,,
90021,,,,,Squirtle Aid Essence,,,,,,Exclusive material used to advance Squirtle's Aid breakthrough,Exclusive material used to advance Squirtle's Aid breakthrough,config/portrait/simple/img_7_jng@.png,,,,,,,,,,
90031,,,,,Caterpie Aid Essence,3,,,,,Exclusive material used to advance Caterpie's Aid breakthrough,Exclusive material used to advance Caterpie's Aid breakthrough,config/portrait/simple/img_10_lmc@.png,,,,,,,,,,
90041,,,,,Beedrill Aid Essence,3,,,,,Exclusive material used to advance Beedrill's Aid breakthrough,Exclusive material used to advance Beedrill's Aid breakthrough,config/portrait/simple/img_15_dzf@.png,,,,,,,,,,
90051,,,,,Pidgey Aid Essence,,,,,,Exclusive material used to advance Pidgey's Aid breakthrough,Exclusive material used to advance Pidgey's Aid breakthrough,config/portrait/simple/img_16_bb@.png,,,,,,,,,,
90061,,,,,Rattata Aid Essence,3,,,,,Exclusive material used to advance Rattata's Aid breakthrough,Exclusive material used to advance Rattata's Aid breakthrough,config/portrait/simple/img_19_xld@.png,,,,,,,,,,
90071,,,,,Spearow Aid Essence,3,,,,,Exclusive material used to advance Spearow's Aid breakthrough,Exclusive material used to advance Spearow's Aid breakthrough,config/portrait/simple/img_21_lq@.png,,,,,,,,,,
90081,,,,,Ekans Aid Essence,3,,,,,Exclusive material used to advance Ekans's Aid breakthrough,Exclusive material used to advance Ekans's Aid breakthrough,config/portrait/simple/img_23_abs@.png,,,,,,,,,,
90091,,,,,Pichu Aid Essence,,,,,,Exclusive material used to advance Pichu's Aid breakthrough,Exclusive material used to advance Pichu's Aid breakthrough,config/portrait/simple/img_172_pq@.png,,,,,,,,,,
90101,,,,,Sandshrew Aid Essence,3,,,,,Exclusive material used to advance Sandshrew's Aid breakthrough,Exclusive material used to advance Sandshrew's Aid breakthrough,config/portrait/simple/img_27_css@.png,,,,,,,,,,
90111,,,,,Nidoran♀ Aid Essence,3,,,,,Exclusive material used to advance Nidoran♀'s Aid breakthrough,Exclusive material used to advance Nidoran♀'s Aid breakthrough,config/portrait/simple/img_29_ndl@.png,,,,,,,,,,
90121,,,,,Nidoran♂ Aid Essence,3,,,,,Exclusive material used to advance Nidoran♂'s Aid breakthrough,Exclusive material used to advance Nidoran♂'s Aid breakthrough,config/portrait/simple/img_32_ndl@.png,,,,,,,,,,
90131,,,,,Cleffa Aid Essence,,,,,,Exclusive material used to advance Cleffa's Aid breakthrough,Exclusive material used to advance Cleffa's Aid breakthrough,config/portrait/simple/img_173_pbb@.png,,,,,,,,,,
90143,,,,,Alolan Vulpix Aid Essence,5,,,,,Exclusive material used to advance Vulpix's Aid breakthrough,Exclusive material used to advance Vulpix's Aid breakthrough,config/portrait/simple/img_37_alllw@.png,,,,171,,,,,,
90151,,,,,Igglybuff Aid Essence,,,,,,Exclusive material used to advance Igglybuff's Aid breakthrough,Exclusive material used to advance Igglybuff's Aid breakthrough,config/portrait/simple/img_174_bbd@.png,,,,,,,,,,
90161,,,,,Zubat Aid Essence,5,,,,,Exclusive material used to advance Zubat's Aid breakthrough,Exclusive material used to advance Zubat's Aid breakthrough,config/portrait/simple/img_41_cyf@.png,,,,171,,,,,,
90171,,,,,Oddish Aid Essence,3,,,,,Exclusive material used to advance Oddish's Aid breakthrough,Exclusive material used to advance Oddish's Aid breakthrough,config/portrait/simple/img_43_zlc@.png,,,,,,,,,,
90191,,,,,Venonat Aid Essence,3,,,,,Exclusive material used to advance Venonat's Aid breakthrough,Exclusive material used to advance Venonat's Aid breakthrough,config/portrait/simple/img_48_mq@.png,,,,,,,,,,
90211,,,,,Meowth Aid Essence,,,,,,Exclusive material used to advance Meowth's Aid breakthrough,Exclusive material used to advance Meowth's Aid breakthrough,config/portrait/simple/img_52_mm@.png,,,,,,,,,,
90221,,,,,Psyduck Aid Essence,,,,,,Exclusive material used to advance Psyduck's Aid breakthrough,Exclusive material used to advance Psyduck's Aid breakthrough,config/portrait/simple/img_54_kdy@.png,,,,,,,,,,
90231,,,,,Mankey Aid Essence,3,,,,,Exclusive material used to advance Mankey's Aid breakthrough,Exclusive material used to advance Mankey's Aid breakthrough,config/portrait/simple/img_56_hg@.png,,,,,,,,,,
90241,,,,,Growlithe Aid Essence,5,,,,,Exclusive material used to advance Growlithe's Aid breakthrough,Exclusive material used to advance Growlithe's Aid breakthrough,config/portrait/simple/img_58_kdg@.png,,,,171,,,,,,
90251,,,,,Poliwag Aid Essence,5,,,,,Exclusive material used to advance Poliwag's Aid breakthrough,Exclusive material used to advance Poliwag's Aid breakthrough,config/portrait/simple/img_60_wxkd@.png,,,,171,,,,,,
90261,,,,,Abra Aid Essence,5,,,,shop-15,Exclusive material used to advance Abra's Aid breakthrough,Exclusive material used to advance Abra's Aid breakthrough,config/portrait/simple/img_63_kx@.png,,,,171,,,,,,
90271,,,,,Machop Aid Essence,,,,,,Exclusive material used to advance Machop's Aid breakthrough,Exclusive material used to advance Machop's Aid breakthrough,config/portrait/simple/img_66_wl@.png,,,,,,,,,,
90281,,,,,Bellsprout Aid Essence,,,,,,Exclusive material used to advance Bellsprout's Aid breakthrough,Exclusive material used to advance Bellsprout's Aid breakthrough,config/portrait/simple/img_69_lby@.png,,,,,,,,,,
90301,,,,,Geodude Aid Essence,,,,,,Exclusive material used to advance Geodude's Aid breakthrough,Exclusive material used to advance Geodude's Aid breakthrough,config/portrait/simple/img_74_xqs@.png,,,,,,,,,,
90321,,,,,Slowpoke Aid Essence,5,,,,,Exclusive material used to advance Slowpoke's Aid breakthrough,Exclusive material used to advance Slowpoke's Aid breakthrough,config/portrait/simple/img_79_dds@.png,,,,171,,,,,,
90331,,,,,Magnemite Aid Essence,5,,,,,Exclusive material used to advance Magnemite's Aid breakthrough,Exclusive material used to advance Magnemite's Aid breakthrough,config/portrait/simple/img_81_xcg@.png,,,,171,,,,,,
90341,,,,,Farfetch'd Aid Essence,,,,,,Exclusive material used to advance Farfetch'd's Aid breakthrough,Exclusive material used to advance Farfetch'd's Aid breakthrough,config/portrait/simple/img_83_dcy@.png,,,,,,,,,,
