变量名,skillID,armID,stage,activeCondition,attrMap
默认值,0,0,0,<>,{}
ID,默认值,默认值,默认值,activeCondition,attrMap
101,,1,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
102,,1,2,<<5;7;3>>,{7=1%;8=1%}
103,76011,1,3,<<5;8;3>;<1;6;4>>,
104,,1,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
105,76012,1,5,<<6;11;3>;<1;11;4>>,
201,,2,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
202,,2,2,<<5;7;3>>,{7=1%;8=1%}
203,76021,2,3,<<5;8;3>;<1;6;4>>,
204,,2,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
205,76022,2,5,<<6;11;3>;<1;11;4>>,
301,,3,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
302,,3,2,<<5;7;3>>,{7=1%;8=1%}
303,76031,3,3,<<5;8;3>;<1;6;4>>,
304,,3,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
305,76032,3,5,<<6;11;3>;<1;11;4>>,
401,,4,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
402,,4,2,<<5;7;3>>,{7=1%;8=1%}
403,76041,4,3,<<5;8;3>;<1;6;4>>,
404,,4,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
405,76042,4,5,<<6;11;3>;<1;11;4>>,
501,,5,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
502,,5,2,<<5;7;3>>,{7=1%;8=1%}
503,76051,5,3,<<5;8;3>;<1;6;4>>,
504,,5,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
505,76052,5,5,<<6;11;3>;<1;11;4>>,
601,,6,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
602,,6,2,<<5;7;3>>,{7=1%;8=1%}
603,76061,6,3,<<5;8;3>;<1;6;4>>,
604,,6,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
605,76062,6,5,<<6;11;3>;<1;11;4>>,
701,,7,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
702,,7,2,<<5;7;3>>,{7=1%;8=1%}
703,76071,7,3,<<5;8;3>;<1;6;4>>,
704,,7,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
705,76072,7,5,<<6;11;3>;<1;11;4>>,
801,,8,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
802,,8,2,<<5;7;3>>,{7=1%;8=1%}
803,76081,8,3,<<5;8;3>;<1;6;4>>,
804,,8,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
805,76082,8,5,<<6;11;3>;<1;11;4>>,
901,,9,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
902,,9,2,<<5;7;3>>,{7=1%;8=1%}
903,76091,9,3,<<5;8;3>;<1;6;4>>,
904,,9,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
905,76092,9,5,<<6;11;3>;<1;11;4>>,
1001,,10,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1002,,10,2,<<5;7;3>>,{7=1%;8=1%}
1003,76101,10,3,<<5;8;3>;<1;6;4>>,
1004,,10,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1005,76102,10,5,<<6;11;3>;<1;11;4>>,
1101,,11,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1102,,11,2,<<5;7;3>>,{7=1%;8=1%}
1103,76111,11,3,<<5;8;3>;<1;6;4>>,
1104,,11,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1105,76112,11,5,<<6;11;3>;<1;11;4>>,
1201,,12,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1202,,12,2,<<5;7;3>>,{7=1%;8=1%}
1203,76121,12,3,<<5;8;3>;<1;6;4>>,
1204,,12,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1205,76122,12,5,<<6;11;3>;<1;11;4>>,
1301,,13,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1302,,13,2,<<5;7;3>>,{7=1%;8=1%}
1303,76131,13,3,<<5;8;3>;<1;6;4>>,
1304,,13,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1305,76132,13,5,<<6;11;3>;<1;11;4>>,
1401,,14,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1402,,14,2,<<5;7;3>>,{7=1%;8=1%}
1403,76141,14,3,<<5;8;3>;<1;6;4>>,
1404,,14,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1405,76142,14,5,<<6;11;3>;<1;11;4>>,
1501,,15,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1502,,15,2,<<5;7;3>>,{7=1%;8=1%}
1503,76151,15,3,<<5;8;3>;<1;6;4>>,
1504,,15,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1505,76152,15,5,<<6;11;3>;<1;11;4>>,
1601,,16,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1602,,16,2,<<5;7;3>>,{7=1%;8=1%}
1603,76161,16,3,<<5;8;3>;<1;6;4>>,
1604,,16,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1605,76162,16,5,<<6;11;3>;<1;11;4>>,
1701,,17,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1702,,17,2,<<5;7;3>>,{7=1%;8=1%}
1703,76171,17,3,<<5;8;3>;<1;6;4>>,
1704,,17,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1705,76172,17,5,<<6;11;3>;<1;11;4>>,
1801,,18,1,<<3;6;3>>,{1=1%;9=2%;10=2%}
1802,,18,2,<<5;7;3>>,{7=1%;8=1%}
1803,76181,18,3,<<5;8;3>;<1;6;4>>,
1804,,18,4,<<6;9;3>;<1;8;4>>,{1=1%;7=1%;8=1%;9=1%;10=1%;13=1%}
1805,76182,18,5,<<6;11;3>;<1;11;4>>,
