变量名,level,point,awards
默认值,0,9999,{}
ID,等级,所需积分,奖励{itemID=数量}
101,1,50,{133=5;7351=1;coin19=1000;gold=200000}
102,2,50,{133=5;7351=1;coin19=1000;gold=200000}
103,3,50,{133=10;7352=1;coin19=1000;gold=200000}
104,4,50,{133=5;7351=1;coin19=1000;gold=200000}
105,5,50,{133=5;7351=1;coin19=1000;gold=200000}
106,6,70,{133=10;7352=1;coin19=1250;gold=250000}
107,7,70,{133=5;7351=1;coin19=1250;gold=250000}
108,8,70,{133=5;7351=1;coin19=1250;gold=250000}
109,9,70,{133=5;7351=1;coin19=1250;gold=250000}
110,10,70,{133=10;7353=1;coin19=1250;gold=250000}
111,11,90,{133=5;7351=1;coin19=1500;gold=300000}
112,12,90,{133=5;7351=1;coin19=1500;gold=300000}
113,13,90,{133=10;7352=1;coin19=1500;gold=300000}
114,14,90,{133=5;7351=1;coin19=1500;gold=300000}
115,15,90,{133=5;7351=1;coin19=1500;gold=300000}
116,16,110,{133=10;7352=1;coin19=1750;gold=350000}
117,17,110,{133=5;7351=1;coin19=1750;gold=350000}
118,18,110,{133=5;7351=1;coin19=1750;gold=350000}
119,19,110,{133=5;7351=1;coin19=1750;gold=350000}
120,20,110,{133=10;7353=1;coin19=1750;gold=350000}
121,21,110,{133=5;7351=1;coin19=2000;gold=400000}
122,22,110,{133=5;7351=1;coin19=2000;gold=400000}
123,23,110,{133=10;7352=1;coin19=2000;gold=400000}
124,24,110,{133=5;7351=1;coin19=2000;gold=400000}
125,25,110,{133=5;7351=1;coin19=2000;gold=400000}
126,26,130,{133=10;7352=1;coin19=2250;gold=450000}
127,27,130,{133=5;7351=1;coin19=2250;gold=450000}
128,28,130,{133=5;7351=1;coin19=2250;gold=450000}
129,29,130,{133=5;7351=1;coin19=2250;gold=450000}
130,30,130,{133=10;7353=1;coin19=2250;gold=450000}
131,31,130,{133=5;7351=1;coin19=2500;gold=500000}
132,32,130,{133=5;7351=1;coin19=2500;gold=500000}
133,33,130,{133=10;7352=1;coin19=2500;gold=500000}
134,34,130,{133=5;7351=1;coin19=2500;gold=500000}
135,35,130,{133=5;7351=1;coin19=2500;gold=500000}
136,36,150,{133=10;7352=1;coin19=2750;gold=550000}
137,37,150,{133=5;7351=1;coin19=2750;gold=550000}
138,38,150,{133=5;7351=1;coin19=2750;gold=550000}
139,39,150,{133=5;7351=1;coin19=2750;gold=550000}
140,40,150,{133=10;7353=1;coin19=2750;gold=550000}
141,41,150,{133=5;7351=1;coin19=3000;gold=600000}
142,42,150,{133=5;7351=1;coin19=3000;gold=600000}
143,43,150,{133=10;7352=1;coin19=3000;gold=600000}
144,44,150,{133=5;7351=1;coin19=3000;gold=600000}
145,45,150,{133=5;7351=1;coin19=3000;gold=600000}
146,46,170,{133=10;7352=1;coin19=3250;gold=650000}
147,47,170,{133=5;7351=1;coin19=3250;gold=650000}
148,48,170,{133=5;7351=1;coin19=3250;gold=650000}
149,49,170,{133=5;7351=1;coin19=3250;gold=650000}
150,50,170,{133=10;7353=1;coin19=3250;gold=650000}
151,51,240,{133=5;7351=1;coin19=3500;gold=700000}
152,52,240,{133=5;7351=1;coin19=3500;gold=700000}
153,53,240,{133=10;7352=1;coin19=3500;gold=700000}
154,54,240,{133=5;7351=1;coin19=3500;gold=700000}
155,55,240,{133=5;7351=1;coin19=3500;gold=700000}
156,56,320,{133=10;7352=1;coin19=3750;gold=750000}
157,57,320,{133=5;7351=1;coin19=3750;gold=750000}
158,58,320,{133=5;7351=1;coin19=3750;gold=750000}
159,59,320,{133=5;7351=1;coin19=3750;gold=750000}
160,60,320,{133=10;7353=1;coin19=3750;gold=750000}
161,61,410,{133=5;7351=1;coin19=4000;gold=800000}
162,62,410,{133=5;7351=1;coin19=4000;gold=800000}
163,63,410,{133=10;7352=1;coin19=4000;gold=800000}
164,64,410,{133=5;7351=1;coin19=4000;gold=800000}
165,65,410,{133=5;7351=1;coin19=4000;gold=800000}
166,66,510,{133=10;7353=1;coin19=4250;gold=850000}
167,67,510,{133=5;7351=1;coin19=4250;gold=850000}
168,68,510,{133=5;7351=1;coin19=4250;gold=850000}
169,69,510,{133=5;7351=1;coin19=4250;gold=850000}
170,70,510,{133=10;7353=1;coin19=4250;gold=850000}
171,71,620,{133=5;7351=1;coin19=4500;gold=900000}
172,72,620,{133=5;7351=1;coin19=4500;gold=900000}
173,73,620,{133=10;7352=1;coin19=4500;gold=900000}
174,74,620,{133=5;7351=1;coin19=4500;gold=900000}
175,75,620,{133=5;7351=1;coin19=4500;gold=900000}
176,76,740,{133=10;7353=1;coin19=4750;gold=950000}
177,77,740,{133=5;7351=1;coin19=4750;gold=950000}
178,78,740,{133=5;7351=1;coin19=4750;gold=950000}
179,79,740,{133=5;7351=1;coin19=4750;gold=950000}
180,80,740,{133=10;7353=1;coin19=4750;gold=950000}
