变量名,resumeCount2,timesLimit2,timesLimit,newbieTimes,failCdTimes,refreshDay2,resumeCount,trainers,pvpWinPoint,pvpDamagePoint,pveHpPoint,pveCoinPoint,failWeight,failCards,failWeights,newbieCards,newbieWeights,refreshDay,timesLimitStart
默认值,1,0,0,5,5,1,1,<>,<>,<>,<>,<>,<0;0>,,,,,,
ID,挑战次数恢复量2,每日次数上限2,每日次数上限,新手次数,失败CD次数,刷新日期2,挑战次数恢复量,可选训练家<trainerID>,PVP胜利积分<min;max>,PVP伤害积分<min;max>,PVE血量积分<min;max>,PVE金币积分<min;max>,失败权重<weight1;weight2>,失败卡池(函数),失败权重值,新手卡池(函数),新手权重值,刷新日期(周几),限制开始生效日
1,5,10,5,3,2,,,<200002;200003>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
2,5,10,5,3,2,,,<200001;200002>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
3,5,10,5,3,2,,,<200001;200003>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
4,5,10,5,3,2,,,<200002;200004>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
5,5,10,5,3,2,,,<200002;200003>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
6,5,10,5,3,2,,,<200001;200004>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
7,5,10,5,3,2,,,<200001;200004>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
8,5,10,5,3,2,,,<200001;200004>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
9,5,10,5,3,2,,,<200003;200005>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
10,5,10,5,3,2,,,<200002;200005>,<500;1500>,<20;1500>,<20;1000>,<10;1000>,<0.13;0.2>,c.cards5_equips5_cards6_equips6(),15,c.newCards(),20,1,3
