变量名,name,easyEffectFunc,time,immuneType,overlayLimit,overlayType,combineArgs,groupPower,skillTimePos,equipBond,isShow,group,immuneBuff,dispelBuff,dispelType,specialVal,triggerBehaviors,specialEffect,specialTarget,triggerPriority
默认值,,buff1,1,1,999999,0,FALSE,101,1,FALSE,FALSE,<>,<>,<>,<>,<>,{0={triggerPoint=1}},,,
ID,Buff名称,效果函数,持续回合,免疫类型,叠加上限,叠加类型(0不叠加/1叠加/2刷新),合并参数,分组优先级,技能时机位置,绑定装备,是否显示,Buff分组<groupID>,免疫Buff<buffID>,驱散Buff<buffID>,驱散类型<types>,特殊值<values>,触发行为{触发点配置},特殊效果,特殊目标,触发优先级
1,Reshiram Test,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=7;cfgId=2}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
2,Reshiram Test,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=3}>;<{caster=2;value=0;holder=1;cfgId=3}>>;onSomeFlag=<target:inField()>;triggerPoint=18;effectFuncs=<castBuff;castBuff>}},,,
3,Reshiram Test,,,,99,2,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=target:getBuffOverlayCount(3);holder=1;cfgId=4}>;<{caster=2;value=0;holder=1;cfgId=5}>>;onSomeFlag=<target:inField()>;triggerPoint=17;effectFuncs=<castBuff;castBuff>}},,,
4,Reshiram Test,buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
5,Reshiram Test,,,,1,1,,,,,,,,<3>,<1;1;1>,,,,,
11,Arcanine Test,,99,,1,,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=target:star();holder=1;cfgId=12}>;<{caster=2;value=0;holder=1;cfgId=13}>>;onSomeFlag=<target:selectCsvTarget():hasBuff(3)>;triggerPoint=18;effectFuncs=<castBuff;castBuff>}},,,
12,Arcanine Test,attack,,,99,2,TRUE,,,,,<20;21;34;36>,,,,,,,,
13,Arcanine Test,newAction,,,1,1,TRUE,,,,,,,,,,,,,
81,Tutorial Charizard Skill,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=82}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
82,Tutorial Charizard Skill,changeAttackTarget,99,,1,1,TRUE,,,,,,,,,<30>,,,{process=field|left(1);input=enemyForce|nodead},
100,Magmortar (Tutorial),,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=101}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
101,Magmortar (Tutorial),auraEffect,99,,1,1,TRUE,,,,,<116>,,,,,{1={funcArgs=<<{bond=1;caster=2;cfgId=102;value=0;holder=18;prob=(target2:team()==self:team()) and 1 or 0}>>;onSomeFlag=<target:inField()>;triggerPoint=99;effectFuncs=<castBuff>}},,,
102,Magmortar (Tutorial),,99,,99,2,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=self:star()*3;holder={process=field|random(1);input=enemyForce|nodead};cfgId=103}>;<{caster=2;value=<2>;holder=2;cfgId=100040}>>;onSomeFlag=<target:inField() and target:hasBuffGroup(115)>;triggerPoint=32;effectFuncs=<castBuff;castBuff>}},,,
103,Magmortar (Tutorial),buffDamage,,,1,1,,,,,,<30>,,,,<{processId=4}>,,,,
110,Meowth (Tutorial),,99,,1,,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=target:star()*3;holder=3;cfgId=111}>>;triggerPoint=3;effectFuncs=<playEffect;castBuff>}},,,
111,Meowth (Tutorial),gainGold,,,1,1,,,,,,,,,,,,,,
1001,Tutorial Skill,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=3;cfgId=1002}>;<{caster=2;value=<999>;holder=3;cfgId=1006}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
1002,Tutorial Skill,,2,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=99;holder=3;cfgId=1003}>>;triggerPoint=8;effectFuncs=<castBuff>}},,,
1003,Tutorial Skill,gainGold,,,1,1,,,,,,,,,,,,,,
1004,PVP Tutorial Skill,,,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=<list(400001);1>;holder=3;cfgId=1005}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
1005,PVP Tutorial Skill,getCard,,,1,1,,,,,,,,,,,,,,
1006,Trainer Damage Reduction,reduceTrainerTakeDamage,,,99,2,,,,,,,,,,,,,,
5000,Odd Egg,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=5003}>>;onSomeFlag=<target:inField()>;triggerPoint=4;effectFuncs=<castBuff>};2={funcArgs=<<{cfgId=5002;prob=0.5;value=<randomChoose(c.cards6());4;0;0;1>;holder=1;caster=1}>>;onSomeFlag=<target:inField() and not target:hasBuff(5003)>;triggerPoint=7;effectFuncs=<castBuff>}},,,
5001,Odd Egg,sell,,,99,2,,,,,,,,,,,,,,
5002,Odd Egg,permanentTransform,,,1,1,,,,,,<125>,,,,,,,,
5003,Odd Egg,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=1;value=<0>;holder=1;cfgId=5001}>>;onSomeFlag=<target:inField()>;triggerPoint=25;effectFuncs=<castBuff>}},,,
100010,Generic,,99,,1,1,TRUE,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=100011}>>;onSomeFlag=<target:inField() and target:hasBuffGroup(115)>;triggerPoint=32;effectFuncs=<castBuff>}},,,98
100011,Generic,,,,1,1,,,,,,,,<115>,<2;99>,,,,,
100020,Generic,,99,,1,1,TRUE,,,,,,,,,,{1={funcArgs=<<{caster=1;value=999;holder=1;cfgId=100021}>>;onSomeFlag=<target:inField() and target:hasBuffGroup(121)>;triggerPoint=18;effectFuncs=<castBuff>}},,,98
100021,Generic,removeBroken,,,1,1,,,,,,,,,,,,,,
100030,Generic,,99,,1,1,TRUE,,,,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=100031}>>;onSomeFlag=<target:inField() and target:hasBuffGroup(124)>;triggerPoint=14;effectFuncs=<castBuff>}},,,98
100031,Generic,,,,1,1,,,,,,,,<124>,<2;99>,,,,,
100040,Generic,playEffect,,,1,1,,,,,,,,,,,,,,
100050,Generic,,,,1,1,,,,,TRUE,,,,,,,{0=1012},,
100051,Generic,,,,1,1,,,,,TRUE,,,<100050>,<1;99>,,,{0=1011},,
100060,Generic,,,,1,1,,,,TRUE,,<150>,,,,,{1={funcArgs=<<{prob=target:hasBuffGroup(142) and 1 or 0;cfgId=100062;value=0;holder=1;caster=2}>;<{prob=target:hasBuffGroup(142) and 0 or 1;cfgId=100061;value=0;holder=1;caster=2}>>;triggerPoint=1;effectFuncs=<castBuff;castBuff>}},,,
100061,Generic,,,2,1,1,,,,,TRUE,<142;34;35>,<13;23;127>,,,,,{0=1014},,
100062,Generic,destroy,,,1,1,,,,,TRUE,<135>,,,,,,{0=1015},,
100063,Generic,,,,1,1,,,,,,,,,,,,,,
100064,Generic,,,,99,2,,,,,TRUE,<151;34;35>,,,,,"{1={funcArgs=<<{bond=1;cfgId=100065;caster=2;value=<2;99>;holder=1;prob=1}>;<{bond=1;caster=2;cfgId=100066;value=5+target:getBuffOverlayCount(600502)*5;holder=1;prob=1}>;<{cfgId=100067;prob=moreE(countObj(""buff"",self:team(),list(100064))+countObj(""buff"",3-self:team(),list(100064)),countObj(""all"",self:team())+countObj(""all"",3-self:team())) and 1 or 0;value=0;holder={process=field;input=all|nodead};caster=2}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff;castBuff;castBuff>};2={onSomeFlag=<target:inField() and target:shield()==0>;triggerPoint=26;delSelfWhenTriggered=1};3={funcArgs=<<{cfgId=100067;prob=1;value=0;holder={process=field;input=all|nodead};caster=2}>>;delSelfWhenTriggered=1;onSomeFlag=<moreE(countObj(""buff"",self:team(),list(100064))+countObj(""buff"",3-self:team(),list(100064)),countObj(""all"",self:team())+countObj(""all"",3-self:team()))>;triggerPoint=20;effectFuncs=<castBuff>}}",{0=1021},,
100065,Generic,stun,,,1,1,,,,,,,,,,,,,,
100066,Generic,defence,,,99,2,TRUE,,,,,<20;22;34;36>,,,,,,,,
100067,Generic,destroy,,,1,1,TRUE,,,,,<135>,,,,,,,,
100070,Generic,playEvent,,,1,1,,,,,,,,,,,,,,
100100,Pyroar,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100101}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100101}>>;onSomeFlag=<target:inField()>;triggerPoint=33;effectFuncs=<castBuff>}},,,
100101,Pyroar,strike,,,1,1,TRUE,,,,TRUE,<115;34;36>,,,,,,{0=1001},,
100111,Leftovers (Main),,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=10;holder=1;cfgId=100112}>>;onSomeFlag=<target:inField()>;triggerPoint=18;effectFuncs=<castBuff>}},,,
100112,Leftovers (Main),heal,,,1,1,,,,TRUE,TRUE,<127>,,,,,,{0=1006},,
100200,Ditto·Orange,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{bond=1;caster=2;value=0;holder=1;cfgId=100201}>>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100201,Ditto·Orange,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<2>;<{caster=2;value=<1001;target:star();1;0;1>;holder=1;cfgId=100202}>>;onSomeFlag=<target:inField() and not inBattle()>;triggerPoint=3;effectFuncs=<playEffect;castBuff>}},,,
100202,Ditto·Orange,permanentTransform,,,1,1,,,,,,<125>,,,,,,,{process=field|excludeID(list(csvSelf:id()))|random(1);input=selfForce|nodead},
100211,Hard Stone (Main),,99,,1,,,,,TRUE,,,,,,,{1={funcArgs=<<{caster=1;value=0;holder=1;cfgId=100212}>>;onSomeFlag=<target:inField()>;triggerPoint=1;effectFuncs=<castBuff>}},,,
100212,Hard Stone (Main),shieldEX,99,,1,1,TRUE,,,TRUE,TRUE,<132;34;36>,,,,,,{0=1016},,
100300,Cinccino,,99,,1,1,,,,,,,,,,,{1={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100301}>>;triggerPoint=1;effectFuncs=<castBuff>};2={funcArgs=<<{caster=2;value=0;holder=1;cfgId=100301}>>;onSomeFlag=<target:inField()>;triggerPoint=33;effectFuncs=<castBuff>}},,,
100301,Cinccino,divineShield,,,1,,TRUE,,,,TRUE,<126;34;36>,,,,,,{0=1005},,
