变量名,name,weight,price,resScale,findDesc,filterTarget,showInHandBook,pvpShowInHandBook,defence,cardEffect,hp,attack,nature1,rarity,logo,res,starUnlock,specialTarget,desc,actionTimes,equipSlots,resPos,buffid,keyWords,findBuff,nature2
默认值,"""""",0,1,2,"""""","""""",FALSE,FALSE,"""0""","""""","""1""","""0""",1,1,config/portrait/speedranktouxiang/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,"""""","""""","""""",1,1,{y=0;x=0},<>,<>,<>,
ID,精灵名称,权重(商店出现概率),价格(金币),资源缩放,发现描述,筛选条件,是否显示在图鉴,PVP是否显示在图鉴,护甲(公式),卡牌效果描述,生命(公式),攻击(公式),属性1,稀有度(1-5),头像资源,立绘资源,星级解锁,特殊目标,描述,行动次数,装备槽数,资源偏移{x;y},BuffID<id>,关键词<词>,发现Buff<buffID>,属性2
1,莱希拉姆,,,,,,,,,攻击后【守卫】目标并降低其$(3*star)$点攻击,20*self:star(),5*self:star(),15,4,config/portrait/speedranktouxiang/img_643_lxlm@.png,config/big_hero/normal/img_643_lxlm@.png,,,,,,,<1>,<【守卫】;【暴击】>,,2
2,风速狗测试,,,,,,,,,,15*self:star(),3*self:star(),2,3,config/portrait/speedranktouxiang/img_59_fsg@.png,config/big_hero/normal/img_59_fsg@.png,,,,,,,<11>,,,
3,|小火龙|,40,5,1.7,,,,,,,3*self:star(),3*self:star(),2,3,config/portrait/speedranktouxiang/img_4_xhl@.png,config/big_hero/normal/img_4_xhl@.png,,,,,,,<100010;100020;100030>,,,10
4,|喵喵|,100,2,,,,,,,【登场】：获得$(3*star)$金币,1*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_52_mm@.png,config/big_hero/normal/img_52_mm@.png,,,,,,,<110;100010;100020;100030>,<【登场】>,,
5,|鸭嘴宝宝|,60,4,1.8,,,,,,己方【暴击】精灵攻击后，自身对随机敌方精灵造成$(3*star)$点技能伤害,5*self:star(),5*self:star(),2,4,config/portrait/speedranktouxiang/img_240_yzbb@.png,config/big_hero/normal/img_240_yzbb@.png,,,,,,,<100;100010;100020;100030>,<【暴击】>,,
6,|妙蛙种子|,60,4,2.2,,,,,,,3*self:star(),2*self:star(),4,3,config/portrait/speedranktouxiang/img_1_mwzz@.png,config/big_hero/normal/img_1_mwzz@.png,,,,,,{x=180;y=-50},<100010;100020;100030>,,,8
7,|杰尼龟|,60,4,1.8,,,,,,,4*self:star(),2*self:star(),3,3,config/portrait/speedranktouxiang/img_7_jng@.png,config/big_hero/normal/img_7_jng@.png,,,,,,,<100010;100020;100030>,,,
8,|喷火龙|,60,4,,,,,,,,16*self:star(),2*self:star(),10,4,config/portrait/speedranktouxiang/img_6_phl@.png,config/big_hero/normal/img_6_phl@.png,,,,,,{x=50;y=0},<81;100010;100020;100030>,,,
50,奇怪的蛋,,,,,,,,,【胜利】：有几率孵化\n【濒死】：永久消失,1,0,,,config/portrait/speedranktouxiang/img_717_ypete@.png,config/big_hero/normal/autochess_ypete.png,,,,,,,<5000;100010;100020;100030>,<【胜利】;【濒死】>,,
51,测试木桩,,,,,,,,,,4*self:star(),4*self:star(),,,config/portrait/speedranktouxiang/img_132_bbg_c@.png,config/big_hero/normal/img_132_bbg_c@.png,,,,,,,<100010;100020;100030>,,,
1001,小狮狮,100,2,,,,TRUE,,,【暴击】,6*self:star(),2*self:star(),2,,config/portrait/speedranktouxiang/img_667_xss@.png,config/big_hero/normal/img_667_xss@.png,,,,,,,<100100;100010;100020;100030>,<【暴击】>,,1
1002,百变怪·橙色,40,5,,,,TRUE,,,【登场】：随机永久【变形】为一个己方场上的其他精灵，星级为$(1*star)$，可触发升星（仅战斗外生效）,4*self:star(),4*self:star(),,4,config/portrait/speedranktouxiang/img_132_bbg_c@.png,config/big_hero/normal/img_132_bbg_c@.png,,,,,,,<100200;100010;100020;100030>,<【登场】;【变形】>,,
1003,泡沫栗鼠,100,2,,,,TRUE,,,【护盾】,4*self:star(),3*self:star(),,,config/portrait/speedranktouxiang/img_572_pmls@.png,config/big_hero/normal/img_572_pmls@.png,,,,,,{x=100;y=0},<100300;100010;100020;100030>,<【护盾】>,,
1004,晃晃斑,100,2,,,,TRUE,,,【濒死】：【晕眩】敌方随机$(1*star)$个单位,6*self:star(),3*self:star(),,,config/portrait/speedranktouxiang/img_327_hhb@.png,config/big_hero/normal/img_327_hhb@.png,,,,,,,<100400;100010;100020;100030>,<【濒死】;【晕眩】>,,
1005,咕妞妞,80,3,,,,TRUE,,,【先机】：对除自身外的全体单位造成1点技能伤害，触发$(1*star)$次,1*self:star(),2*self:star(),,2,config/portrait/speedranktouxiang/img_293_gzz@.png,config/big_hero/normal/img_293_gzz@.png,,,,,,,<100500;100010;100020;100030>,<【先机】>,,
1006,大舌头,60,4,1.6,,,TRUE,,,攻击后【晕眩】目标并降低其$(3*star)$点攻击,6*self:star(),4*self:star(),,3,config/portrait/speedranktouxiang/img_108_dst@.png,config/big_hero/normal/img_108_dst@.png,,,,,,{x=0;y=-20},<100600;100010;100020;100030>,<【晕眩】>,,
1007,懒人獭,40,5,2.2,,,TRUE,,,攻击后【晕眩】自身。自身被【晕眩】时，永久+$(2*star)$攻击，永久+$(3*star)$生命。,7*self:star(),5*self:star(),,4,config/portrait/speedranktouxiang/img_287_lrt@.png,config/big_hero/normal/img_287_lrt@.png,,,,,,{x=0;y=100},<100700;100010;100020;100030>,<【晕眩】>,,
1008,小福蛋,40,5,,,,TRUE,,,行动后【治疗】己方$(1*star)$个精灵10点生命，若不需要治疗则为其永久+$(1*star)$生命,10*self:star(),3*self:star(),,4,config/portrait/speedranktouxiang/img_440_xfd@.png,config/big_hero/normal/img_440_xfd@.png,,,,,,,<100800;100010;100020;100030>,<【治疗】>,,
1009,喵喵,80,3,,,,TRUE,,,【登场】：获得$(3*star)$金币,1*self:star(),1*self:star(),,2,config/portrait/speedranktouxiang/img_52_mm@.png,config/big_hero/normal/img_52_mm@.png,,,,,,,<100900;100010;100020;100030>,<【登场】>,,
1010,宝宝丁,80,3,2.2,选择一个己方精灵使其永久获得$(5*star)$护甲,TRUE,TRUE,,,【登场】：选择一个目标使其永久获得$(5*star)$护甲（仅战斗外生效）,6*self:star(),3*self:star(),,2,config/portrait/speedranktouxiang/img_174_bbd@.png,config/big_hero/normal/img_174_bbd@.png,,,,,,,<100010;100020;100030>,<【登场】>,<101000>,18
1011,雷吉奇卡斯,20,6,2.2,,,TRUE,,,失去生命时，获得等于$(0.5*star)$倍伤害量的攻击，自身攻击前若目标生命低于自身攻击，先将其【消灭】,30*self:star(),0,,5,config/portrait/speedranktouxiang/img_486_ljqks@.png,config/big_hero/normal/img_486_ljqks@.png,,,,,,{x=-10;y=30},<101100;100010;100020;100030>,<【消灭】>,,
1012,小卡比兽,40,5,1.8,,,TRUE,,6*self:star(),【坚甲】\n攻击后对目标额外造成等于$(1*star)$倍自身护甲值的技能伤害,4*self:star(),1*self:star(),,4,config/portrait/speedranktouxiang/img_446_xkbs@.png,config/big_hero/normal/img_446_xkbs@.png,,,,,,{x=-40;y=0},<101200;100010;100020;100030>,<【坚甲】>,,
1013,胖丁,60,4,,,,TRUE,,,【鼓舞】：令攻击者和自身+$(4*star)$护甲,3*self:star(),5*self:star(),,3,config/portrait/speedranktouxiang/img_39_pd@.png,config/big_hero/normal/img_39_pd@.png,,,,,,{x=-50;y=0},<101300;100010;100020;100030>,<【鼓舞】>,,18
1014,嘟嘟,100,2,1.8,,,TRUE,,,行动次数+$(1*star)$,4*self:star(),1*self:star(),,,config/portrait/speedranktouxiang/img_84_dd@.png,config/big_hero/normal/img_84_dd@.png,,,,,,{x=20;y=0},<101400;100010;100020;100030>,,,10
1015,小拉达,80,3,2.1,,,TRUE,,,【鼓舞】：对随机1个敌人造成$(5*star)$点技能伤害,1*self:star(),4*self:star(),,2,config/portrait/speedranktouxiang/img_19_xld@.png,config/big_hero/normal/img_19_xld@.png,,,,,,{x=20;y=30},<101500;100010;100020;100030>,<【鼓舞】>,,
