变量名,force,limitHint,storyType,canSkip,roleName,lastTime,needAutoJump,talkContent,showType,extraAniTarget,extraAniAngle,extraAniWaitGuide,triggerTime,anyPosCancel,animateAngle,topPosY,topPosX,topTalk,choices,gotoStep,talkSelect,tagName,extraAniPos,specialRegionAni,animate,animatePos,extraAniName,extraAniRes,headRes,lightSize,offPos,operateLimit
默认值,1,"""""",0,FALSE,"""""",0,0,"""""",2,1,0,FALSE,0,FALSE,0,0,0,"""""",{},{},{},<>,{x=0;y=0},<>,,,,,,,,
ID,强制执行,限制提示,剧情类型,是否可跳过,角色名称,持续时间,是否自动跳转,对话内容,显示类型(1对话/2其他),额外动画目标,额外动画角度,额外动画等待引导,触发时机,任意位置取消,动画角度,顶部Y坐标,顶部X坐标,顶部对话,选项{配置},跳转步骤{配置},对话选择{配置},标签名<path>,额外动画位置{x;y},特殊区域动画<config>,动画类型,动画位置,额外动画名,额外动画资源,头像资源,高亮尺寸,偏移位置{x;y},操作限制<type;arg>
1001,,,,,Rotom Pokédex,,,"Trainer, welcome to card adventure. Let me walk you through how it works!",1,,,,,,,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1002,,,,,Rotom Pokédex,,,Let's pick a Pokemon partner first!,1,,,,,,,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1011,,Tap to enter the shop,,,Rotom Pokédex,,,Tap to enter the shop,1,,,,,,,,,,,,,<stage;panelShop;panelMenu;encounterPanel>,,,effect/shouyindao.skel,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},<4;1>
1101,,,,,Rotom Pokédex,,,Tap to select the item,1,,,,,,,,,,,,,<stage;panelShop;panelInfo;obj1;cardPanel>,,,effect/shouyindao.skel,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1102,,,,,Rotom Pokédex,,,Tap to confirm the purchase,1,,,,,,,,,,,,,<stage;panelShop;panelInfo;confirmBtn>,,,effect/shouyindao.skel,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1103,,,,,Rotom Pokédex,,,Excellent! Now we have a Charmander.,1,,,,,TRUE,,,,,,,,<gameLayer;obj1;cardPanel>,,,,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1201,,Drag Charmander onto the field,,,Rotom Pokédex,,,Drag Charmander from your hand onto the field,1,,,TRUE,,TRUE,,,,,,,,<gameLayer;obj1;cardPanel>,{x=0;y=35},<1>,effect/shouyindao.skel,,arrow_loop,lushi/zizouqi_cj.skel,login/new_character/img_tjltm@.png,,{x=0;y=260},<7;1;1>
1301,,,,,Rotom Pokédex,,,Everything is ready.,1,,,,,,,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1302,,,,,Rotom Pokédex,,,Wild Pokemon detected nearby. Get ready for battle!,1,,,,,,,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1303,,,,,Rotom Pokédex,,,Tap the battle encounter,1,,,,,,,,,,,,,<stage;panelShop;panelMenu;encounterPanel>,,,effect/shouyindao.skel,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1401,,,,,Rotom Pokédex,,,This screen shows information about your opponent and the rewards for winning the battle.,1,,,,,TRUE,,,,,,,,<stage;panelShop>,,,,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1402,,,,,Rotom Pokédex,,,Tap to start the battle,1,,,,,,,,,,,,,<stage;panelShop;panelInfo;confirmBtn>,,,effect/shouyindao.skel,,,,login/new_character/img_tjltm@.png,,{x=0;y=260},
1501,,,,,Rotom Pokédex,,,This is the prep phase. You can see the enemy's formation here.,1,,,,,,,,,,,,,,,,,,,,login/new_character/img_tjltm@.png,,{x=-650;y=400},
