变量名,name,showInHandBook,weight,cardEffect,resScale,filterTarget,price,hp,attack,rarity,res,defence,pvpShowInHandBook,resPos,findBuff,keyWords
默认值,"""""",FALSE,0,"""""",5,"""true""",1,0,0,1,config/item/xddj/icon_csddx.png,0,FALSE,{x=0;y=0},<>,<>
ID,装备名称,是否显示在图鉴,权重(商店出现概率),效果描述,资源缩放,筛选条件,价格(金币),生命加成,攻击加成,稀有度(1-5),资源路径,护甲加成,PVP是否显示在图鉴,资源偏移{x;y},发现Buff<buffID>,关键词<词>
100001,吃剩的苹果,TRUE,40,行动后【治疗】自身10点伤害,,"""true""",5,5,,4,config/item/xddj/icon_csddx.png,,,,<100111>,<【治疗】>
100002,硬石头,TRUE,60,【坚甲】,,"""true""",4,,,3,config/item/xddj/icon_yst.png,1,,,<100211>,<【坚甲】>
100003,弹簧拳套,TRUE,40,攻击攻击力低于自身的目标时不会受到反击伤害,,"""true""",5,,5,4,config/item/xddj/icon_thqt.png,,,,<100311>,
100004,金假牙,TRUE,60,【濒死】：获得1个金币,,"""true""",4,,,3,config/item/xddj/icon_jjy.png,,,,<100411>,<【濒死】>
100005,白金宝珠,TRUE,100,,,"""true""",2,8,,,config/item/xddj/icon_bjbz.png,,,,,
100006,可疑补丁,TRUE,100,,,"""true""",2,,8,,config/item/xddj/icon_kybd.png,,,,,
100007,美丽鳞片,TRUE,100,,,"""true""",2,,,,config/item/xddj/icon_mllp.png,8,,,,
100008,泡沫奶油,TRUE,80,战斗开始时【晕眩】自身,,"""true""",3,,,2,config/item/xddj/icon_pfny.png,12,,,<100811>,<【晕眩】>
100009,力量护腕,TRUE,80,行动前+2攻击,,"""true""",3,,4,2,config/item/xddj/icon_llhw.png,,,,<100911>,
100010,灵界之布,TRUE,80,【隐匿】,,"""true""",3,,,2,config/item/xddj/icon_ljzb.png,,,,<101011>,<【隐匿】>
100011,先制之爪,TRUE,80,受到攻击前+3攻击,,"""true""",3,,,2,config/item/xddj/icon_xzzz.png,,,,<101111>,
100012,焦点镜,TRUE,80,【暴击】,,"""true""",3,,,2,config/item/xddj/icon_jdj.png,,,,<101211>,<【暴击】>
100013,熔岩增幅器,TRUE,60,获得【暴击】，攻击后不会失去【暴击】,,"""true""",4,,2,3,config/item/xddj/icon_ryzfq.png,,,,<101311>,<【暴击】>
100014,王者之证,TRUE,60,攻击后【晕眩】目标,,"""true""",4,2,2,3,config/item/xddj/icon_wzzz2.png,,,,<101411>,<【晕眩】>
100015,心灵香草,TRUE,60,受到【晕眩】时，将其解除,,"""true""",4,4,,3,config/item/xddj/icon_xlxc.png,,,,<101511>,<【晕眩】>
100016,黑带,TRUE,60,将破甲最高的敌方视为【宿敌】,,"""true""",4,,4,3,config/item/xddj/icon_qshd.png,,,,<101611>,<【宿敌】>
100017,不朽之剑,TRUE,20,行动次数+1\n行动前+3攻击，+3生命,,"""true""",6,,10,5,config/item/xddj/icon_bxzj.png,,,,<101711>,
100018,不朽之盾,TRUE,20,【护盾】\n【守卫】\n【盾反】,,"""true""",6,,,5,config/item/xddj/icon_bxzd.png,10,,,<101811>,<【护盾】;【守卫】;【盾反】>
100019,精灵之笛,TRUE,20,【特技】：自身攻击减半，令随机敌方单位【晕眩】，之后对所有【晕眩】中的敌方造成5点技能伤害,,"""true""",6,,,5,config/item/xddj/icon_bkmzd.png,,,,<101911>,<【特技】;【晕眩】>
100020,强力手环,TRUE,20,攻击【晕眩】目标时不会受到反击伤害,,"""true""",6,,6,5,config/item/xddj/icon_qlsh.png,,,,<102011>,<【晕眩】>
100021,极巨腕带,TRUE,20,攻击和生命翻倍,,"""true""",6,,,5,config/item/xddj/icon_jjwd.png,,,,<102111>,
100022,博士面具,TRUE,40,免疫【晕眩】和【消灭】效果,,"""true""",5,12,,4,config/item/xddj/icon_bsdmz.png,,,,<102211>,<【晕眩】;【消灭】>
100023,讲究眼镜,TRUE,60,将距离最近的敌方视为【宿敌】,,"""true""",4,,4,3,config/item/xddj/icon_jjyj.png,,,,<102311>,<【宿敌】>
100024,探宝器,TRUE,20,【失败】：获得1张随机事件卡（最多生效10次）,,"""true""",6,4,4,5,config/item/xddj/icon_tbq.png,,,,<102411>,<【失败】>
100025,金属膜,TRUE,40,【守卫】\n准备阶段结束时自身永久+3护甲,,"""true""",5,,,4,config/item/xddj/icon_jsm.png,6,,,<102511>,<【守卫】>
100026,球根,TRUE,80,准备阶段结束时自身永久+1生命,,"""true""",3,4,,2,config/item/xddj/icon_qg.png,,,,<102611>,
100027,诅咒之符,TRUE,40,【幻影】\n【濒死】：使随机敌方获得此装备的效果,,"""true""",5,,10,4,config/item/xddj/icon_zzzf.png,,,,<102711>,<【幻影】;【濒死】>
100028,心之水滴,TRUE,40,攻击后，若自身未损失生命，+8生命,,"""true""",5,,,4,config/item/xddj/icon_xzsd.png,,,,<102811>,
100029,迅猛铃铛,TRUE,20,【鼓舞】：自身获得1次行动,,"""true""",6,8,,5,config/item/xddj/icon_gjld.png,,,,<102911>,<【鼓舞】>
100030,坚固铃铛,TRUE,20,【鼓舞】：自身+8护甲\n【坚甲】,,"""true""",6,,,5,config/item/xddj/icon_fyld.png,8,,,<103011>,<【鼓舞】>
100031,羁绊铃铛,TRUE,20,【鼓舞】：自身和攻击者+5生命,,"""true""",6,,8,5,config/item/xddj/icon_kzld.png,,,,<103111>,<【鼓舞】>
100032,混元之石,TRUE,80,【濒死】：对随机敌人造成10点技能伤害,,"""true""",3,,3,2,config/item/xddj/icon_hyzs.png,,,,<103211>,<【濒死】>
100033,气势头带,TRUE,40,阵亡时【召唤】1个自身的复制,,"""true""",5,3,3,4,config/item/xddj/icon_qstj.png,,,,<103311>,<【召唤】>
100034,宝石手镯,TRUE,20,【特技】：自身攻击减半，对随机敌方单位造成5点技能伤害，获得1金币,,"""true""",6,,,5,config/item/xddj/icon_bssz.png,,,,<103411>,<【特技】>
100035,高能护腕,TRUE,20,行动前【消灭】一个己方随机单位，获得其全部属性,,"""true""",6,3,3,5,config/item/xddj/icon_gnhw.png,,,,<103511>,<【消灭】>
100036,饱腹熏香,TRUE,40,攻击后，若自身未损失生命，+8护甲,,"""true""",5,,,4,config/item/xddj/icon_bfxx.png,5,,,<103611>,
100037,讲究头带,TRUE,60,将最左侧敌方视为【宿敌】,,"""true""",4,,3,3,config/item/xddj/icon_jjtj.png,,,,<103711>,<【宿敌】>
100038,柔软沙子,TRUE,40,受到攻击前降低攻击者5点攻击,,"""true""",5,,,4,config/item/xddj/icon_rrsz.png,5,,,<103811>,
100039,丝绸围巾,TRUE,40,【失败】：令装备者返回手牌,,"""true""",5,,,4,config/item/xddj/icon_jjwj.png,,,,<103911>,<【失败】>
100040,龙之牙,TRUE,40,【溅射】,,"""true""",5,,6,4,config/item/xddj/icon_ly.png,,,,<104011>,<【溅射】>
100041,力量负重,TRUE,60,战斗开始时【晕眩】自身，【晕眩】结束后获得【暴击】、【贯穿】,,"""true""",4,,6,3,config/item/xddj/icon_llfz.png,,,,<104111>,<【晕眩】;【暴击】;【贯穿】>
100042,奇异熏香,TRUE,40,【特技】：自身攻击减半，令随机敌方单位获得【剧毒】,,"""true""",5,4,,4,config/item/xddj/icon_qyxx.png,4,,,<104211>,<【特技】;【中毒】;【剧毒】>
100043,神隐王冠,TRUE,20,【先机】/【濒死】：己方全体获得【隐匿】,,"""true""",6,10,,5,config/item/xddj/icon_smwg.png,,,,<104311>,<【先机】;【濒死】;【隐匿】>
100044,鬼手拳套,TRUE,20,【隐匿】状态下获得【突袭】\n【破敌】：获得【隐匿】,,"""true""",6,,10,5,config/item/xddj/icon_mxd.png,,,,<104411>,<【隐匿】;【突袭】;【破敌】>
100045,痛苦面具,TRUE,20,【特技】：自身攻击减半，对全体单位造成1点【破甲】\n【光环】：场上单位的【破甲】不会自动清除,,"""true""",6,,,5,config/item/xddj/icon_tkmj.png,10,,,<104511>,<【特技】;【光环】;【破甲】>
100046,混沌魔方球,TRUE,20,【特技】：对自身和随机敌方单位造成100点技能伤害,,"""true""",6,,,5,config/item/xddj/icon_zzmq.png,,,,<104611>,<【特技】>
100047,气势披带,TRUE,40,阵亡时【召唤】1个自身的1星复制,,"""true""",4,3,3,3,config/item/xddj/icon_qspd.png,,,,<104711>,<【召唤】>
100048,太阳之笛,TRUE,20,行动前，获得等于自身当前生命的护甲，将其平均分配给己方精灵,,"""true""",6,6,,5,config/item/xddj/icon_sejlo.png,6,,,<104811>,
100049,月亮之笛,TRUE,20,【特技】：偷取随机敌方5点攻击和5点生命,,"""true""",6,,6,5,config/item/xddj/icon_lnyl.png,6,,,<104911>,<【特技】>
100050,葛拉西蒂亚花,TRUE,20,装备者攻击力始终等于生命,,"""true""",6,10,,5,config/item/xddj/icon_glxdyh.png,,,,<105011>,
100051,金腰带,TRUE,60,【胜利】：永久+5攻击，永久+5生命\n【失败】：永久-10攻击，永久-10生命,,"""true""",4,3,3,3,config/item/xddj/icon_jjy.png,,,,<105111>,<【胜利】;【失败】>
100052,神秘项链,TRUE,20,【先机】：触发1次相邻精灵的【登场】效果,,"""true""",6,5,5,5,config/item/xddj/icon_smxl.png,,,,<105211>,<【先机】;【登场】>
100053,现形镜,TRUE,60,【濒死】：解除伤害来源的所有正面【状态】,,"""true""",4,,4,3,config/item/xddj/icon_xxj.png,2,,,<105311>,<【濒死】;【状态】>
100054,咸鱼龙刺,TRUE,20,战斗阶段，其他精灵入场时，使其+N攻击（N为装备者的攻击）,,"""true""",6,4,6,5,config/item/xddj/icon_xylc.png,,,,<105411>,
100055,白玉宝珠,TRUE,80,【流水】\n自身触发或受到【流水】效果时，永久+1生命,,"""true""",3,2,4,2,config/item/xddj/icon_bybz.png,,,,<105511>,<【流水】>
100056,防尘护目镜,TRUE,20,免疫负面【状态】,,"""true""",6,3,3,5,config/item/xddj/icon_fchmj.png,,,,<105611>,<【状态】>
100057,赤焰之爪,TRUE,40,【暴击】\n【暴击】期间获得【突袭】,,"""true""",5,3,5,4,config/item/xddj/icon_lyzz.png,,,,<105711>,<【暴击】;【突袭】>
100058,火焰宝珠,TRUE,20,攻击前对目标造成等于自身攻击的技能伤害,,"""true""",6,2,6,5,config/item/xddj/icon_hybz.png,,,,<105811>,
100059,武士头盔,TRUE,40,【破敌】：+N护甲（N为目标生命上限）,,"""true""",5,,5,4,config/item/xddj/icon_wstk.png,3,,,<105911>,<【破敌】>
100060,机巧魂心,TRUE,20,受到攻击后若满血，+20护甲并获得1次行动,,"""true""",6,5,,5,config/item/xddj/icon_mjyn.png,5,,,<106011>,
400001,力量护腕,,,行动前+1攻击，+1生命,,"""true""",3,,,2,config/item/xddj/icon_llhw.png,,,,<40000100>,
400101,强制锻炼器,,20,【胜利】：永久+1攻击，永久+1生命,,"""true""",3,3,3,2,config/item/icon_qzdlq.png,,TRUE,,<40010100>,<【胜利】>
400102,白金宝珠,,20,,,"""true""",3,8,,2,config/item/xddj/icon_bjbz.png,,TRUE,,,
400103,可疑补丁,,20,,,"""true""",3,,8,2,config/item/xddj/icon_kybd.png,,TRUE,,,
400104,美丽鳞片,,20,,,"""true""",3,,,2,config/item/xddj/icon_mllp.png,8,TRUE,,,
400105,泡沫奶油,,20,战斗开始时【晕眩】自身,,"""true""",3,,,2,config/item/xddj/icon_pfny.png,12,TRUE,,<40010500>,<【晕眩】>
400106,力量护腕,,20,行动前+2攻击，+1生命,,"""true""",3,2,4,2,config/item/xddj/icon_llhw.png,,TRUE,,<40010600>,
400107,灵界之布,,20,【隐匿】,,"""true""",3,4,4,2,config/item/xddj/icon_ljzb.png,,TRUE,,<40010700>,<【隐匿】>
400201,粗骨头,,20,攻击后【晕眩】自身,,"""true""",4,10,10,3,config/item/xddj/icon_cgt.png,,TRUE,,<40020100>,<【晕眩】>
400202,讲究头带,,,将最左侧敌方视为【宿敌】,,"""true""",4,6,6,3,config/item/xddj/icon_jjtj.png,,TRUE,,<40020200>,<【宿敌】>
400203,混元之石,,,【濒死】：对随机敌人造成10点技能伤害,,"""true""",4,,10,3,config/item/xddj/icon_hyzs.png,,TRUE,,<40020300>,<【隐匿】>
400204,饱腹熏香,,,攻击后，若自身未损失生命，永久+2攻击，永久+2生命,,"""true""",4,,,3,config/item/xddj/icon_bfxx.png,6,TRUE,,<40020400>,
400205,气势披带,,,阵亡时【召唤】1个自身的1星复制,,"""true""",4,,6,3,config/item/xddj/icon_qspd.png,,TRUE,,<40020500>,<【召唤】>
400206,球根,,,准备阶段结束，自身永久+2攻击，永久+2生命,,"""true""",4,4,4,3,config/item/xddj/icon_qg.png,,TRUE,,<40020600>,
400207,讲究眼镜,,,将距离最近的敌方视为【宿敌】,,"""true""",4,6,6,3,config/item/xddj/icon_jjyj.png,,TRUE,,<40020700>,<【宿敌】>
400208,白玉宝珠,,,【护盾】,,"""true""",4,,8,3,config/item/xddj/icon_bybz.png,,TRUE,,<40020800>,<【护盾】>
400209,先制之爪,,,受到攻击前先对攻击者造成5点技能伤害,,"""true""",4,4,4,3,config/item/xddj/icon_xzzz.png,,TRUE,,<40020900>,
400210,焦点镜,,,【强攻】,,"""true""",4,6,6,3,config/item/xddj/icon_jdj.png,,TRUE,,<40021000>,<【强攻】>
400211,金假牙,,,【濒死】：获得1个金币,,"""true""",4,,6,3,config/item/xddj/icon_jjy.png,,TRUE,,<40021100>,<【濒死】>
400301,七彩羽毛,,,受到【治疗】时，对随机敌方造成10点伤害,,"""true""",5,10,,4,config/item/xddj/icon_hszy.png,,TRUE,,<40030100>,<【治疗】>
400302,吃剩的苹果,,,行动后【治疗】自身20点伤害,,"""true""",5,4,4,4,config/item/xddj/icon_csddx.png,,TRUE,,<40030200>,<【治疗】>
400303,熔岩增幅器,,,【强攻】\n【击破】：永久+3攻击，永久+3生命,,"""true""",5,,10,4,config/item/xddj/icon_ryzfq.png,,TRUE,,<40030300>,<【强攻】;【击破】>
400304,王者之证,,,行动次数+1,,"""true""",5,5,5,4,config/item/xddj/icon_wzzz2.png,,TRUE,,<40030400>,
400305,心灵香草,,,受到【晕眩】或【魅惑】时，将其解除,,"""true""",5,6,6,4,config/item/xddj/icon_xlxc.png,,TRUE,,<40030500>,<【晕眩】;【魅惑】>
400306,气势头带,,,阵亡时【召唤】1个自身的复制,,"""true""",5,,8,4,config/item/xddj/icon_qstj.png,,TRUE,,<40030600>,<【召唤】>
400307,柔软沙子,,,【应激】：永久+2攻击，永久+2生命,,"""true""",5,6,6,4,config/item/xddj/icon_rrsz.png,,TRUE,,<40030700>,<【应激】>
400308,丝绸围巾,,,【失败】：令装备者返回手牌,,"""true""",5,8,4,4,config/item/xddj/icon_jjwj.png,,TRUE,,<40030800>,<【失败】>
400309,诅咒之符,,,【幻影】\n【濒死】：使随机敌方获得此装备的效果,,"""true""",5,,8,4,config/item/xddj/icon_zzzf.png,,TRUE,,<40030900>,<【幻影】;【濒死】>
400310,龙之牙,,,【溅射】,,"""true""",5,5,8,4,config/item/xddj/icon_ly.png,,TRUE,,<40031000>,<【溅射】>
400311,硬石头,,,【坚甲】,,"""true""",5,,7,4,config/item/xddj/icon_yst.png,1,TRUE,,<40031100>,<【坚甲】>
400312,黑带,,,【连击】：触发1次自身【击破】效果,,"""true""",5,4,4,4,config/item/xddj/icon_qshd.png,,TRUE,,<40031200>,<【连击】;【击破】>
400313,金属膜,,,【守卫】\n准备阶段结束，自身永久+4护甲,,"""true""",5,4,4,4,config/item/xddj/icon_jsm.png,4,TRUE,,<40031300>,<【守卫】>
400314,妖精存储器,,,受到【治疗】时，存储治疗量\n【濒死】：对敌方全体造成等于治疗量的技能伤害,,"""true""",5,,,4,config/item/xddj/icon_yjccq.png,,TRUE,,<40031400>,<【治疗】;【濒死】>
400315,力量负重,,,【先机】：【晕眩】自身，【晕眩】结束后获得【强攻】、【突袭】、【贯穿】,,"""true""",5,,,4,config/item/xddj/icon_llfz.png,,TRUE,,<40031500>,<【先机】;【晕眩】;【强攻】;【突袭】;【贯穿】>
400316,奇异熏香,,,【特技】：自身攻击减半，令随机敌方单位获得【剧毒】,,"""true""",5,,,4,config/item/xddj/icon_qyxx.png,,TRUE,,<40031600>,<【特技】;【剧毒】>
400317,心之水滴,,,友方阵亡时，自身永久+1攻击，永久+1生命,,"""true""",5,,,4,config/item/xddj/icon_xzsd.png,,TRUE,,<40031700>,
400318,对战通讯器,,,【濒死】：令手牌随机精灵入场（不触发【登场】效果）,,"""true""",5,,,4,config/item/xddj/icon_qxyxtxq.png,,TRUE,,<40031800>,<【濒死】;【登场】>
400319,弹簧拳套,,,攻击攻击力低于自身的目标时不受反击,,"""true""",5,,,4,config/item/xddj/icon_thqt.png,,TRUE,,<40031900>,
400401,小智的帽子,,,【击破】：己方精灵永久+3攻击，永久+3生命,,"""true""",6,,,5,config/item/xddj/icon_pkqdmz.png,,TRUE,,<40040100>,<【击破】>
400402,不朽之剑,,,行动次数+1\n行动前+5攻击，+5生命,,"""true""",6,5,5,5,config/item/xddj/icon_bxzj.png,,TRUE,,<40040200>,
400403,赤焰之爪,,,【强攻】\n【先机】：获得1次行动,,"""true""",6,,16,5,config/item/xddj/icon_lyzz.png,,TRUE,,<40040300>,<【强攻】;【先机】>
400404,不朽之盾,,,【护盾】\n【守卫】\n【盾反】,,"""true""",6,,10,5,config/item/xddj/icon_bxzd.png,,TRUE,,<40040400>,<【护盾】;【守卫】;【盾反】>
400405,高能护腕,,,行动前【消灭】右侧相邻单位，获得其全部属性,,"""true""",6,5,5,5,config/item/xddj/icon_gnhw.png,,TRUE,,<40040500>,<【消灭】>
400406,强力手环,,,自身【击破】效果额外触发1次,,"""true""",6,,,5,config/item/xddj/icon_qlsh.png,,TRUE,,<40040600>,<【击破】>
400407,精灵之笛,,,【特技】：自身攻击减半，令随机敌方单位攻击减半并【晕眩】,,"""true""",6,,,5,config/item/xddj/icon_bkmzd.png,,TRUE,,<40040700>,<【特技】;【晕眩】>
400408,共鸣元素,,,【鼓舞】：攻击者触发【鼓舞】时额外获得装备者属性,,"""true""",6,,,5,config/item/xddj/icon_gmys.png,,TRUE,,<40040800>,<【鼓舞】>
400409,极巨腕带,,,自身属性翻倍,,"""true""",6,,,5,config/item/xddj/icon_jjwd.png,,TRUE,,<40040900>,
400410,博士面具,,,免疫技能伤害和【消灭】效果,,"""true""",6,,,5,config/item/xddj/icon_bsdmz.png,,TRUE,,<40041000>,<【消灭】>
