变量名,value,key
默认值,"""""",
ID,卡牌ID列表(Lua表格式),常量名称(代码中引用)
1,"{1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,3002,3003,3004,3005,3008,3010,3011,3012,3014,3015,3016,3017,3018,3019,3020,4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,4013,4014,4015,6001,6002,6003,6004,6005,6006,6007,6008,6009,6010,6011,6012,6013,6014,6015,6016,7001,7002,7003,7004,7005,7006,7007,7008,7009,7010,7011,7012,11001,11002,11003,11004,11005,11006,11007,11008,11009,11011,11013,11014,11015,11016,14001,14003,14004,14005,14006,14007,14008,14009,14010,14011,14012,16001,16003,16004,16005,16006,16007,16008,16009,16010,16011,17001,17002,17003,17004,17005,17006,17007,17008,17009,17010,17011,17012,18001,18002,18003,18004,18005,18006,18007,18008,18009,18010,18011,18012,18013,18014,18015,18016,18017,}",allCards
2,"{1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1021,1022,1023,7012,18008,18014,1001,}",normalCards
3,"{1001,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2013,14006,16008,}",fireCards
4,"{3002,3003,3004,3005,3008,3010,3011,3012,3014,3015,3016,3017,3018,3019,3020,6004,6008,11011,11016,16006,18009,6011,}",waterCards
5,"{4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,4014,6001,6010,11015,3015,4013,4015,14011,}",grassCards
6,,electricityCards
7,"{6005,6006,6007,6009,6011,6012,6013,6014,6016,6001,6002,6003,6004,6008,6010,6015,16010,}",iceCards
8,"{7001,7002,7003,7004,7005,7006,7007,7008,7009,7010,7011,1017,2006,2011,4007,4011,7012,11013,17006,}",combatCards
9,"{4008,4012,14007,}",poisonCards
10,"{16009,16011,17009,2010,4010,17003,}",groundCards
11,"{1014,1019,1020,1021,1022,1023,2001,2004,2008,3010,4001,4002,6005,7008,11001,16001,}",flyCards
12,"{2013,4013,6002,11001,11002,11004,11005,11006,11007,11008,11009,11013,11014,14001,14003,17011,18002,18004,18005,18010,18015,1016,2012,11003,11011,11015,11016,17005,}",superCards
13,,wormCards
14,"{6015,17012,18017,17004,}",rockCards
15,"{14004,14005,14006,14007,14008,14009,14011,14012,2014,3017,3018,4005,6013,7001,14001,14003,14010,17007,}",ghostCards
16,"{1020,6003,3008,14012,16007,}",dragonCards
17,"{4015,14010,16001,16003,16004,16005,16007,16008,16010,18016,11002,16006,16009,16011,}",evilCards
18,"{11003,17001,17002,17003,17004,17005,17006,17007,17008,17010,2007,4014,7002,17009,17011,17012,}",steelCards
19,"{18001,18003,18006,18007,18011,18012,18013,1010,1013,14008,17002,18002,18004,18005,18008,18009,18010,18014,18015,18016,18017,}",fairyCards
20,,cards1
21,"{1001,1003,1004,1014,1023,2010,2012,3004,3017,3018,3019,4009,4012,6014,6015,6016,7007,7009,11011,11015,14010,14011,16010,16011,17008,18013,18014,18016,}",cards2
22,"{1005,1009,1010,1015,1021,2009,2011,3005,3015,3016,4004,4011,6011,6012,6013,7004,7005,7006,7008,11009,11016,14009,16008,16009,17007,17009,18010,18012,18015,}",cards3
23,"{1006,1013,1019,1022,2002,2005,2007,2008,2015,3012,3014,4006,4008,4010,6007,6008,6009,6010,7003,11008,14007,14008,16006,16007,17005,17006,17010,17012,18005,18007,18008,18011,}",cards4
24,"{1002,1007,1008,1012,1018,1020,2003,2004,2006,2014,3010,3011,3020,4003,4005,4007,4014,6004,6005,6006,7002,7010,7012,11005,11006,11007,11013,14004,14005,14006,16004,16005,17003,17004,18004,18006,18009,}",cards5
25,"{1011,1016,1017,2001,2013,3002,3003,3008,4001,4002,4013,4015,6001,6002,6003,7001,7011,11001,11002,11003,11004,11014,14001,14003,14012,16001,16003,17001,17002,17011,18001,18002,18003,18017,}",cards6
101,"{14001,14003,14012}",ghostCards6
102,"{16001,16003}",evilCards6
103,"{1001,1002,1003,1004,1005,1006,1007,1008,1010,1011,1012,1013,1014,1015,1016,1017,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,7001,7002,7003,7004,7005,7006,7007,7008,7009,7010,7011,14001,14003,14004,14005,14006,14007,14008,14009,14010,14011,14012,16001,16003,16004,16006,16007,16008,16009,16010,16011,17001,17002,17003,17004,17005,17006,17007,17008,17009,17010,11001,11002,11003,11004,11005,11006,11007,11008,11009,11011,11015,11016,17011,17012,4013,4014,2014,2015}",shopCards
104,"{200025,200026,200027,200028,200029,200030,200031,200032,200033,200034}",yaoshui
105,"{3003,3008,3002,4003,14001,11005,11006,18002,18004}",ceshi
1000,"{3002,3003,3004,3005,3008,3010,3011,3012,3014,3015,3016,3017,3018,3019,3020,6005,6006,6007,6009,6011,6012,6013,6014,6016,6001,6002,6003,6004,6008,6010,6015,16010,}",newCards
