变量名,type,desc,isInitial,limited,repeat1,repeat2,costType,items,free,cost
默认值,3,"""""",FALSE,0,TRUE,FALSE,0,list(),<FALSE;FALSE;FALSE>,<0;0;0>
ID,商店类型(1黑市/3常规),描述,是否初始商店,限制次数,是否可重复刷新1,是否可重复刷新2,消耗类型,商品列表(函数),是否免费<slot1;slot2;slot3>,价格<slot1;slot2;slot3>
1,,Regular Shop,,,,,,"randomCards(c.allCards_allEquips_allEvents(),3)",,
2,,Free Shop,,1,,,,list(1014),<TRUE;TRUE;TRUE>,
3,1,Black Market,,,,,,"randomCards(c.shopCards_allEquips_allEvents(),20)",,<1;2;3>
11,,,TRUE,1,,,,list(),<TRUE;TRUE;TRUE>,
12,1,Fire-type,,2,,,,"randomCards(c.fireCards(),20)",,<1;1;1>
13,1,Steel-type,,2,,,,"randomCards(c.steelCards(),20)",,<2;2;2>
14,,General Store,,1,,,,"randomCards(c.allEquips_allEvents(),3)",,
15,2,Test Shop Only,,,,,,"list(3002,3008)",,
20,,Don't miss these deals!,,1,,,,"randomCards(c.allCards(),20)",<TRUE;TRUE;TRUE>,
21,1,Everything you need,,,,,,"randomCards(c.allCards_allEquips_allEvents(),30)",,
22,2,Quality comes at a price,,3,,,,"randomCards(c.allCards(),3)",,<1;1;1>
23,,Equipment Boutique,,2,,,,"randomCards(c.allEquips(),3)",,
24,,Step right up!,,2,,,,"randomCards(c.allEvents(),3)",,
25,,Fire sale!,,1,,,,"randomCards(c.allCards_allEquips_allEvents(),1)",,<-2;-2;-2>
26,,A cozy home for Pokémon,,,,,,"randomCards(c.allCards(),20)",,
27,,Normal-type Pokémon gather here,,,,,,"randomCards(c.normalCards(),20)",,
28,,Fire-type Pokémon gather here,,,,,,"randomCards(c.fireCards(),20)",,
29,,Water-type Pokémon gather here,,,,,,"randomCards(c.waterCards(),20)",,
30,,Grass-type Pokémon gather here,,,,,,"randomCards(c.grassCards(),20)",,
32,,Ice-type Pokémon gather here,,,,,,"randomCards(c.iceCards(),20)",,
33,,Fighting-type Pokémon gather here,,,,,,"randomCards(c.combatCards(),20)",,
37,,Psychic-type Pokémon gather here,,,,,,"randomCards(c.superCards(),20)",,
40,,Ghost-type Pokémon gather here,,,,,,"randomCards(c.ghostCards(),20)",,
42,,Dark-type Pokémon gather here,,,,,,"randomCards(c.evilCards(),20)",,
43,,Steel-type Pokémon gather here,,,,,,"randomCards(c.steelCards(),20)",,
44,,Fairy-type Pokémon gather here,,,,,,"randomCards(c.fairyCards(),20)",,
45,1,I can help—for a small price,,,,,1,"randomCards(c.allCards(),20)",,
46,,Adventure supplies,,1,,,,"randomCards(c.enhancedEvents(),3,0,0)",<TRUE;TRUE;TRUE>,
47,1,Potion Shop,,,,,,"randomCards(c.yaoshui(),20,0,0)",,<1;0;-1>
1001,,Welcome!,,,,,,list(3),<TRUE;TRUE;TRUE>,
1002,,Welcome!,,,,,,"list(4,3)",,
