变量名,name,desc,key,strokeColor,fontColor
默认值,"""""","""""","""""",<35;33;33>,<252;121;42>
ID,关键词名称,关键词说明,匹配关键词,描边颜色<R;G;B>,字体颜色<R;G;B>
50,【新春限定】,集齐并按照正确的顺序打出事件卡，会有意想不到的惊喜哦！,【新春限定】,,
111,【复活】,召唤一张卡牌的1星初始复制品,【复活】,,
112,【召唤】,生成一张新的卡牌,【召唤】,,
113,【先机】,在战斗阶段最开始时触发效果,【先机】,,
114,【濒死】,单位即将阵亡时触发效果,【濒死】,,
115,【暴击】,主动攻击时，造成的生命损失翻倍，在攻击后失去暴击,【暴击】,,
116,【光环】,该单位位于场上时，会持续触发效果,【光环】,,
117,【贯穿】,主动攻击造成单位阵亡后，本次溢出的伤害会依次转移给右侧相邻单位，直到不再产生溢出伤害,【贯穿】,,
118,【登场】,卡牌从手牌打出到场上时触发效果,【登场】,,
119,【晕眩】,跳过此单位的所有行动，之后解除晕眩,【晕眩】,,
120,【破敌】,主动攻击中击败目标时触发效果,【破敌】,,
121,【破甲】,破甲值和护甲值可以等量相互抵消，破甲值会提升单位受到的生命损失，在单位行动后清除全部破甲值,【破甲】,,
122,【宿敌】,精灵在主动攻击时会优先选取宿敌规定的单位作为目标，优先度为3,【宿敌】,,
123,【守卫】,精灵在主动攻击时会优先选取带有守卫的单位作为目标，优先度为2,【守卫】,,
124,【隐匿】,精灵在主动攻击时会优先选取没有隐匿的单位作为目标，优先度为1。失去生命时解除隐匿,【隐匿】,,
125,【变形】,持续期间成为某个精灵的初始复制品,【变形】,,
126,【护盾】,免疫首次受到的任意伤害，触发后消失,【护盾】,,
127,【治疗】,恢复已损失的生命，不会超过生命上限,【治疗】,,
128,【穿甲】,造成的伤害无视目标护甲,【穿甲】,,
129,【突袭】,攻击时不会受到反击伤害,【突袭】,,
130,【必杀】,造成任意伤害后令目标阵亡,【必杀】,,
131,【发现】,从三张随机卡牌中选择一张获得,【发现】,,
132,【坚甲】,在护甲被击破时，不会受到溢出伤害,【坚甲】,,
133,【盾反】,在作为受击方进行攻击伤害计算时攻击会翻倍,【盾反】,,
134,【特技】,将普通攻击替换成所描述的效果，多个特技无法共存,【特技】,,
135,【消灭】,直接令目标阵亡,【消灭】,,
136,【胜利】,战斗获胜时触发效果,【胜利】,,
137,【失败】,战斗失败时触发效果,【失败】,,
138,【鼓舞】,攻击低于自身的己方单位进行攻击前触发效果,【鼓舞】,,
139,【流水】,若自身攻击不是己方最低，则将普通攻击替换为“将自身所有攻击转移给己方攻击最低的精灵”，此效果与特技无法共存,【流水】,,
140,【状态】,分为正面状态和负面状态；正面状态包括穿甲、突袭、贯穿、强攻、守卫、暴击、隐匿、护盾、坚甲、盾反以及属性提升效果；负面状态包括幻影、晕眩、中毒、魅惑、冰冻以及属性降低效果,【状态】,,
141,【生长】,事件卡，可以永久提升精灵的属性，稀有度越高可提升的属性会越多,【生长】,,
142,【中毒】,目标无法恢复或提升生命值,【中毒】,,
143,【特训】,完成特训内容后，在战斗结束时永久【变形】为更强大的角色,【特训】,,
144,【幻影】,受到任意攻击或技能伤害时，立刻阵亡,【幻影】,,
145,【陷阱】,在陷阱激活状态下，首次受到攻击前触发，之后解除激活状态,【陷阱】,,
146,【灾厄】,根据添加次数对目标依次施加效果：【晕眩】，降低5点攻击和5点生命，降低一半攻击和一半生命，【消灭】目标,【灾厄】,,
147,【溅射】,攻击前对目标相邻敌人造成自身攻击一半的技能伤害,【溅射】,,
148,【魅惑】,精灵在主动攻击时会优先选取友方单位作为目标，优先度为4，攻击后解除,【魅惑】,,
149,【操控】,本场战斗获得目标精灵的控制权,【操控】,,
150,【剧毒】,若目标未【中毒】，对其施加【中毒】；若目标已【中毒】，将其【消灭】,【剧毒】,,
151,【冰冻】,获得5点护甲，期间无法行动，重复添加时叠加护甲值，失去所有护甲时解除（若双方所有精灵都被冰冻则【消灭】所有单位）,【冰冻】,,
152,【连击】,攻击后，若自身存活，则触发后续效果,【连击】,,
153,【大葱】,事件卡，可以获得特殊效果，稀有度越高，可获得的效果会越强力,【大葱】,,
154,【强攻】,主动攻击时，造成的生命损失翻倍,【强攻】,,
155,【计时】,准备阶段开始时，计时-1，计时变为0时触发一次效果并重置计时,【计时】,,
156,【应激】,战斗中，首次失去生命时触发效果,【应激】,,
157,【击破】,击败单位时触发效果,【击破】,,
158,【复苏】,受到治疗时触发效果,【复苏】,,
159,【穿透】,此伤害命中后会衰减50%并向右边单位传递,【穿透】,,
