变量名,catch,trainerId,descShow,desc,weight,group,specialWeight,trainerSkill,monsters,event,hand,awardWin,awardFail,exp,rewardWin,rewardFail
默认值,FALSE,200001,"""""",“”,0,0,{},<>,<>,{},<>,{},{},{fail=0;win=1},{},{}
ID,是否可捕捉,训练家ID,描述显示,描述,权重,分组,特殊权重{条件=权重},训练家技能<skillID>,怪物列表<cardID>,事件{配置},初始手牌<cardID>,胜利奖励{配置},失败奖励{配置},经验{win=胜利;fail=失败},胜利掉落{itemID=数量},失败掉落{itemID=数量}
1,,4,,超简单,100,1,,,<20091;20091;20101>,,<100001>,,,,,
2,,4,,超简单2,100,1,,,<170031;170101;170051>,,<100001>,,,,,
3,,4,,有点难,30,2,,,<20091;20071;170091;20032>,,<100001>,,,,,
4,,4,,有点难2,20,2,,,<170041;170041;170091;170082>,,,,,,,
5,,4,,超级难,10,3,,,<20021;20021;20021;20021;20062>,,,,,,,
6,,4,,特殊,10,,,,<20111;20111;20111;20042>,,,,,,,
11,,4,这是新手关,新手关,100,,,<1>,<20091;20091;20101>,,,{card=randomCards(c.allEvents());gameGold=2},{card=randomCards(c.allEvents());gameGold=2},{fail=5;win=10},{coin19=10},{coin19=5}
12,,4,这是第一章1,第一章1,100,,,,<170031;170101;170051>,,,{card=randomCards(c.allCards_allEquips_allEvents());gameGold=2},{card=randomCards(c.allCards_allEquips_allEvents());gameGold=2},{fail=10;win=20},{coin19=20},{coin19=10}
13,,4,这是第一章BOSS,第一章BOSS,100,,,,<20091;20071;170091;20032>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=3}","{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=3}",{fail=0;win=30},{coin19=30},{coin19=0}
14,,4,这是第二章1,第二章1,100,,,,<170041;170041;170091;170082>,,,{card=randomCards(c.allCards_allEquips_allEvents());gameGold=4},{card=randomCards(c.allCards_allEquips_allEvents());gameGold=4},{fail=5;win=10},{coin19=10},{coin19=5}
15,,4,这是第二章2,第二章2,100,,,,<20021;20021;20021;20021;20062>,,,{card=randomCards(c.allCards_allEquips_allEvents());gameGold=5},{card=randomCards(c.allCards_allEquips_allEvents());gameGold=5},{fail=10;win=20},{coin19=20},{coin19=10}
16,,4,这是第二章BOSS,第二章BOSS,100,,,,<20111;20111;20111;20042>,,<100001>,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}","{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=6}",{fail=0;win=30},{coin19=30},{coin19=0}
17,,4,这是第三章1,第三章1,100,,,,<20091;20091;20091;20031;20031;20034>,,,{card=randomCards(c.allCards_allEquips_allEvents());gameGold=7},{card=randomCards(c.allCards_allEquips_allEvents());gameGold=7},{fail=10;win=20},{coin19=20},{coin19=10}
18,,4,这是第三章2,第三章2,100,,,,<20051;20051;20051;20051;20051;20054>,,,{card=randomCards(c.allCards_allEquips_allEvents());gameGold=8},{card=randomCards(c.allCards_allEquips_allEvents());gameGold=8},{fail=15;win=30},{coin19=30},{coin19=15}
19,,4,这是第三章3,第三章3,100,,,,<170011;170021;170071;170031;170084>,,,{card=randomCards(c.allCards_allEquips_allEvents());gameGold=9},{card=randomCards(c.allCards_allEquips_allEvents());gameGold=9},{fail=20;win=40},{coin19=40},{coin19=20}
20,,4,这是第三章BOSS,第三章BOSS,100,,,,<20091;20041;20031;20031;20011;20014>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=10}","{card=randomCards(c.allCards_allEquips_allEvents(),2);gameGold=10}",{fail=0;win=50},{coin19=50},{coin19=0}
21,,4,,玩家挑战1,100,,,,<20091;20041;20031;20031;20011;20014>,,<100001>,,,,,
22,,4,,玩家挑战2,100,,,,<20091;20041;20031;20031;20011;20014>,,<100001>,,,,,
23,,4,,玩家挑战3,100,,,,<20091;20041;20031;20031;20011;20014>,,<100001>,,,,,
101,,,,,100,,,,<40054;40112;40044;40012;40104;40062>,,,,,,,
102,,200002,,,100,,,,<170014;170022;170034;170072;170044;170082>,,,,,,,
103,,200003,,,100,,,,<70014;70022;70104;70032;70094;70112>,,,,,,,
1001,,3,博士的小测验,小小测验,,,,,<1001>,,,{gameGold=3},,,,
1002,,3,博士的进阶测验,进阶测验,,,,,<1002;1002>,,,,{card=<5;100013>},,,
1003,,3,博士的最终测验,最终测验,,,,,<1003>,,,{gameGold=3},,,,
1000001,,3,这是成为训练家的必经之路,博士的考验,100,,,,<10011;10031>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000002,,3,这是成为训练家的必经之路,博士的考验,100,,,,<10031;10041>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000003,,3,这是成为训练家的必经之路,博士的考验,100,,,,<140101;140111>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000004,,3,这是成为训练家的必经之路,博士的考验,100,,,,<40101;40111>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000005,,3,这是成为训练家的必经之路,博士的考验,100,,,,<70071;70091>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000006,,3,这是成为训练家的必经之路,博士的考验,100,,,,<160101;10031>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000007,,3,这是成为训练家的必经之路,博士的考验,100,,,,<70091;140111>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000008,,3,这是成为训练家的必经之路,博士的考验,100,,,,<140111;70071>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000009,,3,这是成为训练家的必经之路,博士的考验,100,,,,<10141;110111>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000010,,3,这是成为训练家的必经之路,博士的考验,100,,,,<70071;180131>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000011,,3,这是成为训练家的必经之路,博士的考验,100,,,,<180161;180161>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000012,,3,这是成为训练家的必经之路,博士的考验,100,,,,<30171;30181>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000013,,3,这是成为训练家的必经之路,博士的考验,100,,,,<60141;60161>,,,{gameGold=5},{gameGold=3},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000101,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<10011;70091;160111>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
1000102,,4,野生的宝可梦出现了!,野生宝可梦,100,,,,<110161;110151;110091>,,,"{card=randomCards(c.allCards_allEquips_allEvents(),1);gameGold=3}",{gameGold=1},{fail=0;win=1},{coin19=110;gold=15000},{coin19=65;gold=9000}
