变量名,hasTitle,type,awards,rankMax
默认值,FALSE,0,{},
ID,是否有称号,类型,奖励{itemID=数量},排名上限(前N名)
1,TRUE,,{133=60;coin19=20000;gold=5000000},1
2,TRUE,,{133=54;coin19=18000;gold=4500000},2
3,TRUE,,{133=48;coin19=16000;gold=4000000},3
4,TRUE,,{133=44;coin19=14000;gold=3500000},6
5,TRUE,,{133=40;coin19=12000;gold=3000000},10
6,TRUE,,{133=36;coin19=11200;gold=2800000},30
7,,,{133=32;coin19=10400;gold=2600000},60
8,,,{133=28;coin19=9600;gold=2400000},100
9,,,{133=26;coin19=8800;gold=2200000},300
10,,,{133=24;coin19=8000;gold=2000000},600
11,,,{133=22;coin19=7200;gold=1800000},1000
12,,,{133=20;coin19=6400;gold=1600000},2000
13,,,{133=20;coin19=5600;gold=1400000},99999
101,,1,{133=30;coin19=8000;gold=2000000},1
102,,1,{133=27;coin19=7200;gold=1800000},2
103,,1,{133=24;coin19=6400;gold=1600000},3
104,,1,{133=22;coin19=5600;gold=1400000},6
105,,1,{133=20;coin19=4800;gold=1200000},10
106,,1,{133=18;coin19=4480;gold=1120000},30
107,,1,{133=16;coin19=4160;gold=1040000},60
108,,1,{133=14;coin19=3840;gold=960000},100
109,,1,{133=13;coin19=3520;gold=880000},300
110,,1,{133=12;coin19=3200;gold=800000},600
111,,1,{133=11;coin19=2880;gold=720000},1000
112,,1,{133=10;coin19=2560;gold=640000},2000
113,,1,{133=10;coin19=2240;gold=560000},99999
