变量名,sortValue,regainHour,exchangeLimit,showUnable,vipStart,endDate,beginDate,topScore,limitTimes,limitType,itemMap,costMap,levelRange,languages
默认值,0,0,-1,FALSE,0,20990101,0,0,0,0,{},{},<1;150>,<cn>
ID,排序值,恢复小时,兑换上限,显示不可用,VIP等级要求,结束日期(YYYYMMDD),开始日期(YYYYMMDD),积分上限,限购次数,限购类型,商品{itemID=数量},花费{itemID=数量},等级范围<min;max>,语言区域<lang>
1001,1,24,2,,,,,,,,{24081=3},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1002,2,24,2,,,,,,,,{20321=3},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1003,3,24,2,,,,,,,,{20561=3},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1004,4,24,2,,,,,,,,{24071=3},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1005,5,24,2,,,,,,,,{22371=3},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1006,7,,,,,,,,15,3,{22441=1},{coin19=7500},,<cn;tw;en;en_us;en_eu;kr>
1007,6,24,2,,,,,,,,{20991=3},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1101,8,24,2,,,,,,,,{5000=10},{coin19=3000},,<cn;tw;en;en_us;en_eu;kr>
1102,9,48,3,,,,,,,,{514=10},{coin19=1800},,<cn;tw;en;en_us;en_eu;kr>
1103,10,24,3,,,,,,,,{15=5},{coin19=2000},,<cn;tw;en;en_us;en_eu;kr>
1104,11,,,,,,,,10,2,{7350=1},{coin19=1000},,<cn;tw;en;en_us;en_eu;kr>
1105,12,,,,,,,,10,3,{7351=1},{coin19=5000},,<cn;tw;en;en_us;en_eu;kr>
1106,13,,,,,,,,10,3,{7352=1},{coin19=15000},,<cn;tw;en;en_us;en_eu;kr>
1107,16,12,10,,,,,,,,{131=1},{coin19=80},,<cn;tw;en;en_us;en_eu;kr>
1108,17,24,5,,,,,,,,{132=1},{coin19=600},,<cn;tw;en;en_us;en_eu;kr>
1109,18,48,2,,,,,,,,{133=1},{coin19=1800},,<cn;tw;en;en_us;en_eu;kr>
1110,15,,,,,,,,50,1,{7356=1},{rmb=88},,<cn;tw;en;en_us;en_eu;kr>
1111,14,,,,,,,,5,3,{7353=1},{coin19=45000},,<cn;tw;en;en_us;en_eu;kr>
1120,19,,,,,,,3000,1,4,{2834=1},{coin19=12000},,<cn>
1125,20,,,,,,,6000,1,4,{2531=1},{coin19=45000},,<cn>
