变量名,name,choiceDesc3,choice4After,icon,choice2After,choiceDesc2,choice1After,onceEffectAniName,onceEffectResPath,choiceDesc1,choiceNum,desc,choiceDesc4,choice3After,onceEffectOffsetPos,choice1,choice2,choice3,choice4
默认值,"""""","""""","""""","""""","""""","""""","""""",effect,"""""","""""",4,"""""","""""","""""",{y=0;x=0},{},{},{},{}
ID,故事名称,选项3描述,选项4结果,图标,选项2结果,选项2描述,选项1结果,特效动画名,特效资源路径,选项1描述,选项数量,故事描述,选项4描述,选项3结果,特效偏移{x;y},选项1效果{case={效果}},选项2效果{case={效果}},选项3效果{case={效果}},选项4效果{case={效果}}
1,Rustling Grass,Keep moving,,,The Pokémon joins your team.,Take it with you,The Pokémon runs away.,,,Rescue the Pokémon,3,A Pokémon is trapped in the tall grass.,,You have no time to get involved.,,{case={insertEncounter=<<110>>}},{case={card=randomCards(c.allCards())}},{case={specialScore=100}},
2,Pokémon's Thanks,Healing herbs,,,,A new item,,,,A new Pokémon,,"To thank you, the Pokémon brings you a reward.",Nothing,,,{case={card=randomCards(c.allCards())}},{case={card=randomCards(c.allEquips())}},{case={trainerHp=5}},{case={insertEncounter=<<111;2>>}}
3,The Hunter's Revenge,,,,"You trip while fleeing and scrape your head, but he doesn't catch up.",Try to flee,,,,Accept the challenge,2,You stole the hunter's dinner; now he demands a duel.,,,,{case={encounter=228}},{case={trainerHp=-5}},,
11,End of the Road,,,,,,,effect,lushi/zhuanchang/zizouqi_zhuanchang.skel,,0,Ready to head to the next region?,,,{x=-50;y=0},,,,
12,Masters Division,,,,,,,effect,lushi/zhuanchang/zizouqi_zhuanchang.skel,,0,"You've reached the Masters arena entrance. Trainer, are you ready? (Entering the Masters counts as clearing the run and settles related clear achievements.)",,,{x=-50;y=0},,,,
15,Ready to Go,Expedition gear,,,,Lunch Box,,,,A bag of gold,3,What should you bring on the adventure?,,,,{case={gameGold=5}},"{case={card=list(200024,200024)}}","{case={card=randomCards(c.allEquips_allEvents(),1,0,0)}}",
21,Pitch-Black Cave,,,,,Leave,You find something useful in the cave.,,,Go inside (requires a Fire-type Pokémon on your team),2,"Something seems to be in the cave, but it's pitch black inside.",,,,"{case={card=randomCards(c.allEquips_allEvents())};condition=<moreE(countObj(""nature"",1,list(2)),1)>}",{case={over=1}},,
22,Empty Belly,,,,"Eating it raw, your stomach hurts the whole way.",Eat it raw,The grilled fish smells amazing.,,,Cook it (requires a Fire-type Pokémon on your team),2,"Your stomach won't stop growling, so you catch a few fish in the river.",,,,"{case={trainerHp=5};condition=<moreE(countObj(""nature"",1,list(2)),1)>}",{case={trainerHp=-5}},,
