变量名,name,rankSubName,unitID,headIcon,baseDamage,unlockArg,unlockType,gold,figureID,hp,skills,cards,advancedCards,style,chapters,levelAwards,languages,unlockCost,storys
默认值,"""""","""""",0,"""""",2,99,0,5,0,{},{},{},{},{},<>,{},<cn;tw;en;en_us;en_eu;vn;th;kr>,{},<>
ID,训练家名称,排行副标题,单位ID,头像资源,基础伤害,解锁参数,解锁类型(3无/1充值/0默认),初始金币,立绘ID,生命{等级=血量},技能{skillID=等级},初始卡牌{cardID=数量},进阶卡牌{cardID=数量},风格{属性=权重},章节<chapterID>,等级奖励{配置},语言区域<lang>,解锁花费{itemID=数量},剧情<<关卡;storyID>>
1,Test,XIAOZHI,,city/adventure/auto_chess/icon_zzq_xiaozhi@.png,,1,2,999,1,{1=50;5=50;10=50;15=50;20=50},{10000201=1;10000207=1;10000303=1},{1001=1;1003=1;1004=1;1005=1;1010=1;4003=18;4004=8;4006=10;4008=20;4009=6;4010=1;4011=1;4012=2;17005=12;17006=14;17007=1;17008=1;17009=4;17010=16},,{4=50;17=50},<11;12;13;14;15;16;17;18>,,,,
2,Beginner Guide,XIAOZHI,,city/adventure/auto_chess/icon_zzq_xiaozhi@.png,,,3,0,2,{1=30;5=35;10=40;15=45;20=50},{1001=1},,,{2=50;7=50},<1001;1002;1003;1004;1005>,,,,<<0;1001>;<0;1011>;<1;1101>;<2;1201>;<4;1301>;<5;1401>;<7;1501>;<9;1601>;<10;1701>;<11;1801>;<12;1901>;<13;2001>;<15;2101>;<16;2201>;<17;2301>;<18;2401>;<19;2501>;<20;2601>;<22;2701>;<24;2801>;<25;2901>;<26;3001>;<27;3101>;<28;3201>;<29;3301>;<30;3401>;<32;3501>;<35;3601>>
3,Professor Oak,,,,,,3,,32,{1=1},,,,,,,,,
4,Wild Pokemon,,891,,,,3,,,{1=1},,,,,,,,,
5,Gentle Trainer,,,,,,3,,29,{1=1},,,,,,,,,
6,Boss,,13,,,,3,,,{1=1},,,,,,,,,
7,Wild Pokemon,,781,,,,3,,,{1=1},,,,,,,,,
8,Mischievous Trainer,,,,,,3,,41,{1=1},,,,,,,,,
9,Boss,,3611,,,,3,,,{1=1},,,,,,,,,
10,Wild Pokemon,,992,,,,3,,,{1=1},,,,,,,,,
11,Tough Trainer,,,,,,3,,51,{1=1},,,,,,,,,
12,Boss,,4101,,,,3,,,{1=1},,,,,,,,,
13,Forest Dweller,,2442,,,,3,,,{1=1},,,,,,,,,
14,PVP Lineup Test Only,,,,,1,2,,206,{1=30;5=35;10=40;15=45;20=50},{10000101=1;10000102=1;10000103=1;10000104=3;10000105=3;10000106=5;10000107=5;10000108=10;10000109=10;10000110=15},{1001=1;1003=1;1004=1;1005=1;1010=1;2002=15;2005=15;2007=15;2008=15;2009=2;2010=1;2011=4;2012=1;7004=6;7005=8;7006=10;7007=1;7008=12;7009=1},,{2=50;7=50},<11;12;13;14;15;16;17;18>,,,,
15,Arena Match,,271,,,,3,,,{1=1},,,,,,,,,
16,Rogue Hideout,,1081,,,,3,,,{1=1},,,,,,,,,
17,Ancient Tomb,,2991,,,,3,,,{1=1},,,,,,,,,
18,Mind Control,,263,,,,3,,,{1=1},,,,,,,,,
