变量名,name,figureID,hp,gold,skill
默认值,"""""",0,30,0,
ID,训练家名称,立绘ID,生命值,初始金币,技能ID
1,Blaine,206,,,10000101
2,Jasmine,201,,,10000102
3,Morty,205,,,10000103
4,Valerie,203,,,10000104
5,Ash,1,,,10000105
6,Misty,2,,,10000106
7,Rapp,3,,,10000107
8,Plumeria,4,,,10000108
9,Morgan,5,,,10000109
10,Meray,6,,,10000110
11,Alexa,7,,,10000201
12,Viola,8,,,10000202
13,Marlon,9,,,10000203
14,Roxanne,10,,,10000204
15,Colress,11,,,10000205
16,Flannery,12,,,10000206
17,Hugh,13,,,10000207
18,Roxie,14,,,10000208
19,Bianca,15,,,10000209
20,Korrina,16,,,10000210
21,Dana,17,,,10000301
22,Evelyn,18,,,10000302
23,Nita,19,,,10000303
24,Lenora,20,,,10000304
25,Hilda,21,,,10000305
26,Rosa,22,,,10000306
27,Millis,23,,,10000307
28,Phoebe,24,,,10000308
29,Lana,25,,,10000309
30,Green,26,,,10000310
31,Brock,27,,,10000401
32,Wicke,28,,,10000402
33,Tupp,29,,,10000403
34,Kukui,30,,,10000404
35,Alain,31,,,10000405
36,Professor Oak,32,,,10000406
37,Elio,33,,,10000407
38,Selene,34,,,10000408
39,James,35,,,10000409
40,Jessie,36,,,10000410
