变量名,name,type,filterTarget,cd,cost,triggerTimes,desc,skillIcon,buff,findBuff
默认值,"""""",1,"""""",0,0,999,"""""","""""",<>,<>
ID,技能名称,类型(1主动/2主动选择/3被动),筛选条件,冷却回合,消耗(金币/血量),触发次数上限,技能描述,技能图标,Buff<buffID>,发现Buff<buffID>
1,Test 1,,,1,4,,Active: All Steel-type Pokémon on the field gain +20 Armor for one battle.,,<1000001>,
2,Test 2,,,3,,,Active: 【Discover】 a random card. Cooldown: 3 battles.,,<1000101>,
3,Test 3,2,TRUE,1,1,,Active: Trainer HP -1. Choose a unit on the field and give it +1 Attack permanently.,,,<1000201>
4,Test 4,3,,,,,Passive: The leftmost card in the normal shop costs 1 less.,,<1000301>,
5,Test 5,3,,,,,"Passive: After you win a battle, Trainer HP +1 and Gold +1.",,<1000401>,
1001,Protagonist Aura,,,,,1,"Active: If you lose the next battle, you take no damage and gain 99 gold (once per match).",,<1001>,
1002,No Skill,3,,,,,This trainer has no skill.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb1.png,<>,
1003,Starting Supplies,,,99,,,Active: Gain 1 random Equipment card. Cooldown: 99 battles.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb1.png,<1004>,
10001,Healing,3,,,,,"Your units gain: After acting, heal all allies for 5 damage taken.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb1.png,<1000111>,
10002,Rage,3,,,,,"Your units gain: When they lose HP, they gain +3 Attack.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb2.png,<1000211>,
10003,Fury,3,,,,,Your units gain: 【Critical Hit】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb3.png,<1000311>,
10004,Blessing I,3,,,,,"At battle start, all your Pokémon gain +5 Attack and +10 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb4.png,<1000411>,
10005,Netherfire,3,,,,,Your units gain: 【Near Death】: Deal 10 skill damage to a random enemy.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb5.png,<1000511>,
10006,Coalesce,3,,,,,"Your units gain: Before acting, give a random ally +3 Armor.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb6.png,<1000611>,
10007,Trickery,3,,,,,"At battle start, all units on the field swap their Attack and HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb7.png,<1000711>,
10008,Annihilation,3,,,,,"At battle start, the leftmost unit on each side becomes a 【Phantom】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_ys.png,<1000811>,
10009,Last Wish,3,,,,,Your units gain: 【Near Death】: All your Pokémon gain +5 Attack and +5 HP.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_cx.png,<1000911>,
10010,Iron Guard,3,,,,,Your rightmost unit has 【Guard】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_hw.png,<1001011>,
10011,Craving,3,,,,,Your units gain: 【Near Death】: 【Charm】 1 random enemy.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_my.png,<1001111>,
10012,Chill,3,,,,,"Your units gain: After attacking, 【Freeze】 the target.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs3.png,<1001211>,
10013,Flowing Water,3,,,,,Your units gain: 【Flow】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs9.png,<1001311>,
20001,Shield Wall,3,,,,,"At battle start, all your Pokémon gain 【Shield】. Units that already have 【Shield】 double their Attack instead.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am1.png,<2000111>,
20002,Mountain Breaker,3,,,,,Your units gain: 【Armor Pierce】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am2.png,<2000211>,
20003,Blessing II,3,,,,,"At battle start, all your Pokémon gain +10 Attack and +20 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am3.png,<2000311>,
20004,Hold the Line,3,,,,,Your units gain: +1 Armor and 【Fortified Armor】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am4.png,<2000411>,
20005,Eternity,3,,,,,"After your Pokémon have been hit 6 times in total, all allies gain +20 Armor.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am5.png,<2000511>,
20006,Psycho Cut,3,,,,,"Your units gain: After attacking, 【Stun】 the target.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am6.png,<2000611>,
20007,Plunder,3,,,,,"Your units gain: After attacking, steal 5 Attack from the target.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am7.png,<2000711>,
20008,Dark Soul,3,,,,,"Your units gain: Before being attacked, reduce the attacker's Attack by 5.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am8.png,<2000811>,
20009,Sword Guard,3,,,,,Your units gain: 【Shield Counter】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am9.png,<2000911>,
20010,Shackles,3,,,,,"At battle start, the three enemies with the highest Attack halve their Attack and are 【Stun】ned.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am10.png,<2001011>,
20011,Pin I,3,,,,,"At battle start, turn one random enemy into 1 Attack and 1 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb8.png,<2001111>,
20012,Untainted,3,,,,,"Your units gain: When afflicted by a negative 【Status】, remove it and gain +1 Attack and +1 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs5.png,<2001211>,
20013,Deep Freeze,3,,,,,"At battle start, 【Freeze】 all enemies.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs1.png,<2001311>,
30001,Cleave,3,,,,,"Your units gain: +10 Attack, +10 HP, and 【Cleave】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb1.png,<3000111>,
30002,Burst,3,,,,,"Your units gain: +10 Attack, +10 HP, and 【Splash】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb2.png,<3000211>,
30003,Blessing III,3,,,,,"At battle start, all your Pokémon gain +20 Attack and +40 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb3.png,<3000311>,
30004,Press the Advantage,3,,,,,"Your units gain: +10 Attack, 【On Kill】: The ally to the right gains +5 Attack and acts immediately.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb4.png,<3000411>,
30005,Swords Dance,3,,,,,"Your units gain: +20 HP, 【On Kill】: All your Pokémon gain +10 Attack.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb5.png,<3000511>,
30006,Teamwork,3,,,,,Your units gain: 【Rally】: Self gains +3 Attack and +3 HP.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb6.png,<3000611>,
30007,Rot,3,,,,,"Your units gain: After attacking, deal X 【Armor Shred】 to the target (X equals your Attack).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb7.png,<3000711>,
30008,Fragility,3,,,,,"At battle start, all enemies halve their HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb8.png,<3000811>,
30009,Bind,3,,,,,"At battle start, all enemies gain 【Stun】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb9.png,<3000911>,
30010,Deflect,3,,,,,"Your units gain: Before being attacked, deal X skill damage to a random enemy (X equals the attacker's Attack).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_sj.png,<3001011>,
30011,Pin II,3,,,,,"At battle start, the enemy with the highest Attack has its HP set to 1, and the enemy with the highest HP has its Attack set to 1.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb8.png,<3001111>,
30012,New Garb,3,,,,,"At battle start, all enemies gain +20 Armor and: When they lose Armor, 【Destroy】 themselves.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xy.png,<3001211>,
30013,Deadly Poison,3,,,,,"Your units gain: After attacking, give the target 【Toxic】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_fh.png,<3001311>,
40001,Ambush Strike,3,,,,,"Your units gain: 【Stealth】, and while in 【Stealth】, gain 【Ambush】.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am1.png,<4000111>,
40002,Blessing IV,3,,,,,"At battle start, all your Pokémon gain +30 Attack and +60 HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am2.png,<4000211>,
40003,Silver Wind,3,,,,,"At battle start / when an enemy unit is knocked out, deal 8 skill damage to all enemies.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am3.png,<4000311>,
40004,Self-Destruct,3,,,,,"Your units gain: After acting, +5 Attack, 【Near Death】: Deal X skill damage to all enemies (X equals your Attack).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am4.png,<4000411>,
40005,Shatter,3,,,,,"Your units gain: Before acting, deal 3 【Armor Shred】 skill damage to all enemies.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am5.png,<4000511>,
40006,Endless,3,,,,,Your non-summoned units gain: 【Near Death】: Summon 1 initial copy of self in place.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_am6.png,<4000611>,
40007,Bubble,3,,,,,Your units gain: 【Near Death】: Turn the unit that KO'd you into a 【Phantom】.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xy.png,<4000711>,
40008,Savage,3,,,,,"Your units gain: Before acting, double HP and Attack.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_cx.png,<4000811>,
40009,Madness,3,,,,,"Your units gain: +1 action per turn; before each action, heal all damage taken and gain +5 Attack.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_kj.png,<4000911>,
40010,Equality,3,,,,,"At battle start, 【Destroy】 the 3 highest-Attack units on the entire field.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_zh.png,<4001011>,
40011,Moon in the Water,3,,,,,"At battle start, all enemies become 【Phantom】s; after any unit acts, they return to physical form.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_sy.png,<4001111>,
40012,Flower in the Mirror,3,,,,,"Your units gain: Before acting, 【Summon】 1 【Phantom】 of self.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_jh.png,<4001211>,
40013,Dead of Winter,3,,,,,"Your units gain: After acting, enemies with no Armor halve their HP.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs6.png,<4001311>,
40014,Devour,3,,,,,Your units gain: 【On Kill】: Gain all of the target's stats.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs7.png,<4001411>,
90001,Talent Scout,2,TRUE,,10,1,"Choose a Pokémon and promote it to 4★ (once per match#HIDE#, used $selfTrainer:getBuffOverlayCount(9000102)$ time(s)#HIDE#).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb9.png,,<9000100>
90002,Awareness,3,,,,,"When the shop levels up, randomly gain 1 Pokémon card that matches the current shop level.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am6.png,<9000200>,
90003,Revenge,3,,,,,"When you lose a battle, Pokémon on your field and in hand permanently gain +#HIDE#$(selfTrainer:hasBuff(9000301) and selfTrainer:getBuff(9000301):getValue() or 1)$M0REN$1$#HIDE# Attack and +#HIDE#$(selfTrainer:hasBuff(9000301) and selfTrainer:getBuff(9000301):getValue() or 1)$M0REN$1$#HIDE# HP (the effect doubles each time you lose).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_sj.png,<9000300>,
90004,Entrance,2,TRUE,1,2,,Choose a Pokémon and return it to your hand. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_zy.png,,<9000400>
90005,Mercy,3,,,,,"After you lose 3 times total, refreshing the shop costs only 1 gold for the rest of this match#HIDE#(losses so far: $selfTrainer:getBuffOverlayCount(9000501)$)#HIDE#.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_am9.png,<9000500>,
90006,Easy Money,3,,,,,"At end of prep phase, if you have 0 gold, gain 2 gold.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb1.png,<9000600>,
90007,Secret Art,2,TRUE,,,3,"Choose a Pokémon: temporary stat gains in the next battle become permanent (3 times per match#HIDE#, used $selfTrainer:getBuffOverlayCount(9000708)$ time(s)#HIDE#).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_qz.png,,<9000700>
90008,Perfect Pair,3,,,,,"When a Pokémon is promoted to 4★, gain 1 extra breakthrough reward card.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_jh.png,<9000800>,
90009,Investment,,,1,10,4,"After using this skill 4 times total, all Pokémon on your field permanently gain +100 Attack and +100 HP (4 times per match#HIDE#, used $selfTrainer:getBuffOverlayCount(9000900)$ time(s)#HIDE#).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb7.png,<9000900>,
90010,Metamorph,,,3,3,,Gain 1 random Ditto. Cooldown: 3 turns.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs3.png,<9001000>,
90011,Swap,,,2,,,"Trainer HP -1, gain 3 gold. Cooldown: 2 turns.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb6.png,<9001100>,
90012,Disguise,,,,3,,"Gain your next opponent's trainer skill; at the start of the next prep phase, gain 1 [Remove Disguise] card.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_ys.png,<9001200>,
90013,Loop,,,1,4,5,"【Discover】 1 Pokémon card priced at #HIDE#$2+selfTrainer:getBuffOverlayCount(9001302)$M0REN$2$#HIDE# (upgrades each use; 5 times per match#HIDE#, used $selfTrainer:getBuffOverlayCount(9001303)$ time(s)#HIDE#).",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs6.png,<9001300>,
90014,Smithing,,,1,3,,【Discover】 1 Equipment card of current shop level +1. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb5.png,<9001400>,
90015,Privilege,3,,,,,The first shop refresh each turn is free.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_my.png,<9001500>,
90016,Supplies,3,,,,,"After every 2 losses, from shop stock 【Discover】 one Pokémon, one Equipment, and one Event card each#HIDE#(losses so far: $selfTrainer:getBuffOverlayCount(9001601)$)#HIDE#.",city/adventure/auto_chess/trainer_skillicon/icon_zzq_xb2.png,<9001600>,
90017,Returns,2,TRUE,1,,,Choose a Pokémon and sell it at full price. Cooldown: 1 turn.,city/adventure/auto_chess/trainer_skillicon/icon_zzq_xs7.png,,<9001700>
