变量名,_beizhu,normal,fire,water,grass,electricity,ice,combat,poison,ground,fly,super,worm,rock,ghost,dragon,evil,steel,fairy
默认值,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
属性ID,属性备注（攻击类型/防御类型）,一般,火,水,草,电,冰,格斗,毒,地面,飞行,超能,虫,岩石,幽灵,龙,恶,钢,妖精
1,一般,,,,,,,,,,,,,0.8,0.8,,,0.8,
2,火,,0.8,0.8,1.2,,1.2,,,,,,1.2,0.8,,0.8,,1.2,
3,水,,1.2,0.8,0.8,,,,,1.2,,,,1.2,,0.8,,,
4,草,,0.8,1.2,0.8,,,,0.8,1.2,0.8,,0.8,1.2,,0.8,,0.8,
5,电,,,1.2,0.8,0.8,,,,0.8,1.2,,,,,0.8,,,
6,冰,,0.8,0.8,1.2,,0.8,,,1.2,1.2,,,,,1.2,,0.8,
7,格斗,1.2,,,,,1.2,,0.8,,0.8,0.8,0.8,1.2,0.8,,1.2,1.2,0.8
8,毒,,,,1.2,,,,0.8,0.8,,,,0.8,0.8,,,0.8,1.2
9,地面,,1.2,,0.8,1.2,,,1.2,,0.8,,0.8,1.2,,,,1.2,
10,飞行,,,,1.2,0.8,,1.2,,,,,1.2,0.8,,,,0.8,
11,超能,,,,,,,1.2,1.2,,,0.8,,,,,0.8,0.8,
12,虫,,0.8,,1.2,,,0.8,0.8,,0.8,1.2,,,0.8,,1.2,0.8,0.8
13,岩石,,1.2,,,,1.2,0.8,,0.8,1.2,,1.2,,,,,0.8,
14,幽灵,0.8,,,,,,,,,,1.2,,,1.2,,0.8,,
15,龙,,,,,,,,,,,,,,,1.2,,0.8,0.8
16,恶,,,,,,,0.8,,,,1.2,,,1.2,,0.8,,0.8
17,钢,,0.8,0.8,,0.8,1.2,,,,,,,1.2,,,,0.8,1.2
18,妖精,,0.8,,,,,1.2,0.8,,,,,,,1.2,1.2,0.8,
