变量名,name,_beizhu,type,activeType,desc,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath
默认值,"""""","""""",0,1,"""""",0,0,{},3,<>,<>,0,0,999,100,0,""""""
ID,名称,备注,类型(1-属性加成;2-激活被动技能;3-招募),生效类型(1-非全局生效;2-全局生效),描述,稀有度,索引ID,属性类型({attrType:attrNum}),提升范围(1-前排;2-后排;3-全体;4-指定属性;5-指定属性技能),激活被动技能ID,招募卡牌ID,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;),解锁目标,解锁次数,基础权重,全局触发上限(0-无限制),图标资源
1001,攻击强化,,1,,该玩法内己方后排双攻提升10%,1,1,{7=10%;8=10%},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1002,伤害强化,,1,,该玩法内己方后排伤害加成提升10%,1,1,{22=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1003,暴击强化,,1,,该玩法内己方后排暴击率提升10%,1,1,{14=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1004,必杀强化,,1,,该玩法内己方后排必杀伤害加成10%,1,1,{24=1000},2,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1005,攻击强化(强),,1,,该玩法内己方后排双攻提升20%,1,2,{7=20%;8=20%},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1006,伤害强化(强),,1,,该玩法内己方后排伤害加成提升20%,1,2,{22=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1007,暴击强化(强),,1,,该玩法内己方后排暴击率提升20%,1,2,{14=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1008,必杀强化(强),,1,,该玩法内己方后排必杀伤害加成20%,1,2,{24=2000},2,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
1009,双防强化,,1,,该玩法内己方前排双防提升10%,1,1,{9=10%;10=10%},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1010,免伤强化,,1,,该玩法内己方前排伤害减免提升10%,1,1,{23=1000},1,,,,,,,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
