变量名,groupID,floor,position,firstRandomLibs,repeatRandomLibs1,weight1,repeatRandomLibs2,weight2
默认值,0,1,1,{},{},100,{},0
ID,勋章生成库索引ID,层数,位置ID(1;2;3),首次随机库(<<id;weight>;<id;weight>>),非首次随机库1(<<id;weight>;<id;weight>>),随机库1权重,非首次随机库2,随机库2权重
1,1,0,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
2,1,0,2,{1=50},{50002=50;50003=30},,{50002=50;50003=30},10
3,1,0,3,{1=50},{1001=30;10001=50},,{1001=30;10001=50},10
4,1,,,{1=50;2=10},{1=50;2=10},,{2=50},10
5,1,,2,{2=50;101=20},{2=50},,{101=50;1001=20},10
6,1,,3,{50001=50;50002=30},{50001=50;50002=5},,{50001=50;50003=5},10
7,1,2,,{1=50;2=20},{1=50;2=20},,{2=50},10
8,1,2,2,{2=50;101=30},{2=50;4=10},,{101=50;1001=30},10
9,1,2,3,{50001=50;50002=40},{50001=50;50002=15},,{50001=50;50003=10},10
10,1,3,,{1=50;2=30},{1=50;2=30},,{2=50},10
11,1,3,2,{101=50;50001=30},{4=20;101=50},,{101=50;10001=30},10
12,1,3,3,{50001=50;50002=50},{50001=50;50002=30},,{50001=50;50003=15},10
13,1,4,,{2=50;3=10},{2=50;3=20},,{2=50;3=20},10
14,1,4,2,{101=50;50002=30},{101=50;1001=20},,{1001=50;50002=50},10
15,1,4,3,{1001=30;50001=50},{50001=50},,{50001=50;50003=20},10
16,1,5,,{2=50;3=20},{2=50;3=30},,{4=30;101=50},10
17,1,5,2,{4=50;1001=50},{1001=50;50002=30},,{1001=50;50002=30},10
18,1,5,3,{50002=50},{50002=50},,{50001=50;50003=25},10
19,1,6,,{2=50;3=30},{2=50;101=40},,{101=50;10001=40},10
20,1,6,2,{4=50;1001=50},{1001=50;50002=30},,{1001=50;5001=30},10
21,1,6,3,{1001=30;50002=50},{50002=50;50003=10},,{50002=50;50003=30},10
22,1,7,,{3=10;101=50},{101=50;50002=30},,{101=50;50002=30},10
23,1,7,2,{4=30;10001=50},{4=30;1001=50},,{4=30;10001=50},10
24,1,7,3,{50002=50;50003=5},{50002=50;50003=20},,{50002=50;50003=35},10
25,1,8,,{3=20;101=50},{3=20;101=50},,{4=20;101=50},10
26,1,8,2,{4=50;10001=50},{5101=5;10001=50},,{5101=100},100
27,1,8,3,{10001=30;50003=50},{1001=30;50003=50},,{1001=30;50003=50},10
28,1,9,,{101=50;1001=30},{3=30;101=50},,{101=50;10001=30},10
29,1,9,2,{1001=30;20001=50},{1001=30;10001=50},,{1001=30;10001=50},10
30,1,9,3,{50003=50},{50003=50},,{50003=50},10
31,1,10,,{101=50;1001=50},{101=50;1001=30},,{1001=50;10001=30},10
32,1,10,2,{1001=50;20001=50},{10001=50;20001=50},,{5001=50;10001=20;20001=50},10
33,1,10,3,{10001=50;50003=50},{10001=50;50003=50},,{10001=50;50003=50},10
101,101,0,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
102,101,0,2,{1=50},{60002=50},,{60002=50;60003=10},10
103,101,0,3,{1=50},{5051=10;11001=50},,{1001=30;11001=10},10
104,101,,,{1=50;2=10},{1=50;2=10},,{2=50},10
105,101,,2,{2=50;101=20},{2=50},,{101=50;1001=20},10
106,101,,3,{60001=50;60002=30},{60001=50;60002=5},,{60001=50;60003=5},10
107,101,2,,{1=50;2=20},{1=50;2=20},,{2=50},10
108,101,2,2,{2=50;101=30},{2=50;4=10},,{101=50;1001=30},10
109,101,2,3,{60001=50;60002=40},{60001=50;60002=15},,{60001=50;60003=10},10
110,101,3,,{1=50;2=30},{1=50;2=30},,{2=50},10
111,101,3,2,{101=50;60001=30},{4=20;101=50},,{101=50;11001=30},10
112,101,3,3,{60001=50;60002=50},{60001=50;60002=30},,{60001=50;60003=15},10
113,101,4,,{2=50;3=10},{2=50;3=20},,{2=50;3=20},10
114,101,4,2,{101=50;60002=30},{101=50;1001=20},,{1001=50;60002=50},10
115,101,4,3,{1001=30;60001=50},{60001=50},,{60001=50;60003=20},10
116,101,5,,{2=50;3=20},{2=50;3=30},,{4=30;101=50},10
117,101,5,2,{4=50;1001=50},{1001=50;60002=30},,{1001=50;60002=30},10
118,101,5,3,{60002=50},{60002=50},,{60001=50;60003=25},10
119,101,6,,{2=50;3=30},{2=50;101=40},,{101=50;11001=40},10
120,101,6,2,{4=50;1001=50},{1001=50;60002=30},,{1001=50;5001=30;11001=10},10
121,101,6,3,{1001=30;60002=50},{60002=50;60003=10},,{60002=50;60003=30},10
122,101,7,,{3=10;101=50},{101=50;60002=30},,{101=50;60002=30},10
123,101,7,2,{4=30;11001=50},{4=30;1001=50},,{4=30;11001=50},10
124,101,7,3,{60002=50;60003=5},{60002=50;60003=20},,{60002=50;60003=35},10
125,101,8,,{3=20;101=50},{3=20;101=50},,{4=20;101=50},10
126,101,8,2,{4=50;11001=50},{101=1;5101=5;11001=50},,{101=1;5101=100;11001=10},100
127,101,8,3,{11001=30;60003=50},{1001=30;60003=50},,{1001=30;60003=50},10
128,101,9,,{101=50;1001=30},{3=30;101=50},,{101=50;11001=30},10
129,101,9,2,{1001=30;21001=50},{101=1;1001=30;11001=50},,{101=1;1001=30;11001=50},10
130,101,9,3,{60003=50},{60003=50},,{60003=50},10
131,101,10,,{101=50;1001=50},{101=50;1001=30},,{1001=50;11001=30},10
132,101,10,2,{1001=50;21001=50},{101=1;11001=50;21001=50},,{101=1;5001=50;11001=20;21001=50},10
133,101,10,3,{11001=50;60003=50},{11001=50;60003=50},,{11001=50;60003=50},10
134,101,-1,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
135,101,-1,2,{1=50},{60002=50;60003=30},,{60002=50;60003=30},10
136,101,-1,3,{1=50},{5051=60;11001=50},,{1001=30;11001=50},10
201,201,0,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
202,201,0,2,{1=50},{70002=50},,{70002=50;70003=10},10
203,201,0,3,{1=50},{5051=10;12001=50},,{1001=30;12001=10},10
204,201,,,{1=50;2=10},{1=50;2=10},,{2=50},10
205,201,,2,{2=50;101=20},{2=50},,{101=50;1001=20},10
206,201,,3,{70001=50;70002=30},{70001=50;70002=5},,{70001=50;70003=5},10
207,201,2,,{1=50;2=20},{1=50;2=20},,{2=50},10
208,201,2,2,{2=50;101=30},{2=50;4=10},,{101=50;1001=30},10
209,201,2,3,{70001=50;70002=40},{70001=50;70002=15},,{70001=50;70003=10},10
210,201,3,,{1=50;2=30},{1=50;2=30},,{2=50},10
211,201,3,2,{101=50;70001=30},{4=20;101=50},,{101=50;12001=30},10
212,201,3,3,{70001=50;70002=50},{70001=50;70002=30},,{70001=50;70003=15},10
213,201,4,,{2=50;3=10},{2=50;3=20},,{2=50;3=20},10
214,201,4,2,{101=50;70002=30},{101=50;1001=20},,{1001=50;70002=50},10
215,201,4,3,{1001=30;70001=50},{70001=50},,{70001=50;70003=20},10
216,201,5,,{2=50;3=20},{2=50;3=30},,{4=30;101=50},10
217,201,5,2,{4=50;1001=50},{1001=50;70002=30},,{1001=50;70002=30},10
218,201,5,3,{70002=50},{70002=50},,{70001=50;70003=25},10
219,201,6,,{2=50;3=30},{2=50;101=40},,{101=50;12001=40},10
220,201,6,2,{4=50;1001=50},{1001=50;70002=30},,{1001=50;5001=30;12001=10},10
221,201,6,3,{1001=30;70002=50},{70002=50;70003=10},,{70002=50;70003=30},10
222,201,7,,{3=10;101=50},{101=50;70002=30},,{101=50;70002=30},10
223,201,7,2,{4=30;12001=50},{4=30;1001=50},,{4=30;12001=50},10
224,201,7,3,{70002=50;70003=5},{70002=50;70003=20},,{70002=50;70003=35},10
225,201,8,,{3=20;101=50},{3=20;101=50},,{4=20;101=50},10
226,201,8,2,{4=50;12001=50},{101=1;5111=5;12001=50},,{101=1;5111=100;12001=10},10
227,201,8,3,{12001=30;70003=50},{1001=30;70003=50},,{1001=30;70003=50},10
228,201,9,,{101=50;1001=30},{3=30;101=50},,{101=50;12001=30},10
229,201,9,2,{1001=30;22001=50},{101=1;1001=30;12001=50},,{101=1;1001=30;12001=50},10
230,201,9,3,{70003=50},{70003=50},,{70003=50},10
231,201,10,,{101=50;1001=50},{101=50;1001=30},,{1001=50;12001=30},10
232,201,10,2,{1001=50;22001=50},{101=1;12001=50;22001=50},,{101=1;5001=50;12001=20;22001=50},10
233,201,10,3,{12001=50;70003=50},{12001=50;70003=50},,{12001=50;70003=50},10
234,201,-1,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
235,201,-1,2,{1=50},{70002=50;70003=30},,{70002=50;70003=30},10
236,201,-1,3,{1=50},{5051=30;12001=50},,{1001=30;12001=50},10
301,301,0,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
302,301,0,2,{1=50},{80002=50},,{80002=50;80003=10},10
303,301,0,3,{1=50},{5051=10;13001=50},,{1001=30;13001=10},10
304,301,,,{1=50;2=10},{1=50;2=10},,{2=50},10
305,301,,2,{2=50;101=20},{2=50},,{101=50;1001=20},10
306,301,,3,{80001=50;80002=30},{80001=50;80002=5},,{80001=50;80003=5},10
307,301,2,,{1=50;2=20},{1=50;2=20},,{2=50},10
308,301,2,2,{2=50;101=30},{2=50;4=10},,{101=50;1001=30},10
309,301,2,3,{80001=50;80002=40},{80001=50;80002=15},,{80001=50;80003=10},10
310,301,3,,{1=50;2=30},{1=50;2=30},,{2=50},10
311,301,3,2,{101=50;80001=30},{4=20;101=50},,{101=50;13001=30},10
312,301,3,3,{80001=50;80002=50},{80001=50;80002=30},,{80001=50;80003=15},10
313,301,4,,{2=50;3=10},{2=50;3=20},,{2=50;3=20},10
314,301,4,2,{101=50;80002=30},{101=50;1001=20},,{1001=50;80002=50},10
315,301,4,3,{1001=30;80001=50},{80001=50},,{80001=50;80003=20},10
316,301,5,,{2=50;3=20},{2=50;3=30},,{4=30;101=50},10
317,301,5,2,{4=50;1001=50},{1001=50;80002=30},,{1001=50;80002=30},10
318,301,5,3,{80002=50},{80002=50},,{80001=50;80003=25},10
319,301,6,,{2=50;3=30},{2=50;101=40},,{101=50;13001=40},10
320,301,6,2,{4=50;1001=50},{1001=50;80002=30},,{1001=50;5001=30;13001=10},10
321,301,6,3,{1001=30;80002=50},{80002=50;80003=10},,{80002=50;80003=30},10
322,301,7,,{3=10;101=50},{101=50;80002=30},,{101=50;80002=30},10
323,301,7,2,{4=30;13001=50},{4=30;1001=50},,{4=30;13001=50},10
324,301,7,3,{80002=50;80003=5},{80002=50;80003=20},,{80002=50;80003=35},10
325,301,8,,{3=20;101=50},{3=20;101=50},,{4=20;101=50},10
326,301,8,2,{4=50;13001=50},{101=1;5121=5;13001=50},,{101=1;5121=100;13001=10},10
327,301,8,3,{13001=30;80003=50},{1001=30;80003=50},,{1001=30;80003=50},10
328,301,9,,{101=50;1001=30},{3=30;101=50},,{101=50;13001=30},10
329,301,9,2,{1001=30;23001=50},{101=1;1001=30;13001=50},,{101=1;1001=30;13001=50},10
330,301,9,3,{80003=50},{80003=50},,{80003=50},10
331,301,10,,{101=50;1001=50},{101=50;1001=30},,{1001=50;13001=30},10
332,301,10,2,{1001=50;23001=50},{101=1;13001=50;23001=50},,{101=1;5001=50;13001=20;23001=50},10
333,301,10,3,{13001=50;80003=50},{13001=50;80003=50},,{13001=50;80003=50},10
334,301,-1,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
335,301,-1,2,{1=50},{80002=50;80003=30},,{80002=50;80003=30},10
336,301,-1,3,{1=50},{5051=30;13001=50},,{1001=30;13001=50},10
401,401,0,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
402,401,0,2,{1=50},{90002=50},,{90002=50;90003=10},10
403,401,0,3,{1=50},{5051=10;14001=50},,{1001=30;14001=10},10
404,401,,,{1=50;2=10},{1=50;2=10},,{2=50},10
405,401,,2,{2=50;101=20},{2=50},,{101=50;1001=20},10
406,401,,3,{90001=50;90002=30},{90001=50;90002=5},,{90001=50;90003=5},10
407,401,2,,{1=50;2=20},{1=50;2=20},,{2=50},10
408,401,2,2,{2=50;101=30},{2=50;4=10},,{101=50;1001=30},10
409,401,2,3,{90001=50;90002=40},{90001=50;90002=15},,{90001=50;90003=10},10
410,401,3,,{1=50;2=30},{1=50;2=30},,{2=50},10
411,401,3,2,{101=50;90001=30},{4=20;101=50},,{101=50;14001=30},10
412,401,3,3,{90001=50;90002=50},{90001=50;90002=30},,{90001=50;90003=15},10
413,401,4,,{2=50;3=10},{2=50;3=20},,{2=50;3=20},10
414,401,4,2,{101=50;90002=30},{101=50;1001=20},,{1001=50;90002=50},10
415,401,4,3,{1001=30;90001=50},{90001=50},,{90001=50;90003=20},10
416,401,5,,{2=50;3=20},{2=50;3=30},,{4=30;101=50},10
417,401,5,2,{4=50;1001=50},{1001=50;90002=30},,{1001=50;90002=30},10
418,401,5,3,{90002=50},{90002=50},,{90001=50;90003=25},10
419,401,6,,{2=50;3=30},{2=50;101=40},,{101=50;14001=40},10
420,401,6,2,{4=50;1001=50},{1001=50;90002=30},,{1001=50;5001=30;14001=10},10
421,401,6,3,{1001=30;90002=50},{90002=50;90003=10},,{90002=50;90003=30},10
422,401,7,,{3=10;101=50},{101=50;90002=30},,{101=50;90002=30},10
423,401,7,2,{4=30;14001=50},{4=30;1001=50},,{4=30;14001=50},10
424,401,7,3,{90002=50;90003=5},{90002=50;90003=20},,{90002=50;90003=35},10
425,401,8,,{3=20;101=50},{3=20;101=50},,{4=20;101=50},10
426,401,8,2,{4=50;14001=50},{101=1;5131=5;14001=50},,{101=1;5131=100;14001=10},100
427,401,8,3,{14001=30;90003=50},{1001=30;90003=50},,{1001=30;90003=50},10
428,401,9,,{101=50;1001=30},{3=30;101=50},,{101=50;14001=30},10
429,401,9,2,{1001=30;24001=50},{101=1;1001=30;14001=50},,{101=1;1001=30;14001=50},10
430,401,9,3,{90003=50},{90003=50},,{90003=50},10
431,401,10,,{101=50;1001=50},{101=50;1001=30},,{1001=50;14001=30},10
432,401,10,2,{1001=50;24001=50},{101=1;14001=50;24001=50},,{101=1;5001=50;14001=20;24001=50},10
433,401,10,3,{14001=50;90003=50},{14001=50;90003=50},,{14001=50;90003=50},10
434,401,-1,,{1=50},{4=30;1001=50},,{4=30;1001=50},10
435,401,-1,2,{1=50},{90002=50;90003=30},,{90002=50;90003=30},10
436,401,-1,3,{1=50},{5051=30;14001=50},,{1001=30;14001=50},10
