变量名,_beizhu,cardID,desc,groupID,starUnlock,addAttributes,unlockdesc1,unlockdesc2,unlockType,unlockTarget,lock,rarity,level,star,advance,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,zawake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages,block,breakBlock,elementalDamageAdd,elementalDamageDeepen,elementalDamageReduce,elementalDamageSub,finalDamageAdd,finalDamageDeepen,finalDamageReduce,finalDamageSub,ignoreDamageSub,mpAttackRecover,mpBeAttackRecover,shieldPower,strike
默认值,,0,"""""",,<4;6;8;10;12>,<105%;115%;125%;135%;145%>,"""""","""""",0,0,0,1,90,12,17,<80;80;80;80;80;80>,{1=20;2=20;3=20;4=20;5=20;6=20;7=20;8=20;9=20;10=20},{hp=31;speed=31;damage=31;defence=31;specialDamage=31;specialDefence=31},TRUE,16,5,90,5,<0;0;0;0;0;0;0;0>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,备注,卡牌ID,描述,分组,星级解锁档位,额外属性,未解锁条件描述,解锁达成描述,解锁方式(0-无条件;1-招募指定id卡牌;2-失败x轮解锁;3-获得指定id徽章;4-通关指定id的关卡  5根据周期内天数解锁),解锁目标,上锁标记,稀有度,等级,星级,突破阶数,技能等级,潜能等级,个体值,羁绊,饰品阶数,饰品星级,饰品等级,饰品觉醒等级,z觉醒等级,血量,物攻,特攻,物防,特防,速度,暴击等级,暴击伤害,暴击抗性,格挡等级,破格挡等级,格挡强度,伤害加成,伤害减免,大招伤害加成,大招伤害抗性,控制率,免控率,吸血率,反弹率,语言,block,breakBlock,elementalDamageAdd,elementalDamageDeepen,elementalDamageReduce,elementalDamageSub,finalDamageAdd,finalDamageDeepen,finalDamageReduce,finalDamageSub,ignoreDamageSub,mpAttackRecover,mpBeAttackRecover,shieldPower,strike
10003,,3,妙蛙花,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,,13,喷火龙,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,,23,水箭龟,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,,31,绿毛虫,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10263,,263,胡地,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10333,,333,自爆磁怪,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10552,,552,宝石海星,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10572,,572,巨钳螳螂,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10593,,593,电击魔兽,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10761,,761,超梦,2,,,挑战完成【超梦，我就在这里】副本后极大概率解锁,恭喜解锁超梦，你已经超过20%的玩家,4,17,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,,,,,,,,,,,,,,,,
10783,,783,大竺葵,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10793,,793,火暴兽,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,,803,大力鳄,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10893,,893,玛力露丽,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11253,,1253,班基拉斯,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11271,,1271,凤王,2,,,玩法周期内累计认输6次后解锁,恭喜解锁凤王，你已经超过30%的玩家,2,6,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,,,,,,,,,,,,,,,,
11293,,1293,蜥蜴王,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11303,,1303,火焰鸡,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11313,,1313,巨沼怪,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11443,,1443,爆音怪,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11503,,1503,波士可多拉,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11893,,1893,暴飞龙,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11903,,1903,巨金怪,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11941,,1941,拉帝亚斯,2,,,获得徽章【合体之谜I】后解锁,恭喜解锁拉帝亚斯，你已经超过70%的玩家,3,5101,1,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,,,,,,,,,,,,,,,,
11951,,1951,拉帝欧斯,2,,,获得徽章【合体之谜II】后解锁,恭喜解锁拉帝欧斯，你已经超过70%的玩家,3,5102,1,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,,,,,,,,,,,,,,,,
11971,,1971,固拉多,2,,,获得徽章【大地之怒】后解锁,恭喜解锁固拉多，你已经超过90%的玩家,3,5103,1,4,,,,,,,,,,,,,200%,200%,200%,200%,200%,200%,,,,,,,2000,2000,500,500,,,,,,,,,,,,,,,,,,,,
11981,,1981,裂空座,2,,,挑战完成【迈向最强之路】副本后极大概率解锁,恭喜解锁裂空座，你已经超过30%的玩家,4,19,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,,,,,,,,,,,,,,,,
12013,,2013,土台龟,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12033,,2033,帝王拿波,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12242,,2242,路卡利欧,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12351,,2351,帝牙卢卡,2,,,玩法周期内累计招募1次帝牙卢卡后解锁,恭喜解锁帝牙卢卡，你已经超过60%的玩家,1,22351,1,4,,,,,,,,,,,,,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,,,,,,,,,,,,,,,,
12361,,2361,帕路奇亚,2,,,玩法周期内累计招募1次帕路奇亚卡后解锁,恭喜解锁帕路奇亚，你已经超过60%的玩家,1,22361,1,4,,,,,,,,,,,,,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,,,,,,,,,,,,,,,,
12441,,2441,谢米,2,,,玩法周期内累计认输12次后解锁,恭喜解锁谢米，你已经超过50%的玩家,2,12,1,4,,,,,,,,,,,,,160%,160%,160%,160%,160%,160%,,,,,,,1500,1500,500,500,,,,,,,,,,,,,,,,,,,,
12473,,2473,君主蛇,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12483,,2483,炎武王,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13021,,3021,几何雪花,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13152,,3152,火神蛾,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13283,,3283,布里卡隆,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13293,,3293,妖火红狐,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13303,,3303,甲贺忍蛙,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13353,,3353,花洁夫人,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13413,,3413,坚盾剑怪·盾牌,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13502,,3502,冰雪巨龙,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13663,,3663,狙射树枭,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13772,,3772,超坏星,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,,4,超级妙蛙花,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20014,,14,超级喷火龙X,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20015,,15,超级喷火龙Y,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20024,,24,超级水箭龟,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20053,,53,大比鸟,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20093,,93,雷丘,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20133,,133,皮可西,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20153,,153,胖可丁,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20163,,163,叉字蝠,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20264,,264,超级胡地,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20273,,273,怪力,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20283,,283,大食花,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20303,,303,隆隆岩,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20393,,393,耿鬼,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20394,,394,超级耿鬼,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20493,,493,超甲狂犀,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20603,,603,鸭嘴炎兽,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20721,,721,急冻鸟,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20731,,731,闪电鸟,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20741,,741,火焰鸟,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20753,,753,快龙,3,,,,,,,,3,,,,<80;80;80;80;80;80;80>,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20771,,771,梦幻,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20863,,863,波克基斯,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20883,,883,电龙,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
20884,,884,超级电龙,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21071,,1071,赫拉克罗斯,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21221,,1221,雷公,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21231,,1231,炎帝,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21241,,1241,水君,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21261,,1261,洛奇亚,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21393,,1393,沙奈朵,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21394,,1394,艾路雷朵,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21423,,1423,请假王,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21813,,1813,黑夜魔灵,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21863,,1863,帝牙海狮,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21911,,1911,雷吉洛克,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21921,,1921,雷吉艾斯,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21931,,1931,雷吉斯奇鲁,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
21961,,1961,盖欧卡,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22073,,2073,伦琴猫,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22233,,2233,烈咬陆鲨,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22303,,2303,超级暴雪王,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22351,,2351,帝牙卢卡,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22361,,2361,帕路奇亚,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22381,,2381,雷吉奇卡斯,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22391,,2391,骑拉帝纳,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22401,,2401,克雷色利亚,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22431,,2431,达克莱伊,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22442,,2442,谢米·天空,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22593,,2593,庞岩怪,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22633,,2633,修建老匠,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22683,,2683,蜈蚣王,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22723,,2723,流氓鳄,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22843,,2843,哥德小姐,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22873,,2873,双倍多多冰,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22963,,2963,齿轮怪,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
22993,,2993,水晶灯火灵,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23003,,3003,双斧战龙,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23143,,3143,三首恶龙,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23211,,3211,莱希拉姆,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23221,,3221,捷克罗姆,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23241,,3241,酋雷姆,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,,,,,,,,,,,
23251,,3251,凯路迪欧,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,<cn;kr;tw;en;en_us;en_eu>,,,,,,,,,,,,,,,
23543,,3543,黏美龙,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23592,,3592,音波龙,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23631,,3631,蒂安希,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23641,,3641,惩戒胡帕,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
23843,,3843,甜冷美后,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
24132,,4132,四颚针龙,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,
30003,,3,妙蛙花,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30013,,13,喷火龙,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30023,,23,水箭龟,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30031,,31,绿毛虫,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30263,,263,胡地,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30333,,333,自爆磁怪,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30552,,552,宝石海星,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30572,,572,巨钳螳螂,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30593,,593,电击魔兽,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30761,,761,超梦,4,,,挑战完成【超梦，我就在这里】副本后极大概率解锁,恭喜解锁超梦，你已经超过20%的玩家,4,17,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,,,,,,,,,,,,,,,,
30783,,783,大竺葵,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
