变量名,_beizhu1,easyEffectFunc,overlayType,overlayLimit,value,prob,lifeRound,__version
默认值,,buff1,0,999999,"""""",1,1,
ID,功能说明,直接触发效果，不需要用节点控制的，buff添加上时就会直接触发。格式：funcName。比如填加某项属性，可以直接写属性的名字，在process中填写对应的值。,叠加覆盖规则，0:叠加 1:唯一 2:同buffid刷新,叠加上限,数值,成功率,lifeRound,__version
1,,sleepy,,,1,,,
2,,immuneControlAdd,,,,,,
3,,controlPerAdd,,,,,,
4,,immuneControlVal,,,,,,
5,,controlPerVal,,,,,,
6,,stun,,,,,,
7,,silence,,,1,,,
8,,reborn,,,,,,
9,,keepHpUnChanged,,,,,,
10,,lockHp,,,,,,
11,,stealth,,,,,,
12,,stealthIgnore,,,,,,
13,,leave,,,,,,
14,,syncAttack,,,,,,
15,,inviteAttack,,,,,,
16,,transformAttrBuff,,,,,,
17,,ignoreSpecBuff,,,,,,
18,,delayDamage,,,,,,
19,,freeze,,,,,,
20,,changeImage,,,,,,
21,,extraSkillWeightValueFix,,,,,,
22,,atOnceBattleRound,,,,,,
23,,counterAttack,,,,,,
24,,damgeMustHit,,,,,,
25,,weather,1,1,,,,
26,,shield,,,,,,
27,,depart,,,,,,
28,,directWin,,,,,,
29,,confusion,,,,,,
30,,banExtraAttack,,,,,,
31,,sneer,2,1,,,,
32,,opGameData,,1,,,,
33,,immuneDamage,,,,,,
34,,immuneAllDamage,,,,,,
35,,immuneSpecialDamage,,,,,,
36,,immunePhysicalDamage,,,,,,
37,,alterDmgRecordVal,,,,,,
38,,changeScaleAttrs,1,1,,,,
39,,lethalProtect,,,,,,
40,,lockResumeHp,,,,,,
41,,healTodamage,,,,,,
42,,changeBuffLifeRound,,,,,,
43,,mp1OverFlow,,1,,,,
44,,changeToRandEnemyObj,,1,,,,
45,,breakCharging,,,,,,
46,,changeObjNature,,,,,,
47,,changeSkillNature,,,,,,
48,,damageAllocate,,,,,,
49,,protection,,,,,,
50,,prophet,,,,,,
51,,changeSkillDamageTarget,,,,,,
52,,cantRecoverMp,,,,,,
53,,replaceTarget,,,,,,
54,,filterGroup,,,,,,
55,,swapSpeed,1,1,,,,
56,,buffSputtering,,,,,,
57,,loseImmuneEfficacy,,,,,,
58,,reboundBuff,,,,,,
59,,cancelToAttack,,,,,,
60,,changeBuffDamageArgs,,,,,,
