变量名,_beizhu1,_beizhu2,immuneEffect,immuneGroup,dispelGroup,powerGroup,immuneFlag,dispelFlag,powerFlag,__version
默认值,,,,<>,<>,<>,<>,<>,<>,
ID,功能说明,详细说明,组别免疫显示,免疫group,驱散group,权限组,默认值,默认值,默认值,__version
10101,,,,<<104>>,<<104>>,,,,,
10102,,,,<<104>>,<<104>>,,,,,
10103,,,,<<104>>,<<104>>,,,,,
10104,,,,<<104>>,<<104>>,,,,,
10105,,,,<<104>>,<<104>>,,,,,
10106,,,,<<104>>,<<104>>,,,,,
10107,,,,<<104>>,<<104>>,,,,,
10108,,,,<<104>>,<<104>>,,,,,
10109,,,,<<104>>,<<104>>,,,,,
10110,,,,<<104>>,<<104>>,,,,,
10111,,,,<<104>>,<<104>>,,,,,
10112,,,,<<104>>,<<104>>,,,,,
13326,,,,<<104>>,<<104>>,,,,,
15310,,,,<<104>>,<<104>>,,,,,
51004,,,,<<50001;50002;50003;50013>>,<<50001;50002;50003;50013>>,,,,,
60000,,,,,<list(c.kongzhi1_oc());list(c.kongzhi1_kongzhi2_kongzhi3_debuff1_debuff2_debuff3_shengwudebuff_oc())>,,,,,
60001,,,,,<list(c.kongzhi1_kongzhi2_debuff1_debuff2_oc())>,,,,,
60002,,,,,"<list(c.kongzhi1_debuff1_debuff2_oc());listSub(c.kongzhi2(),c.kongzhi2unjinghua())>",,,,,
60003,,,,,<list(c.kongzhi1_oc());list(c.kongzhi2_oc());list(c.debuff1_oc());list(c.debuff2_oc())>,,,,,
60004,,,,,"<list(c.kongzhi1_oc());list(c.debuff1_oc());list(c.debuff2_oc());listSub(c.kongzhi2(),c.kongzhi2unjinghua())>",,,,,
60005,,,,,<list(c.kongzhi1_oc())>,,,,,
60006,,,,,<list(c.kongzhi2_oc())>,,,,,
60007,,,,,<list(c.kongzhi3_oc())>,,,,,
60008,,,,,<list(c.kongzhi1_oc());list(c.kongzhi2_oc());list(c.kongzhi3_oc())>,,,,,
60009,,,,,<list(c.debuff1_oc())>,,,,,
60010,,,,,<list(c.debuff2_oc());list(c.debuff2unjinghua_oc())>,,,,,
60011,,,,,<list(c.debuff3_oc())>,,,,,
60012,,,,,<list(c.debuff1_oc());list(c.debuff2_oc());list(c.debuff3_oc())>,,,,,
60013,,,,,<list(c.zhuoshao_oc())>,,,,,
60014,,,,,<list(c.liuxue_oc())>,,,,,
60015,,,,,<list(c.zhongdu_oc())>,,,,,
60016,,,,,<list(c.silie_oc())>,,,,,
60017,,,,,<list(c.dot_oc())>,,,,,
60018,,,,,<list(c.shuimian_oc())>,,,,,
60019,,,,,<<101>>,,,,,
60021,,,,,<<108>>,,,,,
60022,,,,,<<107>>,,,,,
60023,,,,,<<110>>,,,,,
60024,,,,,<<102;412>>,,,,,
60025,,,,,<<106>>,,,,,
60026,,,,,<list(c.chanrao_bingdong_oc())>,,,,,
60027,,,,,"<list(c.shuikongzhi1_debuff1_debuff2_oc());listSub(c.kongzhi2(),c.kongzhi2unjinghua())>",,,,,
60028,,,,,"<list(c.shuikongzhi1_kongzhi3_oc());list(c.debuff1_debuff2_debuff3_oc());listSub(c.kongzhi2(),c.kongzhi2unjinghua())>",,,,,
60029,,,,,<list(c.debuff1_debuff2_debuff2unjinghua_oc())>,,,,,
60030,,,,,<list(c.kongzhi1_kongzhi2_oc())>,,,,,
60031,,,,<list(c.kongzhi1_oc());list(c.kongzhi1_kongzhi2_kongzhi3_debuff1_debuff2_debuff3_shengwudebuff_oc())>,<list(c.kongzhi1_oc());list(c.kongzhi1_kongzhi2_kongzhi3_debuff1_debuff2_debuff3_shengwudebuff_oc())>,,,,,
60032,,,,,<list(c.dot_oc())>,,,,,
60033,,,,,<list(c.debuff1_debuff2_debuff2unjinghua_kongzhi1_kongzhi2_oc())>,,,,,
61001,,,,,<<5303>>,,,,,
61002,,,,,<<2391626>>,,,,,
61003,,,,,<<3271713>>,,,,,
61004,,,,,<list(c.zhuoshao_oc());list(c.debuff1_debuff2_oc())>,,,,,
61005,,,,,<list(c.yinshen_oc())>,,,,,
61006,,,,,<list(c.debuff1_debuff2_debuff3_kongzhi1_kongzhi2_kongzhi3_oc())>,,,,,
61007,,,,,<list(c.debuff1_gabuff1_debuff2_gabuff2_oc())>,,,,,
61008,,,,,<<18301;18302>>,,,,,
61009,,,,,<<18301>>,,,,,
61010,,,,,,,,<<2016>>,,
61011,,,,,<list(c.zhongdu_oc());list(c.debuff1_debuff2_oc())>,,,,,
61012,,,,,,,,<<2028>>,,
61013,,,,,,,,<<2027>>,,
61014,,,,,<list(c.kongzhi1_kongzhi2_kongzhi3_debuff1_debuff2_debuff3_shengwudebuff_gabuff1_gabuff2_gabuff3_oc())>,,,,,
61015,,,,,,,,<<1044>>,,
61016,,,,,<list(c.fuzhuo_bingdong_oc())>,,,,,
61017,,,,,<list(c.fygabuff1_fygabuff2_oc())>,,,,,
61018,,,,,<list(c.debuff1_debuff2_debuff2unjinghua_kongzhi1_kongzhi2_oc())>,,,,,
61019,,,,,"<listSub(c.debuff1_debuff2_debuff2unjinghua(),c.zhuoshao())>",,,,,
61020,,,,,"<listSub(c.debuff1_debuff2_debuff2unjinghua_kongzhi1_kongzhi2(),c.zhuoshao())>",,,,,
61021,,,,,<list(c.kongzhi1_debuff1_oc())>,,,,,
61022,,,,,,,,<<1012>>,,
61023,,,,,,,,<<3023>>,,
61024,,,,,,,,<<1052>>,,
61025,,,,,,,,<<1052;1053>>,,
61026,,,,,,,,<<3018>>,,
61027,,,,,<<10319>>,,,,,
61028,,,,,<<1082;3082>>,,,,,
61029,,,,,,,,<<1012>>,,
65001,,,,,<list(c.gabuff1_oc())>,,,,,
65002,,,,,<list(c.gabuff2_gabuff2unjinghua_oc())>,,,,,
65003,,,,,<list(c.gabuff3_oc())>,,,,,
65004,,,,,<list(c.gabuff1_gabuff2_oc())>,,,,,
65005,,,,,<list(c.gabuff1_gabuff2_gabuff3_oc())>,,,,,
65006,,,,,<list(c.gabuff1_oc())>,,,,,
65007,,,,,<list(c.gabuff2_oc())>,,,,,
65008,,,,,<list(c.gabuff3_oc())>,,,,,
65009,,,,,<list(c.gabuff1_gabuff2_oc())>,,,,,
65010,,,,,<list(c.gabuff1_gabuff2_gabuff3_oc())>,,,,,
70001,,,,<list(c.kongzhi1_debuff1_oc())>,,,,,,
70002,,,,<list(c.kongzhi1_kongzhi2_prefly_debuff1_debuff2_oc())>,,,,,,
70003,,,,<list(c.kongzhi1_oc())>,,,,,,
70004,,,,<list(c.kongzhi2_prefly_oc())>,,,,,,
70005,,,,<list(c.kongzhi3_prefly_oc())>,,,,,,
70006,,,,<list(c.kongzhi1_kongzhi2_kongzhi3_prefly_oc())>,,,,,,
70007,,,,<list(c.debuff1_oc())>,,,,,,
70008,,,,<list(c.debuff2_oc())>,,,,,,
70009,,,,<list(c.debuff3_oc())>,,,,,,
70010,,,,<list(c.debuff1_debuff2_debuff3_oc())>,,,,,,
70011,,,,<list(c.zhuoshao_oc())>,,,,,,
70012,,,,<list(c.liuxue_oc())>,,,,,,
70013,,,,<list(c.zhongdu_oc())>,,,,,,
70014,,,,<list(c.silie_oc())>,,,,,,
70015,,,,<list(c.dot_oc())>,,,,,,
70016,,,,<list(c.weiyi_lichangkongzhi_oc())>,,,,,,
70017,,,,<<106>>,,,,,,
70018,,,,<list(c.shuimian_oc())>,,,,,,
70019,,,,<list(c.bingdong_oc())>,,,,,,
70020,,,,<<103>>,,,,,,
70021,,,,<list(c.debuff1_debuff2_oc())>,,,,,,
70022,,,,,,,,,,
70023,,,,<list(c.debuff1_debuff2_debuff3_debuff4_oc())>,,,,,,
70024,,,,<list(c.kongzhi1_kongzhi2_kongzhi3_kongzhi4_debuff1_debuff2_debuff3_debuff4_prefly_oc())>,,,,,,
70025,,,,<list(c.kongzhi1_kongzhi2_prefly_oc())>,,,,,,
70026,,,,,,,<<5000>>,,,
70027,,,,<<109>>,,,,,,
70028,,,,<<11>>,,,,,,
70029,,,,<list(c.kongzhi1_kongzhi2_kongzhi3_kongzhi4_prefly_oc())>,,,,,,
70030,,,,<<191>>,,,,,,
70031,,,,<<10021;10022;10030>>,,,,,,
70032,,,,<<list(c.huduns_oc())>>,,,,,,
70033,,,,,,,<<1014>>,,,
70034,,,,<<108>>,,,,,,
70035,,,,<list(c.gabuff1_oc())>,,,,,,
70036,,,,<list(c.gabuff2_oc())>,,,,,,
70037,,,,<list(c.gabuff3_oc())>,,,,,,
70038,,,,<list(c.gabuff1_gabuff2_oc())>,,,,,,
70039,,,,<list(c.gabuff1_gabuff2_gabuff3_oc())>,,,,,,
70040,,,,<<21;31>>,,,<<3028>>,,,
70041,,,,<list(c.fly_prefly_oc())>,,,,,,
70042,,,,<<18401>>,,,,,,
70043,,,,<list(c.gabuff1_gabuff2_gabuff3_gabuff4_oc())>,,,,,,
70044,,,,<<101>>,,,,,,
70045,,,,,,,<<2002>>,,,
70046,,,,<list(c.jiansu_oc())>,,,,,,
71001,,,,<list(c.chanrao_bingdong_oc())>,,,,,,
71002,,,,<list(c.liuxue_silie_oc())>,,,,,,
71003,,,,,,,<<1013>>,<<1013>>,,
71004,,,,,,,<<1012>>,<<1012>>,,
71005,,,,<<109;605>>,,,<<1016>>,,,
71006,,,,<<104>>,<<104>>,,,,,
71007,,,,<<102;10305;412>>,<<102;10305;412>>,,,,,
71008,,,,<list(c.yinshen_oc())>,,,,,,
71009,,,,<list(c.zhuoshao_oc())>,<list(c.zhuoshao_oc())>,,,,,
71010,,,,,,,<<5000>>,<<5000>>,,
71011,,,,<list(c.zhuoshao_bingdong_oc())>,<list(c.zhuoshao_bingdong_oc())>,,,,,
71012,,,,<list(c.chanrao_bingdong12_oc())>,,,,,,
71013,,,,<list(c.fuzhuo_bingdong_oc())>,<list(c.fuzhuo_bingdong_oc())>,,,,,
71014,,,,<<109>>,,,,,,
71015,,,,<list(c.lichangkongzhi_oc())>,,,,,,
71016,,,,<list(c.kongzhi1_kongzhi2_kongzhi3_kongzhi4_prefly_oc())>,<list(c.kongzhi1_kongzhi2_kongzhi3_kongzhi4_prefly_oc())>,,,,,
71017,,,,<list(c.zhongdu_fuzhuo_oc())>,,,,,,
71018,,,,<<105;106;108;111>>,<<105;106;108;111>>,,,,,
71019,,,,<list(c.chanrao_bingdong_oc())>,,,,,,
71020,,,,,,,<<1044>>,,,
71021,,,,,,,<<3018>>,,,
71022,,,,,,,<<2030>>,,,
71023,,,,<list(c.chanrao_bingdong_oc())>,<list(c.chanrao_bingdong_oc())>,,,,,
71024,,,,,<list(c.fuzhuo_oc())>,,,,,
71025,,,,<list(c.fuzhuo_bingdong_oc())>,<list(c.fuzhuo_bingdong_oc())>,,,,,
71026,,,,<list(c.jskz_oc())>,,,,,,
71027,,,,<list(c.jskz_bingdong_oc())>,,,,,,
71028,,,,<list(c.dongxue_xuezhou_oc())>,,,,,,
71029,,,,,,,<<2035>>,<<2035>>,,
71030,,,,<list(c.kongzhi1_kongzhi2_prefly_debuff1_debuff2_oc())>,<list(c.kongzhi1_kongzhi2_prefly_debuff1_debuff2_oc())>,,,,,
80001,,,,,,<<1030001;80001;80002;81001>>,,,<<9999;4021>>,
80002,,,,,<<80001>>,<<1030001;80002;81002>>,,,<<9999;4021;3014;2031>>,
80003,,,,,,<<1030001;80003;81003>>,,,<<9999;4021>>,
80004,,,,,,<<1030001;80004;81004>>,,,<<9999;4021>>,
80005,,,,,,<<1030001;80005;81005>>,,,<<9999;4021>>,
80006,,,,,,<<1030001;80006;81006;1020011;3271713;70006>>,,,<<9999;4021>>,
80007,,,,,,<<1030001;80007;81007>>,,,<<9999;4021>>,
80008,,,,,,<<1030001;80008;81008>>,,,<<9999;4021>>,
80009,,,,,,<<1030001;80009;81009;4204;70006>>,,,<<9999;4021>>,
80010,,,,,,<<1030001;80010;81010>>,,,<<9999;4021>>,
80011,,,,,,<<1030001;80011;81011>>,,,<<9999;4021>>,
80012,,,,,,<<1030001;80012;81012;4027>>,,,<<9999;4021>>,
80013,,,,,,<<1030001;80013;81013;7031912>>,,,<<9999;4021>>,
80014,,,,,,<<1030001;80014;81014>>,,,<<9999;4021>>,
80015,,,,,,<<1030001;80015;81015>>,,,<<9999;4021>>,
80016,,,,,,,,,<<9999;4023>>,
