变量名,propCorrect,__version
默认值,0.3,
ID,生效概率修正,__version
0,1,
1,0.99,
2,0.98,
3,0.97,
4,0.96,
5,0.95,
6,0.94,
7,0.93,
8,0.92,
9,0.91,
10,0.9,
11,0.87,
12,0.84,
13,0.81,
14,0.78,
15,0.75,
16,0.72,
17,0.69,
18,0.66,
19,0.63,
20,0.6,
21,0.57,
22,0.54,
23,0.51,
24,0.48,
25,0.45,
26,0.42,
27,0.39,
28,0.36,
29,0.33,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
