变量名,name,name_tw,name_en,name_vn,name_kr,needExp,rateUp,weight1,weight2,weight3
默认值,"""""","""""","""""","""""","""""",0,1,0,0,0
等级,捕捉等级名称,捕捉等级名称,捕捉等级名称,捕捉等级名称,捕捉等级名称_韩,升级经验,获得成功率加成（乘法）,普通球权值1,高级球权值,大师球权值
,,,,,,,,,,
1,Amateur Catcher,Amateur Catcher,Amateur Catcher,Amateur Catcher,Amateur Catcher,200,1,0,0.06,0.2
2,Rookie Catcher,Rookie Catcher,Rookie Catcher,Rookie Catcher,Rookie Catcher,500,1.03,0,0.06,0.2
3,Beginner Catcher,Beginner Catcher,Beginner Catcher,Beginner Catcher,Beginner Catcher,800,1.06,0,0.06,0.2
4,Rising Catcher,Rising Catcher,Rising Catcher,Rising Catcher,Rising Catcher,1200,1.09,0,0.06,0.2
5,Intermediate Catcher,Intermediate Catcher,Intermediate Catcher,Intermediate Catcher,Intermediate Catcher,1800,1.12,0,0.06,0.2
6,Skillful Catcher,Skillful Catcher,Skillful Catcher,Skillful Catcher,Skillful Catcher,2500,1.15,0,0.06,0.2
7,Advanced Catcher,Advanced Catcher,Advanced Catcher,Advanced Catcher,Advanced Catcher,4000,1.18,0,0.06,0.2
8,All-round Catcher,All-round Catcher,All-round Catcher,All-round Catcher,All-round Catcher,6000,1.21,0,0.06,0.2
9,Super Catcher,Super Catcher,Super Catcher,Super Catcher,Super Catcher,8000,1.24,0,0.06,0.2
10,Expert Catcher,Expert Catcher,Expert Catcher,Expert Catcher,Expert Catcher,10000,1.27,0,0.06,0.2
11,Expert Catcher,Expert Catcher,Expert Catcher,Expert Catcher,Expert Catcher,12000,1.3,0,0.06,0.2
12,Grandmaster Catcher,Grandmaster Catcher,Grandmaster Catcher,Grandmaster Catcher,Grandmaster Catcher,14000,1.33,0,0.06,0.2
13,Master Catcher,Master Catcher,Master Catcher,Master Catcher,Master Catcher,16000,1.36,0,0.06,0.2
14,Legendary Catcher Ⅰ,Legendary Catcher Ⅰ,Legendary Catcher Ⅰ,Legendary Catcher Ⅰ,Legendary Catcher Ⅰ,18000,1.39,0,0.06,0.2
15,Legendary Catcher Ⅱ,Legendary Catcher Ⅱ,Legendary Catcher Ⅱ,Legendary Catcher Ⅱ,Legendary Catcher Ⅱ,20000,1.42,0,0.06,0.2
16,Legendary Catcher Ⅲ,Legendary Catcher Ⅲ,Legendary Catcher Ⅲ,Legendary Catcher Ⅲ,Legendary Catcher Ⅲ,99999999,1.45,0,0.06,0.2
