变量名,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
默认值,"""""",7,1,<<<-4;15>;10>;<<16;30>;10>>,{451=1},<<<-4;15>;10>;<<16;30>;10>>,{451=1}
ID,备注,属性,突破阶段,道具1随机范围 <<随机下限;随机上限>;权重>,单次随机道具1消耗,道具2随机范围 <<随机下限;随机上限>;权重>,单次随机道具2消耗
1,生命,1,1,<<<-8;65>;100>>,{451=6},<<<16;97>;100>>,{452=3}
2,生命,1,2,<<<-8;65>;100>>,{451=6},<<<16;97>;100>>,{452=3}
3,生命,1,3,<<<-16;65>;100>>,{451=6},<<<8;97>;100>>,{452=3}
4,生命,1,4,<<<-24;65>;100>>,{451=6},<<<8;97>;100>>,{452=3}
5,生命,1,5,<<<-24;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
6,生命,1,6,<<<-40;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
7,生命,1,7,<<<-40;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
8,生命,1,8,<<<-65;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
9,生命,1,9,<<<-65;65>;100>>,{451=6},<<<0;97>;100>>,{452=3}
10,生命,1,10,<<<-65;52>;100>>,{451=6},<<<0;97>;100>>,{452=3}
11,生命,1,11,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
12,生命,1,12,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
13,生命,1,13,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
14,生命,1,14,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
15,生命,1,15,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
16,生命,1,16,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
17,生命,1,17,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
18,生命,1,18,<<<-65;40>;100>>,{451=6},<<<0;97>;100>>,{452=3}
19,速度,13,1,<<<-1;2>;100>>,{451=6},<<<1;3>;100>>,{452=3}
20,速度,13,2,<<<-1;2>;100>>,{451=6},<<<1;3>;100>>,{452=3}
21,速度,13,3,<<<-1;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
22,速度,13,4,<<<-1;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
23,速度,13,5,<<<-2;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
24,速度,13,6,<<<-2;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
25,速度,13,7,<<<-3;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
26,速度,13,8,<<<-3;2>;100>>,{451=6},<<<0;3>;100>>,{452=3}
27,速度,13,9,<<<-3;1>;100>>,{451=6},<<<0;3>;100>>,{452=3}
28,速度,13,10,<<<-3;-1>;40>;<<0;1>;60>>,{451=6},<<<0;2>;80>;<<3;3>;20>>,{452=3}
29,速度,13,11,<<<-3;-1>;50>;<<0;1>;50>>,{451=6},<<<0;2>;80>;<<3;3>;20>>,{452=3}
30,速度,13,12,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
31,速度,13,13,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
32,速度,13,14,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
33,速度,13,15,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
34,速度,13,16,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
35,速度,13,17,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
36,速度,13,18,<<<-3;-1>;60>;<<0;1>;40>>,{451=6},<<<0;2>;85>;<<3;3>;15>>,{452=3}
37,物攻,7,1,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
38,物攻,7,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
39,物攻,7,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
40,物攻,7,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
41,物攻,7,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
42,物攻,7,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
43,物攻,7,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
