变量名,defence,damage,specialDefence,needLevel,speed,specialDamage,hp,extraLevel,cost
默认值,0,0,0,1,0,0,0,1,{}
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
1,170,430,170,100,50,430,2000,,{gold=500000;451=1200;452=100}
2,179,452,179,101,53,452,2100,2,{gold=550000;451=1360;452=120}
3,187,473,187,102,55,473,2200,3,{gold=600000;451=1520;452=140}
4,196,495,196,103,58,495,2300,4,{gold=650000;451=1680;452=160}
5,204,516,204,104,60,516,2400,5,{gold=700000;451=1840;452=180}
6,213,538,213,105,63,538,2500,6,{gold=750000;451=2000;452=200}
7,221,559,221,106,65,559,2600,7,{gold=850000;451=2320;452=240}
8,230,581,230,107,68,581,2700,8,{gold=950000;451=2640;452=280}
9,238,602,238,108,70,602,2800,9,{gold=1050000;451=2960;452=320}
10,247,624,247,109,73,624,2900,10,{gold=1150000;451=3280;452=360}
11,255,645,255,110,75,645,3000,11,{gold=1250000;451=3600;452=400}
12,264,667,264,111,78,667,3100,12,{gold=1375000;451=4000;452=450}
13,272,688,272,112,80,688,3200,13,{gold=1500000;451=4400;452=500}
14,281,710,281,113,83,710,3300,14,{gold=1625000;451=4800;452=550}
15,289,731,289,114,85,731,3400,15,{gold=1750000;451=5200;452=600}
16,293,742,293,115,86,742,3450,16,{gold=2000000;451=6000;452=700}
17,298,753,298,116,88,753,3500,17,{gold=2250000;451=6800;452=800}
18,302,763,302,117,89,763,3550,18,{gold=2500000;451=7600;452=900}
19,306,774,306,118,90,774,3600,19,{gold=2750000;451=8400;452=1000}
20,310,785,310,119,91,785,3650,20,{gold=3000000;451=9200;452=1100}
21,315,796,315,120,93,796,3700,21,{gold=3500000;451=10800;452=1300}
22,319,806,319,121,94,806,3750,22,{gold=4000000;451=12400;452=1500}
23,323,817,323,122,95,817,3800,23,{gold=4500000;451=14000;452=1700}
24,327,828,327,123,96,828,3850,24,{gold=5000000;451=15600;452=1900}
25,332,839,332,124,98,839,3900,25,{gold=5500000;451=17200;452=2100}
