变量名,_name,type,costItemFrag,needFrags1,needFrags2,costItemCard,needCards1,needCards2,needSpecialCards,cardConvertNum,roriCards,roriFrags,needCards3,needFrags3
默认值,,1,{},<>,<>,{},<>,<>,<>,1,<>,<>,<>,<>
ID,转化材料名称,类型 1=钥石 2=进化石,碎片转化消耗固定材料,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,转化一个需要的碎片<碎片品质;碎片属性系;costNum>,卡牌转化消耗固定材料,卡牌可转数量<稀有度;属性系> -1为任意,卡牌可转数量<稀有度;属性系> -1为任意,指定特殊卡牌<cardID>,卡牌转换数量,新增,新增,needCards3,needFrags3
3029,,,{gold=20000},<4;-1;3>,,{gold=200000},<2;-1>,,<9001>,10,,,,
3030,,,{gold=50000},<5;-1;5>,,{gold=500000},<3;-1>,,<9002>,10,,,,
3031,,,{gold=50000},<6;-1;8>,,{gold=500000},<4;-1>,,<9003>,10,<7011;7101>,,,
3101,,2,{gold=50000},<5;4;5>,<5;8;5>,{gold=500000},<3;4>,<3;8>,<9002>,10,,,,
3102,,2,{gold=50000},<5;2;5>,<5;15;5>,{gold=500000},<3;2>,<3;15>,<9002>,10,,,,
3103,,2,{gold=50000},<5;2;5>,<5;10;5>,{gold=500000},<3;2>,<3;10>,<9002>,10,,,,
3104,,2,{gold=50000},<5;3;5>,,{gold=500000},<3;3>,,<9002>,10,,,,
3105,,2,{gold=25000},<4;12;3>,<4;8;3>,{gold=250000},<2;12>,<2;8>,<9001>,10,,,,
3106,,2,{gold=50000},<5;4;5>,<5;6;5>,{gold=500000},<3;4>,<3;6>,<9002>,10,,,,
3107,,2,{gold=50000},<5;14;5>,<5;8;5>,{gold=500000},<3;14>,<3;8>,<9002>,10,,,,
3108,,2,{gold=50000},<5;11;5>,,{gold=500000},<3;11>,,<9002>,10,,,,
3109,,2,{gold=50000},<5;5;5>,<5;15;5>,{gold=500000},<3;5>,<3;15>,<9002>,10,,,,
3110,,2,{gold=80000},<6;15;8>,<6;10;8>,{gold=800000},<4;15>,<4;10>,<9003>,10,,,,
3112,,2,{gold=50000},<5;3;5>,<5;9;5>,{gold=500000},<3;3>,<3;9>,<9002>,10,,,,
3113,,2,{gold=50000},<5;12;5>,<5;17;5>,{gold=500000},<3;12>,<3;17>,<9002>,10,,,,
3114,,2,{gold=50000},<5;11;5>,<5;18;5>,{gold=500000},<3;11>,<3;18>,<9002>,10,,,,
3115,,2,{gold=50000},<5;11;5>,<5;7;5>,{gold=500000},<3;11>,<3;7>,<9002>,10,,,,
3116,,2,{gold=50000},<5;17;5>,<5;13;5>,{gold=500000},<3;17>,<3;13>,<9002>,10,,,,
3117,,2,{gold=80000},<6;9;8>,<6;2;8>,{gold=800000},<4;9>,<4;2>,<9003>,10,,,,
3118,,2,{gold=50000},<5;12;5>,<5;7;5>,{gold=500000},<3;12>,<3;7>,<9002>,10,,,,
3119,,2,{gold=50000},<5;16;5>,<5;2;5>,{gold=500000},<3;16>,<3;2>,<9002>,10,,,,
3120,,2,{gold=50000},<5;2;5>,<5;7;5>,{gold=500000},<3;2>,<3;7>,<9002>,10,,,,
3121,,2,{gold=80000},<6;3;8>,,{gold=800000},<4;3>,,<9003>,10,,,,
3122,,2,{gold=50000},<5;3;5>,<5;16;5>,{gold=50000},<3;3>,<3;16>,<9002>,10,,,,
3123,,2,{gold=50000},<5;3;5>,<5;16;5>,{gold=500000},<3;3>,<3;16>,<9002>,10,,,,
3124,,2,{gold=50000},<5;7;5>,<5;17;5>,{gold=500000},<3;7>,<3;17>,<9002>,10,,,,
3125,,2,{gold=50000},<5;17;5>,<5;9;5>,{gold=500000},<3;17>,<3;9>,<9002>,10,,,,
3126,,2,{gold=50000},<5;1;5>,<5;10;5>,{gold=500000},<3;1>,<3;10>,<9002>,10,,,,
3127,,2,{gold=80000},<6;13;8>,<6;18;8>,{gold=800000},<4;13>,<4;18>,<9003>,10,,,,
3128,,2,{gold=80000},<6;11;8>,<6;7;8>,{gold=800000},<4;11>,<4;7>,<9003>,10,,,,
3129,,2,{gold=50000},<5;14;5>,,{gold=500000},<3;14>,,<9002>,10,,,,
3130,,2,{gold=50000},<5;13;5>,<5;10;5>,{gold=500000},<3;13>,<3;10>,<9002>,10,,,,
3131,,2,{gold=50000},<5;4;5>,<5;15;5>,{gold=500000},<3;4>,<3;15>,<9002>,10,,,,
3132,,2,{gold=50000},<5;2;5>,<5;7;5>,{gold=500000},<3;2>,<3;7>,<9002>,10,,,,
3133,,2,{gold=80000},<6;15;8>,<6;6;8>,{gold=800000},<4;15>,<4;6>,<9003>,10,,,,
3134,,2,{gold=80000},<6;11;8>,<6;17;8>,{gold=800000},<4;11>,<4;17>,<9003>,10,,,<4;14>,<6;14;8>
3135,,2,{gold=50000},<5;13;5>,<5;16;5>,{gold=500000},<3;13>,<3;16>,<9002>,10,,,,
