变量名,name,_name,desc,unitIDs,activeType,skinFrameRes,markID,attrAddType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,rank,costMap,extraItem,isOpen,languages,extraTip,sign,__version
默认值,"""""",,"""""",{},2,common/icon/panel_card_7.png,0,1,0,"""""",0,"""""",0,"""""",0,"""""",1,{},{},FALSE,<cn;tw;en;en_us;en_eu;vn;th;kr>,"""""","""""",
ID,名字,精灵,描述,皮肤对应的unitID{cardID=unitID},激活类型(1-进化激活;2-道具激活),皮肤框资源路径,精灵markID,附加属性类型(1-相同markID的精灵;2-所有精灵),属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,排序(数字越大 排序靠后),解锁消耗,购买附赠品,是否开放,语言区域,新增,新增,__version
101,圣诞魔影,,可通过活动获得,{3021=3022},,city/drawcard/draw/panel_card_h.png,3021,,9,3%,10,3%,,,,,,{rmb=2880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
102,冰雪公主,,可通过活动获得,{3631=3632},,city/drawcard/draw/panel_card_c.png,3631,,16,300,9,5%,10,5%,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
103,封印之力,,,{3642=3643},,city/drawcard/draw/panel_card_c.png,3641,,,,,,,,,,,{rmb=998},,TRUE,,#C0x5B545B##L10#穿戴后，战斗内第二属性将切换为鬼系（不影响局外队伍光环）,,
104,偷心怪盗,,可通过活动获得,{2431=2432},,city/drawcard/draw/panel_card_c.png,2431,,8,5%,22,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
105,街头拳手,,可通过活动获得,{572=573;574=575},,city/drawcard/draw/panel_card_h.png,571,,7,2%,14,100,,,,,,{rmb=3880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
106,鱼龙夜舞,,可通过活动获得,{1393=1395;1396=1397},,city/drawcard/draw/panel_card_h.png,1391,,8,2%,24,100,,,,,,{rmb=3880},,TRUE,<cn;tw;en;en_us;en_eu;kr>,,,
107,守卫恒心,,,{4172=4173},,city/drawcard/draw/panel_card_c.png,4171,,,,,,,,,,,{rmb=998},,TRUE,,,,
108,西域魔灵,,可通过活动获得,{3642=3644},,city/drawcard/draw/panel_card_c.png,3641,,1,5%,24,300,,,,,,,,TRUE,<cn;tw;en;en_us;en_eu;kr>,#C0x5B545B##L10#穿戴后，战斗内第二属性将切换为鬼系（不影响局外队伍光环）,,
