变量名,_beizhu,starSkillList,cardExchangeRate,fragExchangeRate,universalCards,__version
默认值,,<>,0,0,<>,
ID,资质,满星极限技能ID,整卡可兑换极限点,1极限点需要多少碎片,万能整卡CardID消耗,__version
1,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
11,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
21,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
31,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
41,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
51,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
61,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
71,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
81,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
91,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
101,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
111,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
121,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
131,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
141,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
143,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
151,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
161,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
171,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
181,,,,,,
191,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
201,,,,,,
211,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
221,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
231,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
241,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
251,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
261,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
271,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
281,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
291,,,,,,
301,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
311,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
321,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
331,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
341,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
351,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
361,,,,,,
371,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
381,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
391,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
401,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
411,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
421,,,,,,
431,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
441,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
451,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
461,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
471,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
481,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
491,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
501,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
511,,,,,,
521,,,,,,
531,,,,,,
541,,<71001;71002;71003;71004;71005;71006>,20,1,<9001>,
551,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
561,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
571,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
581,,,,,,
591,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
601,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
611,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
621,,,,,,
631,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
641,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
651,,,,,,
661,,,,,,
671,,,,,,
681,,,,,,
691,,<72001;72002;72003;72004;72005;72006>,30,1,<9001>,
701,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
711,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
721,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
731,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
741,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
751,,<73001;73002;73003;73004;73005;73006>,50,1,<9002>,
761,,<74001;74002;74003;74004;74005;74006>,80,1,<9003>,
