变量名,attrType1,level,skillID,attrType3,attrNum2,attrType2,attrNum3,attrNum1
默认值,0,0,0,0,"""""",0,"""""",""""""
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
1,7,1,71001,18,0.10%,8,10,0.10%
2,7,2,71001,18,0.20%,8,20,0.20%
3,7,3,71001,18,0.30%,8,30,0.30%
4,7,4,71001,18,0.40%,8,40,0.40%
5,7,5,71001,18,0.50%,8,50,0.50%
6,7,6,71001,18,0.60%,8,60,0.60%
7,7,7,71001,18,0.70%,8,70,0.70%
8,7,8,71001,18,0.80%,8,80,0.80%
9,7,9,71001,18,0.90%,8,90,0.90%
10,7,10,71001,18,1.00%,8,100,1.00%
11,7,11,71001,18,1.10%,8,110,1.10%
12,7,12,71001,18,1.20%,8,120,1.20%
13,7,13,71001,18,1.30%,8,130,1.30%
14,7,14,71001,18,1.40%,8,140,1.40%
15,7,15,71001,18,1.50%,8,150,1.50%
16,7,16,71001,18,1.60%,8,160,1.60%
17,7,17,71001,18,1.70%,8,170,1.70%
18,7,18,71001,18,1.80%,8,180,1.80%
19,7,19,71001,18,1.90%,8,190,1.90%
20,7,20,71001,18,2.00%,8,200,2.00%
21,7,21,71001,18,2.20%,8,212,2.20%
22,7,22,71001,18,2.30%,8,224,2.30%
23,7,23,71001,18,2.50%,8,236,2.50%
24,7,24,71001,18,2.60%,8,248,2.60%
25,7,25,71001,18,2.80%,8,260,2.80%
26,7,26,71001,18,2.90%,8,272,2.90%
27,7,27,71001,18,3.10%,8,284,3.10%
28,7,28,71001,18,3.20%,8,296,3.20%
29,7,29,71001,18,3.40%,8,308,3.40%
30,7,30,71001,18,3.50%,8,320,3.50%
31,7,31,71001,18,3.70%,8,332,3.70%
32,7,32,71001,18,3.80%,8,344,3.80%
33,7,33,71001,18,4.00%,8,356,4.00%
34,7,34,71001,18,4.10%,8,368,4.10%
35,7,35,71001,18,4.30%,8,380,4.30%
36,7,36,71001,18,4.40%,8,392,4.40%
37,7,37,71001,18,4.60%,8,404,4.60%
38,7,38,71001,18,4.70%,8,416,4.70%
39,7,39,71001,18,4.90%,8,428,4.90%
40,7,40,71001,18,5.00%,8,440,5.00%
41,7,41,71001,18,5.20%,8,454,5.20%
42,7,42,71001,18,5.40%,8,468,5.40%
43,7,43,71001,18,5.60%,8,482,5.60%
44,7,44,71001,18,5.80%,8,496,5.80%
45,7,45,71001,18,6.00%,8,510,6.00%
46,7,46,71001,18,6.20%,8,524,6.20%
47,7,47,71001,18,6.40%,8,538,6.40%
48,7,48,71001,18,6.60%,8,552,6.60%
49,7,49,71001,18,6.80%,8,566,6.80%
50,7,50,71001,18,7.00%,8,580,7.00%
51,7,51,71001,18,7.20%,8,594,7.20%
52,7,52,71001,18,7.40%,8,608,7.40%
53,7,53,71001,18,7.60%,8,622,7.60%
54,7,54,71001,18,7.80%,8,636,7.80%
55,7,55,71001,18,8.00%,8,650,8.00%
56,7,56,71001,18,8.20%,8,664,8.20%
57,7,57,71001,18,8.40%,8,678,8.40%
58,7,58,71001,18,8.60%,8,692,8.60%
59,7,59,71001,18,8.80%,8,706,8.80%
60,7,60,71001,18,9.00%,8,720,9.00%
61,7,61,71001,18,9.30%,8,736,9.30%
62,7,62,71001,18,9.50%,8,752,9.50%
63,7,63,71001,18,9.80%,8,768,9.80%
64,7,64,71001,18,10.00%,8,784,10.00%
65,7,65,71001,18,10.30%,8,800,10.30%
66,7,66,71001,18,10.50%,8,816,10.50%
67,7,67,71001,18,10.80%,8,832,10.80%
68,7,68,71001,18,11.00%,8,848,11.00%
69,7,69,71001,18,11.30%,8,864,11.30%
70,7,70,71001,18,11.50%,8,880,11.50%
71,7,71,71001,18,11.80%,8,896,11.80%
72,7,72,71001,18,12.00%,8,912,12.00%
73,7,73,71001,18,12.30%,8,928,12.30%
74,7,74,71001,18,12.50%,8,944,12.50%
75,7,75,71001,18,12.80%,8,960,12.80%
76,7,76,71001,18,13.00%,8,976,13.00%
77,7,77,71001,18,13.30%,8,992,13.30%
78,7,78,71001,18,13.50%,8,1008,13.50%
79,7,79,71001,18,13.80%,8,1024,13.80%
80,7,80,71001,18,14.00%,8,1040,14.00%
81,7,81,71001,18,14.30%,8,1058,14.30%
82,7,82,71001,18,14.60%,8,1076,14.60%
83,7,83,71001,18,14.90%,8,1094,14.90%
84,7,84,71001,18,15.20%,8,1112,15.20%
85,7,85,71001,18,15.50%,8,1130,15.50%
86,7,86,71001,18,15.80%,8,1148,15.80%
87,7,87,71001,18,16.10%,8,1166,16.10%
88,7,88,71001,18,16.40%,8,1184,16.40%
89,7,89,71001,18,16.70%,8,1202,16.70%
90,7,90,71001,18,17.00%,8,1220,17.00%
91,7,91,71001,18,17.30%,8,1238,17.30%
92,7,92,71001,18,17.60%,8,1256,17.60%
93,7,93,71001,18,17.90%,8,1274,17.90%
94,7,94,71001,18,18.20%,8,1292,18.20%
95,7,95,71001,18,18.50%,8,1310,18.50%
96,7,96,71001,18,18.80%,8,1328,18.80%
97,7,97,71001,18,19.10%,8,1346,19.10%
98,7,98,71001,18,19.40%,8,1364,19.40%
99,7,99,71001,18,19.70%,8,1382,19.70%
100,7,100,71001,18,20.00%,8,1400,20.00%
1001,1,1,71002,,10,17,,0.10%
1002,1,2,71002,,20,17,,0.20%
1003,1,3,71002,,30,17,,0.30%
1004,1,4,71002,,40,17,,0.40%
1005,1,5,71002,,50,17,,0.50%
1006,1,6,71002,,60,17,,0.60%
1007,1,7,71002,,70,17,,0.70%
1008,1,8,71002,,80,17,,0.80%
1009,1,9,71002,,90,17,,0.90%
1010,1,10,71002,,100,17,,1.00%
1011,1,11,71002,,110,17,,1.10%
1012,1,12,71002,,120,17,,1.20%
1013,1,13,71002,,130,17,,1.30%
1014,1,14,71002,,140,17,,1.40%
1015,1,15,71002,,150,17,,1.50%
1016,1,16,71002,,160,17,,1.60%
1017,1,17,71002,,170,17,,1.70%
1018,1,18,71002,,180,17,,1.80%
1019,1,19,71002,,190,17,,1.90%
1020,1,20,71002,,200,17,,2.00%
1021,1,21,71002,,212,17,,2.20%
1022,1,22,71002,,224,17,,2.30%
1023,1,23,71002,,236,17,,2.50%
1024,1,24,71002,,248,17,,2.60%
1025,1,25,71002,,260,17,,2.80%
1026,1,26,71002,,272,17,,2.90%
1027,1,27,71002,,284,17,,3.10%
1028,1,28,71002,,296,17,,3.20%
1029,1,29,71002,,308,17,,3.40%
1030,1,30,71002,,320,17,,3.50%
1031,1,31,71002,,332,17,,3.70%
1032,1,32,71002,,344,17,,3.80%
1033,1,33,71002,,356,17,,4.00%
1034,1,34,71002,,368,17,,4.10%
1035,1,35,71002,,380,17,,4.30%
1036,1,36,71002,,392,17,,4.40%
1037,1,37,71002,,404,17,,4.60%
1038,1,38,71002,,416,17,,4.70%
1039,1,39,71002,,428,17,,4.90%
1040,1,40,71002,,440,17,,5.00%
1041,1,41,71002,,454,17,,5.20%
1042,1,42,71002,,468,17,,5.40%
1043,1,43,71002,,482,17,,5.60%
1044,1,44,71002,,496,17,,5.80%
1045,1,45,71002,,510,17,,6.00%
1046,1,46,71002,,524,17,,6.20%
1047,1,47,71002,,538,17,,6.40%
1048,1,48,71002,,552,17,,6.60%
1049,1,49,71002,,566,17,,6.80%
1050,1,50,71002,,580,17,,7.00%
1051,1,51,71002,,594,17,,7.20%
1052,1,52,71002,,608,17,,7.40%
1053,1,53,71002,,622,17,,7.60%
1054,1,54,71002,,636,17,,7.80%
1055,1,55,71002,,650,17,,8.00%
1056,1,56,71002,,664,17,,8.20%
1057,1,57,71002,,678,17,,8.40%
1058,1,58,71002,,692,17,,8.60%
1059,1,59,71002,,706,17,,8.80%
1060,1,60,71002,,720,17,,9.00%
1061,1,61,71002,,736,17,,9.30%
1062,1,62,71002,,752,17,,9.50%
1063,1,63,71002,,768,17,,9.80%
1064,1,64,71002,,784,17,,10.00%
1065,1,65,71002,,800,17,,10.30%
1066,1,66,71002,,816,17,,10.50%
1067,1,67,71002,,832,17,,10.80%
1068,1,68,71002,,848,17,,11.00%
1069,1,69,71002,,864,17,,11.30%
1070,1,70,71002,,880,17,,11.50%
1071,1,71,71002,,896,17,,11.80%
1072,1,72,71002,,912,17,,12.00%
1073,1,73,71002,,928,17,,12.30%
1074,1,74,71002,,944,17,,12.50%
1075,1,75,71002,,960,17,,12.80%
1076,1,76,71002,,976,17,,13.00%
1077,1,77,71002,,992,17,,13.30%
1078,1,78,71002,,1008,17,,13.50%
1079,1,79,71002,,1024,17,,13.80%
1080,1,80,71002,,1040,17,,14.00%
1081,1,81,71002,,1058,17,,14.30%
1082,1,82,71002,,1076,17,,14.60%
1083,1,83,71002,,1094,17,,14.90%
1084,1,84,71002,,1112,17,,15.20%
1085,1,85,71002,,1130,17,,15.50%
1086,1,86,71002,,1148,17,,15.80%
1087,1,87,71002,,1166,17,,16.10%
1088,1,88,71002,,1184,17,,16.40%
1089,1,89,71002,,1202,17,,16.70%
1090,1,90,71002,,1220,17,,17.00%
1091,1,91,71002,,1238,17,,17.30%
1092,1,92,71002,,1256,17,,17.60%
1093,1,93,71002,,1274,17,,17.90%
1094,1,94,71002,,1292,17,,18.20%
1095,1,95,71002,,1310,17,,18.50%
1096,1,96,71002,,1328,17,,18.80%
1097,1,97,71002,,1346,17,,19.10%
1098,1,98,71002,,1364,17,,19.40%
1099,1,99,71002,,1382,17,,19.70%
1100,1,100,71002,,1400,17,,20.00%
2001,7,1,71003,14,0.10%,8,10,0.10%
2002,7,2,71003,14,0.20%,8,20,0.20%
2003,7,3,71003,14,0.30%,8,30,0.30%
2004,7,4,71003,14,0.40%,8,40,0.40%
2005,7,5,71003,14,0.50%,8,50,0.50%
2006,7,6,71003,14,0.60%,8,60,0.60%
2007,7,7,71003,14,0.70%,8,70,0.70%
2008,7,8,71003,14,0.80%,8,80,0.80%
2009,7,9,71003,14,0.90%,8,90,0.90%
2010,7,10,71003,14,1.00%,8,100,1.00%
2011,7,11,71003,14,1.10%,8,110,1.10%
2012,7,12,71003,14,1.20%,8,120,1.20%
2013,7,13,71003,14,1.30%,8,130,1.30%
2014,7,14,71003,14,1.40%,8,140,1.40%
2015,7,15,71003,14,1.50%,8,150,1.50%
2016,7,16,71003,14,1.60%,8,160,1.60%
2017,7,17,71003,14,1.70%,8,170,1.70%
2018,7,18,71003,14,1.80%,8,180,1.80%
2019,7,19,71003,14,1.90%,8,190,1.90%
2020,7,20,71003,14,2.00%,8,200,2.00%
2021,7,21,71003,14,2.20%,8,212,2.20%
2022,7,22,71003,14,2.30%,8,224,2.30%
2023,7,23,71003,14,2.50%,8,236,2.50%
2024,7,24,71003,14,2.60%,8,248,2.60%
2025,7,25,71003,14,2.80%,8,260,2.80%
2026,7,26,71003,14,2.90%,8,272,2.90%
2027,7,27,71003,14,3.10%,8,284,3.10%
2028,7,28,71003,14,3.20%,8,296,3.20%
2029,7,29,71003,14,3.40%,8,308,3.40%
2030,7,30,71003,14,3.50%,8,320,3.50%
2031,7,31,71003,14,3.70%,8,332,3.70%
2032,7,32,71003,14,3.80%,8,344,3.80%
2033,7,33,71003,14,4.00%,8,356,4.00%
2034,7,34,71003,14,4.10%,8,368,4.10%
2035,7,35,71003,14,4.30%,8,380,4.30%
2036,7,36,71003,14,4.40%,8,392,4.40%
2037,7,37,71003,14,4.60%,8,404,4.60%
2038,7,38,71003,14,4.70%,8,416,4.70%
2039,7,39,71003,14,4.90%,8,428,4.90%
2040,7,40,71003,14,5.00%,8,440,5.00%
2041,7,41,71003,14,5.20%,8,454,5.20%
2042,7,42,71003,14,5.40%,8,468,5.40%
2043,7,43,71003,14,5.60%,8,482,5.60%
2044,7,44,71003,14,5.80%,8,496,5.80%
2045,7,45,71003,14,6.00%,8,510,6.00%
2046,7,46,71003,14,6.20%,8,524,6.20%
2047,7,47,71003,14,6.40%,8,538,6.40%
2048,7,48,71003,14,6.60%,8,552,6.60%
2049,7,49,71003,14,6.80%,8,566,6.80%
2050,7,50,71003,14,7.00%,8,580,7.00%
2051,7,51,71003,14,7.20%,8,594,7.20%
2052,7,52,71003,14,7.40%,8,608,7.40%
2053,7,53,71003,14,7.60%,8,622,7.60%
2054,7,54,71003,14,7.80%,8,636,7.80%
2055,7,55,71003,14,8.00%,8,650,8.00%
2056,7,56,71003,14,8.20%,8,664,8.20%
2057,7,57,71003,14,8.40%,8,678,8.40%
2058,7,58,71003,14,8.60%,8,692,8.60%
2059,7,59,71003,14,8.80%,8,706,8.80%
2060,7,60,71003,14,9.00%,8,720,9.00%
2061,7,61,71003,14,9.30%,8,736,9.30%
2062,7,62,71003,14,9.50%,8,752,9.50%
2063,7,63,71003,14,9.80%,8,768,9.80%
2064,7,64,71003,14,10.00%,8,784,10.00%
2065,7,65,71003,14,10.30%,8,800,10.30%
2066,7,66,71003,14,10.50%,8,816,10.50%
2067,7,67,71003,14,10.80%,8,832,10.80%
2068,7,68,71003,14,11.00%,8,848,11.00%
2069,7,69,71003,14,11.30%,8,864,11.30%
2070,7,70,71003,14,11.50%,8,880,11.50%
2071,7,71,71003,14,11.80%,8,896,11.80%
2072,7,72,71003,14,12.00%,8,912,12.00%
2073,7,73,71003,14,12.30%,8,928,12.30%
2074,7,74,71003,14,12.50%,8,944,12.50%
2075,7,75,71003,14,12.80%,8,960,12.80%
2076,7,76,71003,14,13.00%,8,976,13.00%
2077,7,77,71003,14,13.30%,8,992,13.30%
2078,7,78,71003,14,13.50%,8,1008,13.50%
2079,7,79,71003,14,13.80%,8,1024,13.80%
2080,7,80,71003,14,14.00%,8,1040,14.00%
2081,7,81,71003,14,14.30%,8,1058,14.30%
2082,7,82,71003,14,14.60%,8,1076,14.60%
2083,7,83,71003,14,14.90%,8,1094,14.90%
2084,7,84,71003,14,15.20%,8,1112,15.20%
2085,7,85,71003,14,15.50%,8,1130,15.50%
2086,7,86,71003,14,15.80%,8,1148,15.80%
2087,7,87,71003,14,16.10%,8,1166,16.10%
2088,7,88,71003,14,16.40%,8,1184,16.40%
2089,7,89,71003,14,16.70%,8,1202,16.70%
2090,7,90,71003,14,17.00%,8,1220,17.00%
2091,7,91,71003,14,17.30%,8,1238,17.30%
2092,7,92,71003,14,17.60%,8,1256,17.60%
2093,7,93,71003,14,17.90%,8,1274,17.90%
2094,7,94,71003,14,18.20%,8,1292,18.20%
2095,7,95,71003,14,18.50%,8,1310,18.50%
2096,7,96,71003,14,18.80%,8,1328,18.80%
2097,7,97,71003,14,19.10%,8,1346,19.10%
2098,7,98,71003,14,19.40%,8,1364,19.40%
2099,7,99,71003,14,19.70%,8,1382,19.70%
2100,7,100,71003,14,20.00%,8,1400,20.00%
3001,1,1,71004,,10,16,,0.10%
3002,1,2,71004,,20,16,,0.20%
3003,1,3,71004,,30,16,,0.30%
3004,1,4,71004,,40,16,,0.40%
3005,1,5,71004,,50,16,,0.50%
3006,1,6,71004,,60,16,,0.60%
3007,1,7,71004,,70,16,,0.70%
3008,1,8,71004,,80,16,,0.80%
3009,1,9,71004,,90,16,,0.90%
3010,1,10,71004,,100,16,,1.00%
3011,1,11,71004,,110,16,,1.10%
3012,1,12,71004,,120,16,,1.20%
3013,1,13,71004,,130,16,,1.30%
3014,1,14,71004,,140,16,,1.40%
3015,1,15,71004,,150,16,,1.50%
3016,1,16,71004,,160,16,,1.60%
3017,1,17,71004,,170,16,,1.70%
3018,1,18,71004,,180,16,,1.80%
3019,1,19,71004,,190,16,,1.90%
3020,1,20,71004,,200,16,,2.00%
3021,1,21,71004,,212,16,,2.20%
3022,1,22,71004,,224,16,,2.30%
3023,1,23,71004,,236,16,,2.50%
3024,1,24,71004,,248,16,,2.60%
3025,1,25,71004,,260,16,,2.80%
3026,1,26,71004,,272,16,,2.90%
3027,1,27,71004,,284,16,,3.10%
3028,1,28,71004,,296,16,,3.20%
3029,1,29,71004,,308,16,,3.40%
3030,1,30,71004,,320,16,,3.50%
3031,1,31,71004,,332,16,,3.70%
3032,1,32,71004,,344,16,,3.80%
3033,1,33,71004,,356,16,,4.00%
3034,1,34,71004,,368,16,,4.10%
3035,1,35,71004,,380,16,,4.30%
3036,1,36,71004,,392,16,,4.40%
3037,1,37,71004,,404,16,,4.60%
3038,1,38,71004,,416,16,,4.70%
3039,1,39,71004,,428,16,,4.90%
3040,1,40,71004,,440,16,,5.00%
3041,1,41,71004,,454,16,,5.20%
3042,1,42,71004,,468,16,,5.40%
3043,1,43,71004,,482,16,,5.60%
3044,1,44,71004,,496,16,,5.80%
3045,1,45,71004,,510,16,,6.00%
3046,1,46,71004,,524,16,,6.20%
3047,1,47,71004,,538,16,,6.40%
3048,1,48,71004,,552,16,,6.60%
3049,1,49,71004,,566,16,,6.80%
3050,1,50,71004,,580,16,,7.00%
3051,1,51,71004,,594,16,,7.20%
3052,1,52,71004,,608,16,,7.40%
3053,1,53,71004,,622,16,,7.60%
3054,1,54,71004,,636,16,,7.80%
3055,1,55,71004,,650,16,,8.00%
3056,1,56,71004,,664,16,,8.20%
3057,1,57,71004,,678,16,,8.40%
3058,1,58,71004,,692,16,,8.60%
3059,1,59,71004,,706,16,,8.80%
3060,1,60,71004,,720,16,,9.00%
3061,1,61,71004,,736,16,,9.30%
3062,1,62,71004,,752,16,,9.50%
3063,1,63,71004,,768,16,,9.80%
3064,1,64,71004,,784,16,,10.00%
3065,1,65,71004,,800,16,,10.30%
3066,1,66,71004,,816,16,,10.50%
3067,1,67,71004,,832,16,,10.80%
3068,1,68,71004,,848,16,,11.00%
3069,1,69,71004,,864,16,,11.30%
3070,1,70,71004,,880,16,,11.50%
3071,1,71,71004,,896,16,,11.80%
3072,1,72,71004,,912,16,,12.00%
3073,1,73,71004,,928,16,,12.30%
3074,1,74,71004,,944,16,,12.50%
3075,1,75,71004,,960,16,,12.80%
3076,1,76,71004,,976,16,,13.00%
3077,1,77,71004,,992,16,,13.30%
3078,1,78,71004,,1008,16,,13.50%
3079,1,79,71004,,1024,16,,13.80%
3080,1,80,71004,,1040,16,,14.00%
3081,1,81,71004,,1058,16,,14.30%
3082,1,82,71004,,1076,16,,14.60%
3083,1,83,71004,,1094,16,,14.90%
3084,1,84,71004,,1112,16,,15.20%
3085,1,85,71004,,1130,16,,15.50%
3086,1,86,71004,,1148,16,,15.80%
3087,1,87,71004,,1166,16,,16.10%
3088,1,88,71004,,1184,16,,16.40%
3089,1,89,71004,,1202,16,,16.70%
3090,1,90,71004,,1220,16,,17.00%
3091,1,91,71004,,1238,16,,17.30%
3092,1,92,71004,,1256,16,,17.60%
3093,1,93,71004,,1274,16,,17.90%
3094,1,94,71004,,1292,16,,18.20%
3095,1,95,71004,,1310,16,,18.50%
3096,1,96,71004,,1328,16,,18.80%
3097,1,97,71004,,1346,16,,19.10%
3098,1,98,71004,,1364,16,,19.40%
3099,1,99,71004,,1382,16,,19.70%
3100,1,100,71004,,1400,16,,20.00%
4001,9,1,71005,22,0.10%,10,10,0.10%
4002,9,2,71005,22,0.20%,10,20,0.20%
4003,9,3,71005,22,0.30%,10,30,0.30%
4004,9,4,71005,22,0.40%,10,40,0.40%
4005,9,5,71005,22,0.50%,10,50,0.50%
4006,9,6,71005,22,0.60%,10,60,0.60%
4007,9,7,71005,22,0.70%,10,70,0.70%
4008,9,8,71005,22,0.80%,10,80,0.80%
4009,9,9,71005,22,0.90%,10,90,0.90%
4010,9,10,71005,22,1.00%,10,100,1.00%
4011,9,11,71005,22,1.10%,10,110,1.10%
4012,9,12,71005,22,1.20%,10,120,1.20%
4013,9,13,71005,22,1.30%,10,130,1.30%
4014,9,14,71005,22,1.40%,10,140,1.40%
4015,9,15,71005,22,1.50%,10,150,1.50%
4016,9,16,71005,22,1.60%,10,160,1.60%
4017,9,17,71005,22,1.70%,10,170,1.70%
4018,9,18,71005,22,1.80%,10,180,1.80%
4019,9,19,71005,22,1.90%,10,190,1.90%
4020,9,20,71005,22,2.00%,10,200,2.00%
4021,9,21,71005,22,2.20%,10,212,2.20%
4022,9,22,71005,22,2.30%,10,224,2.30%
4023,9,23,71005,22,2.50%,10,236,2.50%
4024,9,24,71005,22,2.60%,10,248,2.60%
4025,9,25,71005,22,2.80%,10,260,2.80%
4026,9,26,71005,22,2.90%,10,272,2.90%
4027,9,27,71005,22,3.10%,10,284,3.10%
4028,9,28,71005,22,3.20%,10,296,3.20%
4029,9,29,71005,22,3.40%,10,308,3.40%
4030,9,30,71005,22,3.50%,10,320,3.50%
4031,9,31,71005,22,3.70%,10,332,3.70%
4032,9,32,71005,22,3.80%,10,344,3.80%
4033,9,33,71005,22,4.00%,10,356,4.00%
4034,9,34,71005,22,4.10%,10,368,4.10%
4035,9,35,71005,22,4.30%,10,380,4.30%
4036,9,36,71005,22,4.40%,10,392,4.40%
4037,9,37,71005,22,4.60%,10,404,4.60%
4038,9,38,71005,22,4.70%,10,416,4.70%
4039,9,39,71005,22,4.90%,10,428,4.90%
4040,9,40,71005,22,5.00%,10,440,5.00%
4041,9,41,71005,22,5.20%,10,454,5.20%
4042,9,42,71005,22,5.40%,10,468,5.40%
4043,9,43,71005,22,5.60%,10,482,5.60%
4044,9,44,71005,22,5.80%,10,496,5.80%
4045,9,45,71005,22,6.00%,10,510,6.00%
4046,9,46,71005,22,6.20%,10,524,6.20%
4047,9,47,71005,22,6.40%,10,538,6.40%
4048,9,48,71005,22,6.60%,10,552,6.60%
4049,9,49,71005,22,6.80%,10,566,6.80%
4050,9,50,71005,22,7.00%,10,580,7.00%
4051,9,51,71005,22,7.20%,10,594,7.20%
4052,9,52,71005,22,7.40%,10,608,7.40%
4053,9,53,71005,22,7.60%,10,622,7.60%
4054,9,54,71005,22,7.80%,10,636,7.80%
4055,9,55,71005,22,8.00%,10,650,8.00%
4056,9,56,71005,22,8.20%,10,664,8.20%
4057,9,57,71005,22,8.40%,10,678,8.40%
4058,9,58,71005,22,8.60%,10,692,8.60%
4059,9,59,71005,22,8.80%,10,706,8.80%
4060,9,60,71005,22,9.00%,10,720,9.00%
4061,9,61,71005,22,9.30%,10,736,9.30%
4062,9,62,71005,22,9.50%,10,752,9.50%
4063,9,63,71005,22,9.80%,10,768,9.80%
4064,9,64,71005,22,10.00%,10,784,10.00%
4065,9,65,71005,22,10.30%,10,800,10.30%
4066,9,66,71005,22,10.50%,10,816,10.50%
4067,9,67,71005,22,10.80%,10,832,10.80%
4068,9,68,71005,22,11.00%,10,848,11.00%
4069,9,69,71005,22,11.30%,10,864,11.30%
4070,9,70,71005,22,11.50%,10,880,11.50%
4071,9,71,71005,22,11.80%,10,896,11.80%
4072,9,72,71005,22,12.00%,10,912,12.00%
4073,9,73,71005,22,12.30%,10,928,12.30%
4074,9,74,71005,22,12.50%,10,944,12.50%
4075,9,75,71005,22,12.80%,10,960,12.80%
4076,9,76,71005,22,13.00%,10,976,13.00%
4077,9,77,71005,22,13.30%,10,992,13.30%
4078,9,78,71005,22,13.50%,10,1008,13.50%
4079,9,79,71005,22,13.80%,10,1024,13.80%
4080,9,80,71005,22,14.00%,10,1040,14.00%
4081,9,81,71005,22,14.30%,10,1058,14.30%
4082,9,82,71005,22,14.60%,10,1076,14.60%
4083,9,83,71005,22,14.90%,10,1094,14.90%
4084,9,84,71005,22,15.20%,10,1112,15.20%
4085,9,85,71005,22,15.50%,10,1130,15.50%
4086,9,86,71005,22,15.80%,10,1148,15.80%
4087,9,87,71005,22,16.10%,10,1166,16.10%
4088,9,88,71005,22,16.40%,10,1184,16.40%
4089,9,89,71005,22,16.70%,10,1202,16.70%
4090,9,90,71005,22,17.00%,10,1220,17.00%
4091,9,91,71005,22,17.30%,10,1238,17.30%
4092,9,92,71005,22,17.60%,10,1256,17.60%
4093,9,93,71005,22,17.90%,10,1274,17.90%
4094,9,94,71005,22,18.20%,10,1292,18.20%
4095,9,95,71005,22,18.50%,10,1310,18.50%
4096,9,96,71005,22,18.80%,10,1328,18.80%
4097,9,97,71005,22,19.10%,10,1346,19.10%
4098,9,98,71005,22,19.40%,10,1364,19.40%
4099,9,99,71005,22,19.70%,10,1382,19.70%
4100,9,100,71005,22,20.00%,10,1400,20.00%
5001,9,1,71006,23,0.10%,10,10,0.10%
5002,9,2,71006,23,0.20%,10,20,0.20%
5003,9,3,71006,23,0.30%,10,30,0.30%
5004,9,4,71006,23,0.40%,10,40,0.40%
5005,9,5,71006,23,0.50%,10,50,0.50%
5006,9,6,71006,23,0.60%,10,60,0.60%
5007,9,7,71006,23,0.70%,10,70,0.70%
5008,9,8,71006,23,0.80%,10,80,0.80%
5009,9,9,71006,23,0.90%,10,90,0.90%
5010,9,10,71006,23,1.00%,10,100,1.00%
5011,9,11,71006,23,1.10%,10,110,1.10%
5012,9,12,71006,23,1.20%,10,120,1.20%
5013,9,13,71006,23,1.30%,10,130,1.30%
5014,9,14,71006,23,1.40%,10,140,1.40%
5015,9,15,71006,23,1.50%,10,150,1.50%
5016,9,16,71006,23,1.60%,10,160,1.60%
5017,9,17,71006,23,1.70%,10,170,1.70%
5018,9,18,71006,23,1.80%,10,180,1.80%
5019,9,19,71006,23,1.90%,10,190,1.90%
5020,9,20,71006,23,2.00%,10,200,2.00%
5021,9,21,71006,23,2.20%,10,212,2.20%
5022,9,22,71006,23,2.30%,10,224,2.30%
5023,9,23,71006,23,2.50%,10,236,2.50%
5024,9,24,71006,23,2.60%,10,248,2.60%
5025,9,25,71006,23,2.80%,10,260,2.80%
5026,9,26,71006,23,2.90%,10,272,2.90%
5027,9,27,71006,23,3.10%,10,284,3.10%
5028,9,28,71006,23,3.20%,10,296,3.20%
5029,9,29,71006,23,3.40%,10,308,3.40%
5030,9,30,71006,23,3.50%,10,320,3.50%
5031,9,31,71006,23,3.70%,10,332,3.70%
5032,9,32,71006,23,3.80%,10,344,3.80%
5033,9,33,71006,23,4.00%,10,356,4.00%
5034,9,34,71006,23,4.10%,10,368,4.10%
5035,9,35,71006,23,4.30%,10,380,4.30%
5036,9,36,71006,23,4.40%,10,392,4.40%
5037,9,37,71006,23,4.60%,10,404,4.60%
5038,9,38,71006,23,4.70%,10,416,4.70%
5039,9,39,71006,23,4.90%,10,428,4.90%
5040,9,40,71006,23,5.00%,10,440,5.00%
5041,9,41,71006,23,5.20%,10,454,5.20%
5042,9,42,71006,23,5.40%,10,468,5.40%
5043,9,43,71006,23,5.60%,10,482,5.60%
5044,9,44,71006,23,5.80%,10,496,5.80%
5045,9,45,71006,23,6.00%,10,510,6.00%
5046,9,46,71006,23,6.20%,10,524,6.20%
5047,9,47,71006,23,6.40%,10,538,6.40%
5048,9,48,71006,23,6.60%,10,552,6.60%
5049,9,49,71006,23,6.80%,10,566,6.80%
5050,9,50,71006,23,7.00%,10,580,7.00%
5051,9,51,71006,23,7.20%,10,594,7.20%
5052,9,52,71006,23,7.40%,10,608,7.40%
5053,9,53,71006,23,7.60%,10,622,7.60%
5054,9,54,71006,23,7.80%,10,636,7.80%
5055,9,55,71006,23,8.00%,10,650,8.00%
5056,9,56,71006,23,8.20%,10,664,8.20%
5057,9,57,71006,23,8.40%,10,678,8.40%
5058,9,58,71006,23,8.60%,10,692,8.60%
5059,9,59,71006,23,8.80%,10,706,8.80%
5060,9,60,71006,23,9.00%,10,720,9.00%
5061,9,61,71006,23,9.30%,10,736,9.30%
5062,9,62,71006,23,9.50%,10,752,9.50%
5063,9,63,71006,23,9.80%,10,768,9.80%
5064,9,64,71006,23,10.00%,10,784,10.00%
5065,9,65,71006,23,10.30%,10,800,10.30%
