变量名,type,rarity,reachStar,costItem
默认值,0,0,0,{}
ID,默认值,默认值,默认值,costItem
1,,3,4,{gold=2000000;rmb=800;452=200}
2,,3,5,{gold=2000000;rmb=800;452=200}
3,,3,6,{gold=2000000;rmb=800;452=200}
4,,3,7,{gold=2000000;rmb=800;452=200}
5,,3,8,{gold=2000000;rmb=800;452=200}
6,,3,9,{gold=2000000;rmb=800;452=200}
7,,3,10,{gold=2000000;rmb=800;452=200}
8,,3,11,{gold=2000000;rmb=800;452=200}
9,,3,12,{gold=2000000;rmb=800;452=200}
11,,4,5,{gold=20000000;rmb=1200;452=800}
12,,4,6,{gold=20000000;rmb=1200;452=800}
13,,4,7,{gold=20000000;rmb=1200;452=800}
14,,4,8,{gold=20000000;rmb=1200;452=800}
15,,4,9,{gold=20000000;rmb=1200;452=800}
16,,4,10,{gold=20000000;rmb=1200;452=800}
17,,4,11,{gold=20000000;rmb=1200;452=800}
18,,4,12,{gold=20000000;rmb=1200;452=800}
101,1,3,4,{rmb=100;coin1=2000;coin2=2000;502=2;gold=500000}
102,1,3,5,{rmb=100;coin1=2000;coin2=2000;502=2;gold=500000}
103,1,3,6,{rmb=200;coin1=4000;coin2=4000;502=4;gold=1000000}
104,1,3,7,{rmb=300;coin1=6000;coin2=6000;502=6;gold=1500000}
105,1,3,8,{rmb=400;coin1=8000;coin2=8000;502=8;gold=2000000}
106,1,3,9,{rmb=600;coin1=12000;coin2=12000;502=12;gold=3000000}
107,1,3,10,{rmb=800;coin1=16000;coin2=16000;502=16;gold=4000000}
108,1,3,11,{rmb=1200;coin1=24000;coin2=24000;502=24;gold=6000000}
109,1,3,12,{rmb=1600;coin1=32000;coin2=32000;502=32;gold=8000000}
111,1,4,5,{rmb=300;521=2;coin2=6000;coin1=6000;gold=1500000}
112,1,4,6,{rmb=600;521=4;coin2=12000;coin1=12000;gold=3000000}
113,1,4,7,{rmb=900;521=6;coin2=18000;coin1=18000;gold=4500000}
114,1,4,8,{rmb=1200;521=8;coin2=24000;coin1=24000;gold=6000000}
115,1,4,9,{rmb=1800;521=12;coin2=36000;coin1=36000;gold=9000000}
116,1,4,10,{rmb=2400;521=16;coin2=48000;coin1=48000;gold=12000000}
117,1,4,11,{rmb=3600;521=24;coin2=72000;coin1=72000;gold=18000000}
118,1,4,12,{rmb=4800;521=32;coin2=96000;coin1=96000;gold=24000000}
