变量名,param,time,date,endTime,validRoleCreatedEarliestDate,validRoleCreatedLatestDate,type,endDate,starSwapTimes,languages
默认值,0,500,20160101,500,20160101,20160101,0,20371231,{},
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
1,9999,,,,,,2,,{9000=1;9001=1},<cn>
11,1,,20231026,2359,,20240301,3,20231126,{9003=1},<cn>
21,1,,20231221,2359,,20240301,3,20240221,{9002=1},<cn>
22,1,,20231228,2359,,20240128,3,20240128,{9003=1},<cn>
31,1,,20240322,2359,,20240422,3,20240422,{9000=1},<cn>
32,1,,20240322,2359,,20240422,3,20240422,{9001=1},<cn>
51,85,,20240717,,,20380101,2,,{9001=1},<cn>
81,1,,20240927,2359,,20241027,3,20241027,{9000=1},<cn>
82,1,,20240927,2359,,20241027,3,20241027,{9001=1},<cn>
