变量名,name,languages,drawlanguages,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,location,aidID,contractPlan,emeraPlanID,__version,chipsMod,contractMod,gemMod
默认值,"""""",<cn;tw;en;en_us;en_eu;vn;th;kr>,<cn;tw;en;en_us;en_eu;vn;th;kr>,,1,<7;8>,1,0,1,0,TRUE,3,,0,0,5000,,1,<2;15>,1,<39;65;52;43;60;50;309>,1,1,1,1,<601;602;603>,30,<1;1;8;16;22;28;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;140;145;150>,1,92,149,{},60003,<60001;60002;60003;61101;61102>,9001,100,<11032;11132;11232;11332>,21002,1,1,{gain=FALSE;drawcard=FALSE},1,1,1,1,1,<>,0,10,1,生活在宝可梦世界的不可思议的生物,未知,0,1,1,,<>,<>,<>
ID,名字,语言区域,抽卡语言区域,卡牌标识ID,卡牌类型（1-常规；2-素材）,进攻类型：7物攻，8特攻,进化状态,分支,分支形态类型(1多分支2多形态),超进化索引,能否进化到当前阶段,分支切换消耗类型,z觉醒未开启标记,Z觉醒ID,Z觉醒碎片ID,雄性出生概率(10000为分母基数),性别(0-无性别；1-雄性；2-雌性),性格随机,推荐性格,个体值随机,种族值,战斗力计算系数id,升星类型ID,进阶类型ID,好感度标示,好感度消耗道具,进阶上限,进阶等级要求,卡牌升级经验序列ID,卡牌对应unitID,卡牌等级上限,皮肤技能表(skinID=<skillID;>),大招技能ID,技能ID列表,满星技能索引,最大极限属性等级,初始饰品列表,卡牌碎片ID,卡牌碎片数量类型,初始星级,分别表示在抽卡，恭喜获得时额外特效,升星效果索引,特性索引,努力值索引,宝石槽索引,宝石品质索引,羁绊,家园技能,精力,精力修正,简介,定位,新增,新增,emeraPlanID,__version,chipsMod,contractMod,gemMod
1,妙蛙种子,,,1,,<8>,,,,,,,,1,50001,,,,<22;24;18;20>,,<45;45;49;49;65;65;318>,,2,11,2,<609;610;611;602;603>,,,2,1,,,13,<11;12;13;16;61151;61152>,1,,<11002;11102;11202;11302>,20001,2,2,,,20,2,2,2,<11;12;13>,1001,,0.8,妙蛙种子，种子宝可梦。出生后有一段期间会从背上的种子得到营养并且长大。,治愈之力,,330,2,,<101;102>,<<109;209>;<108;208>;<107;208>>,<1069>
2,妙蛙草,,,1,,<8>,2,,,,,,,1,50001,,,,<22;24;18;20>,,<60;60;62;63;80;80;405>,,2,11,2,<609;610;611;602;603>,,,2,2,,,23,<21;22;23;26;61151;61152>,1,,<11002;11102;11202;11302>,20001,2,2,,,20,2,2,2,<11;12;13>,1001,,0.8,妙蛙草，种子宝可梦，是妙蛙种子的进化形，背上背着花苞，当花苞吸取养分之后，就会开出巨大的花朵。,治愈之力,,330,2,,<101;102>,<<109;209>;<108;208>;<107;208>>,<1069>
3,妙蛙花,,,1,,<8>,3,,,,,,,1,50001,,,,<22;24;18;20>,,<80;80;82;83;100;100;525>,,2,11,2,<609;610;611;602;603>,,,2,3,,,33,<31;32;33;36;61151;61152>,1,,<11002;11102;11202;11302>,20001,2,2,,,20,2,2,2,<11;12;13>,1001,,0.8,妙蛙花，种子宝可梦，是妙蛙草的进化形，经常在有阳光的地方定住不动，有人猜测它是在进行光合作用。吸取阳光以便获取能量。,治愈之力,,330,2,,<101;102>,<<109;209>;<108;208>;<107;208>>,<1069>
4,超级妙蛙花,<cn;kr;en;en_us;en_eu;tw>,,1,,<8>,4,,,10,,,,2,50001,,,,<22;24;18;20>,2,<80;80;100;123;122;120;625>,,12,11,2,<609;610;611;602;603>,,,2,4,,,43,<41;42;43;46;61151;61152>,1,,<11002;11102;11202;11302>,20001,2,10,,,20,2,2,2,<11;12;13>,1132,15,0.8,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳，花香会治愈人心。,治愈之力 & 毒伤控制,,440,2,,<101;102>,<<118;204>;<119;204>>,<1069>
11,小火龙,,,11,,<8>,,,,,,,,11,50011,,,,<6;7;18;19>,,<39;65;52;43;60;50;309>,,2,11,2,<618;619;620;602;603>,,,2,11,,,113,<111;112;113;116;61101;61102>,11,,<11032;11132;11232;11332>,20011,2,2,,11,16,2,2,2,<111;112;113>,1101,,0.78,小火龙，蜥蜴宝可梦。尾巴上的火焰是生命之火，充满活力的时候，火焰会猛烈燃烧，火焰消失就是死亡的时候。,火焰灼烧,,310,,,<103;104>,<<103;208>;<102;208>;<101;209>>,<1063>
12,火恐龙,,,11,,<8>,2,,,,,,,11,50011,,,,<6;7;18;19>,,<58;80;64;58;80;65;405>,,2,11,2,<618;619;620;602;603>,,,2,12,,,123,<121;122;123;126;61101;61102>,11,,<11032;11132;11232;11332>,20011,2,2,,11,16,2,2,2,<111;112;113>,1101,,0.78,火恐龙，火焰宝可梦，是小火龙的进化形，会用尾巴将敌人扫倒，然后用尖锐的爪子将敌人切裂。,火焰灼烧,,310,,,<103;104>,<<103;208>;<102;208>;<101;209>>,<1063>
13,喷火龙,,,11,,<8>,3,,,,,,,11,50011,,,,<6;7;18;19>,,<78;100;84;78;109;85;534>,,2,11,2,<618;619;620;602;603>,,,2,13,,,133,<131;132;133;136;61101;61102>,11,,<11032;11132;11232;11332>,20011,2,2,,11,16,2,2,2,<111;112;113>,1101,,0.78,喷火龙，火焰宝可梦。强力的喷射火焰，甚至可以把岩石熔化掉。,火焰灼烧,,310,,,<103;104>,<<103;208>;<102;208>;<101;209>>,<1063>
14,超级喷火龙X,<cn;kr;en;en_us;en_eu;tw>,,11,,<7>,4,1,,111,,,,12,50011,,,,<10;11;13;9>,2,<78;100;130;111;130;85;634>,,12,11,2,<618;619;620;602;603>,,,2,14,,,143,<141;142;143;146;61101;61102>,11,,<11032;11132;11232;11332>,20011,2,10,,11,16,2,2,2,<111;112;113>,1052,15,0.78,全身充斥着非比寻常的力量，这种力量染黑了它的身体，燃烧出炽热的蓝色火焰。,火焰灼烧&热焰溅射,,410,,,<103;104>,<<110;204>;<111;206>;<112;204>>,<1063>
15,超级喷火龙Y,<cn;kr;en;en_us;en_eu;tw>,,11,,<8>,4,2,,112,,,,13,50011,,,,<6;7;18;19>,2,<78;100;104;78;159;115;634>,,12,11,2,<618;619;620;602;603>,,,2,15,,,153,<151;152;153;156;61101;61102>,11,,<11032;11132;11232;11332>,20011,2,10,,11,16,2,2,2,<111;112;113>,1012,15,0.78,与训练家的牵绊是它的力量之源。它引以为傲的飞行能力完全凌驾于喷气式飞机之上。,火焰灼烧&灼烧增强,,410,,,<103;104>,<<110;204>;<111;206>;<112;204>>,<1063>
