变量名,developType,cost,switchCD,conditionMain,conditionCards
默认值,1,<>,0,FALSE,<>
ID,分支切换类型,消耗,新增,新增,新增
1,,<{rmb=100}>,,,
2,2,<{rmb=300}>,,,
3,3,<{rmb=500}>,,,
4,4,<{rmb=800}>,,,
5,5,<{rmb=100};{rmb=0}>,,,
6,6,<{rmb=300};{rmb=0}>,,,
7,7,<{rmb=500};{rmb=0}>,,,
8,8,<{rmb=800};{rmb=0}>,,,
9,9,<{};{521=30;501=5;gold=6000000;rmb=1500}>,432000,,
10,10,<{};{521=30;501=5;gold=6000000;rmb=1500}>,432000,,
11,11,<{}>,,TRUE,<>
12,12,<{}>,,,<<1911;8>>
13,13,<{}>,,,<<1921;8>>
14,14,<{}>,,,<<1931;8>>
15,15,<{}>,,,<<4651;8>>
16,16,<{}>,,,<<4641;8>>
17,17,<{}>,,TRUE,
18,18,<{}>,,,
19,19,<{}>,,,
20,20,<{}>,,,
