变量名,name,name_tw,name_en,name_kr,attrMap,res
默认值,"""""","""""","""""","""""",{},""""""
ID,性格名字,性格名字,性格名字,性格名字_韩,属性加成,资源
1,浮躁,浮躁,Quirky,????,,
2,勤奋,勤奮,Hardy,???,,
3,害羞,害羞,Bashful,????,,
4,坦率,坦率,Docile,???,,
5,认真,認真,Serious,???,,
6,胆小,膽小,Timid,?? ??,{13=110%;7=90%},
7,急躁,急躁,Hasty,???,{13=110%;9=90%},
8,爽朗,爽朗,Jolly,???,{13=110%;8=90%},
9,天真,天真,Naive,?????,{13=110%;10=90%},
10,怕寂寞,怕寂寞,Lonely,????,{7=110%;9=90%},
11,勇敢,勇敢,Brave,???,{7=110%;13=90%},
12,固执,固執,Adamant,??? ??,{7=110%;8=90%},
13,顽皮,頑皮,Naughty,??? ??,{7=110%;10=90%},
14,大胆,大膽,Bold,???,{9=110%;7=90%},
15,悠闲,悠閒,Relaxed,????,{9=110%;13=90%},
16,淘气,淘氣,Impish,????,{9=110%;8=90%},
17,乐天,樂天,Lax,???,{9=110%;10=90%},
18,内敛,內斂,Modest,???,{8=110%;7=90%},
19,慢吞吞,慢吞吞,Mild,??,{8=110%;9=90%},
20,冷静,冷靜,Quiet,???,{8=110%;13=90%},
21,马虎,馬虎,Rash,?????,{8=110%;10=90%},
22,温和,溫和,Calm,???,{10=110%;7=90%},
23,温顺,溫順,Gentle,???,{10=110%;9=90%},
24,自大,自大,Sassy,???,{10=110%;13=90%},
25,慎重,慎重,Careful,???,{10=110%;8=90%},
