变量名,key,text,tab,resource
默认值,"""""","""""",<1>,""""""
ID,关键字,绿字标记,页签显示;内容读 emojiTab,表情资源
,,,,
1,sad,难过,<1>,config/chatemoji/icon_bq_1@.png
2,cool,耍帅,<1>,config/chatemoji/icon_bq_2@.png
3,lovely,乖巧,<1>,config/chatemoji/icon_bq_3@.png
4,no,我拒绝！,<1>,config/chatemoji/icon_bq_4@.png
5,gdnt,晚安,<1>,config/chatemoji/icon_bq_5@.png
6,exme,不好意思,<1>,config/chatemoji/icon_bq_6@.png
7,ei,诶！！,<1>,config/chatemoji/icon_bq_7@.png
8,face1,鬼脸,<1>,config/chatemoji/icon_bq_8@.png
9,face2,鬼脸,<1>,config/chatemoji/icon_bq_9@.png
10,face3,鬼脸,<1>,config/chatemoji/icon_bq_10@.png
11,face4,鬼脸,<1>,config/chatemoji/icon_bq_11@.png
12,back,回头,<1>,config/chatemoji/icon_bq_12@.png
13,weapon,全副武装,<1>,config/chatemoji/icon_bq_13@.png
14,drink,吸,<1>,config/chatemoji/icon_bq_14@.png
15,lovely,可爱,<1>,config/chatemoji/icon_bq_15@.png
16,swim,游泳,<1>,config/chatemoji/icon_bq_16@.png
17,fool,发呆,<1>,config/chatemoji/icon_bq_17@.png
18,look,我看看,<1>,config/chatemoji/icon_bq_18@.png
19,come,来呀,<1>,config/chatemoji/icon_bq_19@.png
20,what,啥？,<1>,config/chatemoji/icon_bq_20@.png
21,yahoo,吖吼,<1>,config/chatemoji/icon_bq_21@.png
22,sat,坐,<1>,config/chatemoji/icon_bq_22@.png
23,go,走,<1>,config/chatemoji/icon_bq_23@.png
24,handsom,帅气登场,<1>,config/chatemoji/icon_bq_24@.png
25,happy,开心,<1>,config/chatemoji/icon_bq_25@.png
26,morning,早,<1>,config/chatemoji/icon_bq_26@.png
27,sit,坐好,<1>,config/chatemoji/icon_bq_27@.png
28,hello,你好啊,<1>,config/chatemoji/icon_bq_28@.png
29,eihei,诶嘿,<1>,config/chatemoji/icon_bq_29@.png
30,heart,比心,<1>,config/chatemoji/icon_bq_30@.png
31,kun,困,<1>,config/chatemoji/icon_bq_mmx1.png
32,high,狂喜,<1>,config/chatemoji/icon_bq_mmx2.png
33,quiet,安详,<1>,config/chatemoji/icon_bq_mmx3.png
34,amazing,惊,<1>,config/chatemoji/icon_bq_mmx4.png
35,pride,自豪,<1>,config/chatemoji/icon_bq_mmx5.png
36,away,哼,<1>,config/chatemoji/icon_bq_mmx6.png
37,dddds,呆呆呆呆兽,<2>,config/chatemoji/icon_zzdds_bqb.png
38,ddgg,呆呆耿鬼,<2>,config/chatemoji/icon_zzgg_bqb.png
39,ddjng,呆呆杰尼龟,<2>,config/chatemoji/icon_zzjng_bqb.png
40,ddkdy,呆呆可达鸭,<2>,config/chatemoji/icon_zzkdy_bqb.png
41,ddmwzz,呆呆妙蛙种子,<2>,config/chatemoji/icon_zzmwzz_bqb.png
42,ddpkq,呆呆皮卡丘,<2>,config/chatemoji/icon_zzpkq_bqb.png
43,ddxhl,呆呆小火龙,<2>,config/chatemoji/icon_zzxhl_bqb.png
44,ddyb,呆呆伊布,<2>,config/chatemoji/icon_zzyb_bqb.png
45,increas1,发呆波加曼版,<2>,config/chatemoji/icon_sd_bjm.png
46,increas2,发呆耿鬼版,<2>,config/chatemoji/icon_sd_gs.png
47,increas3,发呆杰尼龟版,<2>,config/chatemoji/icon_sd_jng.png
48,increas4,发呆喵喵版,<2>,config/chatemoji/icon_sd_mm.png
49,increas5,发呆木木枭版,<2>,config/chatemoji/icon_sd_mmx.png
50,increas6,发呆妙蛙种子版,<2>,config/chatemoji/icon_sd_mwzz.png
51,increas7,发呆皮卡丘版,<2>,config/chatemoji/icon_sd_pkq.png
52,increas8,发呆小火龙版,<2>,config/chatemoji/icon_sd_xhl.png
53,increas9,发呆伊布版,<2>,config/chatemoji/icon_sd_yb.png
54,increas10,发呆月精灵版,<2>,config/chatemoji/icon_sd_yjl.png
55,increas11,发呆沼跃鱼版,<2>,config/chatemoji/icon_sd_zyy.png
56,sst1,佛了,<3>,config/chatemoji/icon_bq_sst1.png
57,sst2,Mua~,<3>,config/chatemoji/icon_bq_sst2.png
58,sst3,阿达！,<3>,config/chatemoji/icon_bq_sst3.png
59,sst4,不服solo,<3>,config/chatemoji/icon_bq_sst4.png
60,sst5,我来啦,<3>,config/chatemoji/icon_bq_sst5.png
61,sst6,我走啦,<3>,config/chatemoji/icon_bq_sst6.png
62,sst7,小心翼翼,<3>,config/chatemoji/icon_bq_sst7.png
63,sst8,注意！,<3>,config/chatemoji/icon_bq_sst8.png
64,sst9,我一定会回来的,<4>,config/chatemoji/icon_bq_sst9.png
65,summer1,芭比Q了,<4>,config/chatemoji/icon_bq_summer1.png
66,summer2,蚌埠住了,<4>,config/chatemoji/icon_bq_summer2.png
67,summer3,诶嘿嘿,<4>,config/chatemoji/icon_bq_summer3.png
68,summer4,耗子尾汁,<4>,config/chatemoji/icon_bq_summer4.png
69,summer5,YYDS,<4>,config/chatemoji/icon_bq_summer5.png
70,summer6,玉玉了,<4>,config/chatemoji/icon_bq_summer6.png
71,summer7,扎心了,<4>,config/chatemoji/icon_bq_summer7.png
