变量名,name,icon,suitID,quality,pos,mainAttr,startNum,startLib,acquiredLimit,acquiredLib,maxLevel,strengthSeq,acquiredLevels,strengthLevels,recastLib,recastCostSeq,exp,effect
默认值,"""""","""config/chip/icon_gj_1_1.png""",0,0,0,0,0,0,0,0,120,0,<>,<>,0,0,0,{drawcard=false;gain=false}
ID,符文名字,符文icon,符文套装id,符文品质,对应栏位,主属性属性序列类型：对应main_attr表中的seq,初始副属性条目数,初始副属性随机库id,后天副属性条目数上限,后天副属性随机库id,强化等级上限,强化消耗序列：对应strength_cost表第一行,后天副属性获得的对应等级,所有副属性强化的指定等级,所有副属性洗练随机库类型,洗炼消耗序列：对应recast_cost表第一行,作为材料提供强化经验值,分别表示在抽卡恭喜获得
,,,,,,,,,,,,,,,,,,
60121,Fire Dance,config/chip/icon_gj_1_1.png,1,2,1,1,1,20001,1,20001,,2,<10>,<5;15;20;30;40>,20001,1,75,
60122,Fire Dance,config/chip/icon_gj_1_1.png,1,2,2,2,1,20002,1,20002,,2,<10>,<5;15;20;30;40>,20002,1,75,
60123,Fire Dance,config/chip/icon_gj_1_1.png,1,2,3,3,1,20003,1,20003,,2,<10>,<5;15;20;30;40>,20003,1,75,
60124,Fire Dance,config/chip/icon_gj_1_1.png,1,2,4,4,1,20004,1,20004,,2,<10>,<5;15;20;30;40>,20004,1,75,
60125,Fire Dance,config/chip/icon_gj_1_1.png,1,2,5,5,1,20005,1,20005,,2,<10>,<5;15;20;30;40>,20005,1,75,
60126,Fire Dance,config/chip/icon_gj_1_1.png,1,2,6,6,1,20006,1,20006,,2,<10>,<5;15;20;30;40>,20006,1,75,
60131,Fire Dance,config/chip/icon_gj_1_2.png,1,3,1,7,1,30001,1,30001,,3,<10>,<5;15;20;30;40>,30001,2,150,
60132,Fire Dance,config/chip/icon_gj_1_2.png,1,3,2,8,1,30002,1,30002,,3,<10>,<5;15;20;30;40>,30002,2,150,
60133,Fire Dance,config/chip/icon_gj_1_2.png,1,3,3,9,1,30003,1,30003,,3,<10>,<5;15;20;30;40>,30003,2,150,
60134,Fire Dance,config/chip/icon_gj_1_2.png,1,3,4,10,1,30004,1,30004,,3,<10>,<5;15;20;30;40>,30004,2,150,
60135,Fire Dance,config/chip/icon_gj_1_2.png,1,3,5,11,1,30005,1,30005,,3,<10>,<5;15;20;30;40>,30005,2,150,
60136,Fire Dance,config/chip/icon_gj_1_2.png,1,3,6,12,1,30006,1,30006,,3,<10>,<5;15;20;30;40>,30006,2,150,
60141,Fire Dance,config/chip/icon_gj_1_3.png,1,4,1,13,2,40001,1,40001,,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60142,Fire Dance,config/chip/icon_gj_1_3.png,1,4,2,14,2,40002,1,40002,,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60143,Fire Dance,config/chip/icon_gj_1_3.png,1,4,3,15,2,40003,1,40003,,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60144,Fire Dance,config/chip/icon_gj_1_3.png,1,4,4,16,2,40004,1,40004,,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60145,Fire Dance,config/chip/icon_gj_1_3.png,1,4,5,17,2,40005,1,40005,,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60146,Fire Dance,config/chip/icon_gj_1_3.png,1,4,6,18,2,40006,1,40006,,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60151,Fire Dance,config/chip/icon_gj_1_4.png,1,5,1,19,2,50001,1,50001,,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60152,Fire Dance,config/chip/icon_gj_1_4.png,1,5,2,20,2,50002,1,50002,,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60153,Fire Dance,config/chip/icon_gj_1_4.png,1,5,3,21,2,50003,1,50003,,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60154,Fire Dance,config/chip/icon_gj_1_4.png,1,5,4,22,2,50004,1,50004,,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60155,Fire Dance,config/chip/icon_gj_1_4.png,1,5,5,23,2,50005,1,50005,,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60156,Fire Dance,config/chip/icon_gj_1_4.png,1,5,6,24,2,50006,1,50006,,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60161,Fire Dance,config/chip/icon_gj_1_5.png,1,6,1,25,2,60001,2,60001,,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60162,Fire Dance,config/chip/icon_gj_1_5.png,1,6,2,26,2,60002,2,60002,,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60163,Fire Dance,config/chip/icon_gj_1_5.png,1,6,3,27,2,60003,2,60003,,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60164,Fire Dance,config/chip/icon_gj_1_5.png,1,6,4,28,2,60004,2,60004,,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60165,Fire Dance,config/chip/icon_gj_1_5.png,1,6,5,29,2,60005,2,60005,,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60166,Fire Dance,config/chip/icon_gj_1_5.png,1,6,6,30,2,60006,2,60006,,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60221,Frog Thorn,config/chip/icon_gj_2_1.png,2,2,1,1,1,20001,1,20001,,2,<10>,<5;15;20;30;40>,20001,1,75,
60222,Frog Thorn,config/chip/icon_gj_2_1.png,2,2,2,2,1,20002,1,20002,,2,<10>,<5;15;20;30;40>,20002,1,75,
60223,Frog Thorn,config/chip/icon_gj_2_1.png,2,2,3,3,1,20003,1,20003,,2,<10>,<5;15;20;30;40>,20003,1,75,
60224,Frog Thorn,config/chip/icon_gj_2_1.png,2,2,4,4,1,20004,1,20004,,2,<10>,<5;15;20;30;40>,20004,1,75,
60225,Frog Thorn,config/chip/icon_gj_2_1.png,2,2,5,5,1,20005,1,20005,,2,<10>,<5;15;20;30;40>,20005,1,75,
60226,Frog Thorn,config/chip/icon_gj_2_1.png,2,2,6,6,1,20006,1,20006,,2,<10>,<5;15;20;30;40>,20006,1,75,
60231,Frog Thorn,config/chip/icon_gj_2_2.png,2,3,1,7,1,30001,1,30001,,3,<10>,<5;15;20;30;40>,30001,2,150,
60232,Frog Thorn,config/chip/icon_gj_2_2.png,2,3,2,8,1,30002,1,30002,,3,<10>,<5;15;20;30;40>,30002,2,150,
60233,Frog Thorn,config/chip/icon_gj_2_2.png,2,3,3,9,1,30003,1,30003,,3,<10>,<5;15;20;30;40>,30003,2,150,
60234,Frog Thorn,config/chip/icon_gj_2_2.png,2,3,4,10,1,30004,1,30004,,3,<10>,<5;15;20;30;40>,30004,2,150,
60235,Frog Thorn,config/chip/icon_gj_2_2.png,2,3,5,11,1,30005,1,30005,,3,<10>,<5;15;20;30;40>,30005,2,150,
60236,Frog Thorn,config/chip/icon_gj_2_2.png,2,3,6,12,1,30006,1,30006,,3,<10>,<5;15;20;30;40>,30006,2,150,
60241,Frog Thorn,config/chip/icon_gj_2_3.png,2,4,1,13,2,40001,1,40001,,4,<10>,<5;15;20;30;40;50>,40001,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60242,Frog Thorn,config/chip/icon_gj_2_3.png,2,4,2,14,2,40002,1,40002,,4,<10>,<5;15;20;30;40;50>,40002,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60243,Frog Thorn,config/chip/icon_gj_2_3.png,2,4,3,15,2,40003,1,40003,,4,<10>,<5;15;20;30;40;50>,40003,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60244,Frog Thorn,config/chip/icon_gj_2_3.png,2,4,4,16,2,40004,1,40004,,4,<10>,<5;15;20;30;40;50>,40004,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60245,Frog Thorn,config/chip/icon_gj_2_3.png,2,4,5,17,2,40005,1,40005,,4,<10>,<5;15;20;30;40;50>,40005,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60246,Frog Thorn,config/chip/icon_gj_2_3.png,2,4,6,18,2,40006,1,40006,,4,<10>,<5;15;20;30;40;50>,40006,3,300,{drawcard=zi_effect_loop;gain=zi_effect_loop}
60251,Frog Thorn,config/chip/icon_gj_2_4.png,2,5,1,19,2,50001,1,50001,,5,<10>,<5;15;20;30;40;50>,50001,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60252,Frog Thorn,config/chip/icon_gj_2_4.png,2,5,2,20,2,50002,1,50002,,5,<10>,<5;15;20;30;40;50>,50002,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60253,Frog Thorn,config/chip/icon_gj_2_4.png,2,5,3,21,2,50003,1,50003,,5,<10>,<5;15;20;30;40;50>,50003,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60254,Frog Thorn,config/chip/icon_gj_2_4.png,2,5,4,22,2,50004,1,50004,,5,<10>,<5;15;20;30;40;50>,50004,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60255,Frog Thorn,config/chip/icon_gj_2_4.png,2,5,5,23,2,50005,1,50005,,5,<10>,<5;15;20;30;40;50>,50005,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60256,Frog Thorn,config/chip/icon_gj_2_4.png,2,5,6,24,2,50006,1,50006,,5,<10>,<5;15;20;30;40;50>,50006,4,1500,{drawcard=huang_effect_loop;gain=huang_effect_loop}
60261,Frog Thorn,config/chip/icon_gj_2_5.png,2,6,1,25,2,60001,2,60001,,6,<10;30>,<5;15;20;30;40;50;60>,60001,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60262,Frog Thorn,config/chip/icon_gj_2_5.png,2,6,2,26,2,60002,2,60002,,6,<10;30>,<5;15;20;30;40;50;60>,60002,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60263,Frog Thorn,config/chip/icon_gj_2_5.png,2,6,3,27,2,60003,2,60003,,6,<10;30>,<5;15;20;30;40;50;60>,60003,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60264,Frog Thorn,config/chip/icon_gj_2_5.png,2,6,4,28,2,60004,2,60004,,6,<10;30>,<5;15;20;30;40;50;60>,60004,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60265,Frog Thorn,config/chip/icon_gj_2_5.png,2,6,5,29,2,60005,2,60005,,6,<10;30>,<5;15;20;30;40;50;60>,60005,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60266,Frog Thorn,config/chip/icon_gj_2_5.png,2,6,6,30,2,60006,2,60006,,6,<10;30>,<5;15;20;30;40;50;60>,60006,5,7500,{drawcard=hong_effect_loop;gain=hong_effect_loop}
60321,Lone Wolf,config/chip/icon_gj_3_1.png,3,2,1,1,1,20001,1,20001,,2,<10>,<5;15;20;30;40>,20001,1,75,
60322,Lone Wolf,config/chip/icon_gj_3_1.png,3,2,2,2,1,20002,1,20002,,2,<10>,<5;15;20;30;40>,20002,1,75,
60323,Lone Wolf,config/chip/icon_gj_3_1.png,3,2,3,3,1,20003,1,20003,,2,<10>,<5;15;20;30;40>,20003,1,75,
60324,Lone Wolf,config/chip/icon_gj_3_1.png,3,2,4,4,1,20004,1,20004,,2,<10>,<5;15;20;30;40>,20004,1,75,
60325,Lone Wolf,config/chip/icon_gj_3_1.png,3,2,5,5,1,20005,1,20005,,2,<10>,<5;15;20;30;40>,20005,1,75,
60326,Lone Wolf,config/chip/icon_gj_3_1.png,3,2,6,6,1,20006,1,20006,,2,<10>,<5;15;20;30;40>,20006,1,75,
