变量名,seq,level,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
默认值,0,0,0,"""""",0,"""""",0,""""""
ID,属性序列类型,等级,属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3
,,,,,,,,
1,1,1,1,2772,,,,
2,1,2,1,2816,,,,
3,1,3,1,2861,,,,
4,1,4,1,2905,,,,
5,1,5,1,2949,,,,
6,1,6,1,3008,,,,
7,1,7,1,3055,,,,
8,1,8,1,3102,,,,
9,1,9,1,3149,,,,
10,1,10,1,3196,,,,
11,1,11,1,3271,,,,
12,1,12,1,3321,,,,
13,1,13,1,3371,,,,
14,1,14,1,3421,,,,
15,1,15,1,3471,,,,
16,1,16,1,3562,,,,
17,1,17,1,3615,,,,
18,1,18,1,3667,,,,
19,1,19,1,3720,,,,
20,1,20,1,3773,,,,
21,1,21,1,3881,,,,
22,1,22,1,3936,,,,
23,1,23,1,3992,,,,
24,1,24,1,4047,,,,
25,1,25,1,4103,,,,
26,1,26,1,4227,,,,
27,1,27,1,4286,,,,
28,1,28,1,4344,,,,
29,1,29,1,4402,,,,
30,1,30,1,4460,,,,
31,1,31,1,4602,,,,
32,1,32,1,4663,,,,
33,1,33,1,4723,,,,
34,1,34,1,4784,,,,
35,1,35,1,4845,,,,
36,1,36,1,5003,,,,
37,1,37,1,5067,,,,
38,1,38,1,5131,,,,
39,1,39,1,5195,,,,
40,1,40,1,5258,,,,
41,1,41,1,5433,,,,
42,1,42,1,5500,,,,
43,1,43,1,5566,,,,
44,1,44,1,5633,,,,
45,1,45,1,5699,,,,
46,1,46,1,5891,,,,
47,1,47,1,5960,,,,
48,1,48,1,6029,,,,
49,1,49,1,6098,,,,
50,1,50,1,6168,,,,
51,1,51,1,6376,,,,
52,1,52,1,6448,,,,
53,1,53,1,6520,,,,
54,1,54,1,6592,,,,
55,1,55,1,6664,,,,
56,1,56,1,6888,,,,
57,1,57,1,6963,,,,
58,1,58,1,7038,,,,
59,1,59,1,7113,,,,
60,1,60,1,7188,,,,
61,1,61,1,7429,,,,
62,1,62,1,7507,,,,
63,1,63,1,7584,,,,
64,1,64,1,7662,,,,
65,1,65,1,7739,,,,
66,1,66,1,7997,,,,
67,1,67,1,8078,,,,
68,1,68,1,8158,,,,
69,1,69,1,8238,,,,
70,1,70,1,8319,,,,
71,1,71,1,8593,,,,
72,1,72,1,8676,,,,
73,1,73,1,8760,,,,
74,1,74,1,8843,,,,
75,1,75,1,8926,,,,
76,1,76,1,9217,,,,
77,1,77,1,9303,,,,
78,1,78,1,9389,,,,
79,1,79,1,9475,,,,
80,1,80,1,9561,,,,
81,1,81,1,9868,,,,
82,1,82,1,9957,,,,
83,1,83,1,10046,,,,
84,1,84,1,10134,,,,
85,1,85,1,10223,,,,
86,1,86,1,10547,,,,
87,1,87,1,10639,,,,
88,1,88,1,10730,,,,
89,1,89,1,10822,,,,
90,1,90,1,10913,,,,
91,1,91,1,11254,,,,
92,1,92,1,11349,,,,
93,1,93,1,11443,,,,
94,1,94,1,11537,,,,
95,1,95,1,11631,,,,
96,1,96,1,11989,,,,
97,1,97,1,12086,,,,
98,1,98,1,12183,,,,
99,1,99,1,12280,,,,
100,1,100,1,12377,,,,
101,2,1,7,550,8,550,,
102,2,2,7,559,8,559,,
103,2,3,7,568,8,568,,
104,2,4,7,576,8,576,,
105,2,5,7,585,8,585,,
106,2,6,7,597,8,597,,
107,2,7,7,606,8,606,,
108,2,8,7,615,8,615,,
109,2,9,7,625,8,625,,
110,2,10,7,634,8,634,,
111,2,11,7,649,8,649,,
112,2,12,7,659,8,659,,
113,2,13,7,669,8,669,,
114,2,14,7,679,8,679,,
115,2,15,7,689,8,689,,
116,2,16,7,707,8,707,,
117,2,17,7,717,8,717,,
118,2,18,7,728,8,728,,
119,2,19,7,738,8,738,,
120,2,20,7,749,8,749,,
121,2,21,7,770,8,770,,
122,2,22,7,781,8,781,,
123,2,23,7,792,8,792,,
124,2,24,7,803,8,803,,
125,2,25,7,814,8,814,,
126,2,26,7,839,8,839,,
127,2,27,7,850,8,850,,
128,2,28,7,862,8,862,,
129,2,29,7,873,8,873,,
130,2,30,7,885,8,885,,
131,2,31,7,913,8,913,,
132,2,32,7,925,8,925,,
133,2,33,7,937,8,937,,
134,2,34,7,949,8,949,,
135,2,35,7,961,8,961,,
136,2,36,7,993,8,993,,
137,2,37,7,1005,8,1005,,
138,2,38,7,1018,8,1018,,
139,2,39,7,1031,8,1031,,
140,2,40,7,1043,8,1043,,
141,2,41,7,1078,8,1078,,
142,2,42,7,1091,8,1091,,
143,2,43,7,1104,8,1104,,
144,2,44,7,1118,8,1118,,
145,2,45,7,1131,8,1131,,
146,2,46,7,1169,8,1169,,
147,2,47,7,1183,8,1183,,
148,2,48,7,1196,8,1196,,
149,2,49,7,1210,8,1210,,
150,2,50,7,1224,8,1224,,
151,2,51,7,1265,8,1265,,
152,2,52,7,1279,8,1279,,
153,2,53,7,1294,8,1294,,
154,2,54,7,1308,8,1308,,
155,2,55,7,1322,8,1322,,
156,2,56,7,1367,8,1367,,
157,2,57,7,1382,8,1382,,
158,2,58,7,1396,8,1396,,
159,2,59,7,1411,8,1411,,
160,2,60,7,1426,8,1426,,
161,2,61,7,1474,8,1474,,
162,2,62,7,1489,8,1489,,
163,2,63,7,1505,8,1505,,
164,2,64,7,1520,8,1520,,
165,2,65,7,1536,8,1536,,
166,2,66,7,1587,8,1587,,
167,2,67,7,1603,8,1603,,
168,2,68,7,1619,8,1619,,
169,2,69,7,1635,8,1635,,
170,2,70,7,1651,8,1651,,
171,2,71,7,1705,8,1705,,
172,2,72,7,1722,8,1722,,
173,2,73,7,1738,8,1738,,
174,2,74,7,1755,8,1755,,
175,2,75,7,1771,8,1771,,
176,2,76,7,1829,8,1829,,
177,2,77,7,1846,8,1846,,
178,2,78,7,1863,8,1863,,
179,2,79,7,1880,8,1880,,
180,2,80,7,1897,8,1897,,
181,2,81,7,1958,8,1958,,
182,2,82,7,1976,8,1976,,
183,2,83,7,1993,8,1993,,
184,2,84,7,2011,8,2011,,
185,2,85,7,2028,8,2028,,
186,2,86,7,2093,8,2093,,
187,2,87,7,2111,8,2111,,
188,2,88,7,2129,8,2129,,
189,2,89,7,2147,8,2147,,
190,2,90,7,2165,8,2165,,
191,2,91,7,2233,8,2233,,
192,2,92,7,2252,8,2252,,
193,2,93,7,2270,8,2270,,
194,2,94,7,2289,8,2289,,
195,2,95,7,2308,8,2308,,
196,2,96,7,2379,8,2379,,
197,2,97,7,2398,8,2398,,
198,2,98,7,2417,8,2417,,
199,2,99,7,2437,8,2437,,
200,2,100,7,2456,8,2456,,
201,3,1,9,385,10,385,,
202,3,2,9,391,10,391,,
203,3,3,9,397,10,397,,
204,3,4,9,403,10,403,,
205,3,5,9,410,10,410,,
206,3,6,9,418,10,418,,
207,3,7,9,424,10,424,,
208,3,8,9,431,10,431,,
209,3,9,9,437,10,437,,
210,3,10,9,444,10,444,,
211,3,11,9,454,10,454,,
212,3,12,9,461,10,461,,
213,3,13,9,468,10,468,,
214,3,14,9,475,10,475,,
215,3,15,9,482,10,482,,
216,3,16,9,495,10,495,,
217,3,17,9,502,10,502,,
218,3,18,9,509,10,509,,
219,3,19,9,517,10,517,,
220,3,20,9,524,10,524,,
221,3,21,9,539,10,539,,
222,3,22,9,547,10,547,,
223,3,23,9,554,10,554,,
224,3,24,9,562,10,562,,
225,3,25,9,570,10,570,,
226,3,26,9,587,10,587,,
227,3,27,9,595,10,595,,
228,3,28,9,603,10,603,,
229,3,29,9,611,10,611,,
230,3,30,9,619,10,619,,
231,3,31,9,639,10,639,,
232,3,32,9,648,10,648,,
233,3,33,9,656,10,656,,
234,3,34,9,665,10,665,,
235,3,35,9,673,10,673,,
236,3,36,9,695,10,695,,
237,3,37,9,704,10,704,,
238,3,38,9,713,10,713,,
239,3,39,9,721,10,721,,
240,3,40,9,730,10,730,,
241,3,41,9,755,10,755,,
242,3,42,9,764,10,764,,
243,3,43,9,773,10,773,,
244,3,44,9,782,10,782,,
245,3,45,9,792,10,792,,
246,3,46,9,818,10,818,,
247,3,47,9,828,10,828,,
248,3,48,9,837,10,837,,
249,3,49,9,847,10,847,,
250,3,50,9,857,10,857,,
251,3,51,9,886,10,886,,
252,3,52,9,896,10,896,,
253,3,53,9,906,10,906,,
254,3,54,9,916,10,916,,
255,3,55,9,926,10,926,,
256,3,56,9,957,10,957,,
257,3,57,9,967,10,967,,
258,3,58,9,978,10,978,,
259,3,59,9,988,10,988,,
260,3,60,9,998,10,998,,
261,3,61,9,1032,10,1032,,
262,3,62,9,1043,10,1043,,
263,3,63,9,1053,10,1053,,
264,3,64,9,1064,10,1064,,
265,3,65,9,1075,10,1075,,
266,3,66,9,1111,10,1111,,
267,3,67,9,1122,10,1122,,
268,3,68,9,1133,10,1133,,
269,3,69,9,1144,10,1144,,
270,3,70,9,1155,10,1155,,
271,3,71,9,1194,10,1194,,
272,3,72,9,1205,10,1205,,
273,3,73,9,1217,10,1217,,
274,3,74,9,1228,10,1228,,
275,3,75,9,1240,10,1240,,
276,3,76,9,1280,10,1280,,
277,3,77,9,1292,10,1292,,
278,3,78,9,1304,10,1304,,
279,3,79,9,1316,10,1316,,
280,3,80,9,1328,10,1328,,
281,3,81,9,1371,10,1371,,
282,3,82,9,1383,10,1383,,
283,3,83,9,1395,10,1395,,
284,3,84,9,1408,10,1408,,
285,3,85,9,1420,10,1420,,
286,3,86,9,1465,10,1465,,
287,3,87,9,1478,10,1478,,
288,3,88,9,1490,10,1490,,
289,3,89,9,1503,10,1503,,
290,3,90,9,1516,10,1516,,
291,3,91,9,1563,10,1563,,
292,3,92,9,1576,10,1576,,
293,3,93,9,1589,10,1589,,
294,3,94,9,1602,10,1602,,
295,3,95,9,1615,10,1615,,
296,3,96,9,1665,10,1665,,
297,3,97,9,1679,10,1679,,
298,3,98,9,1692,10,1692,,
299,3,99,9,1706,10,1706,,
300,3,100,9,1719,10,1719,,
301,4,1,1,1386,7,275,8,275
302,4,2,1,1408,7,280,8,280
303,4,3,1,1431,7,284,8,284
304,4,4,1,1453,7,288,8,288
305,4,5,1,1475,7,293,8,293
306,4,6,1,1504,7,299,8,299
307,4,7,1,1528,7,303,8,303
308,4,8,1,1551,7,308,8,308
309,4,9,1,1575,7,313,8,313
310,4,10,1,1598,7,317,8,317
311,4,11,1,1636,7,325,8,325
312,4,12,1,1661,7,330,8,330
313,4,13,1,1686,7,335,8,335
314,4,14,1,1711,7,340,8,340
315,4,15,1,1736,7,345,8,345
316,4,16,1,1781,7,354,8,354
317,4,17,1,1808,7,359,8,359
318,4,18,1,1834,7,364,8,364
319,4,19,1,1860,7,369,8,369
320,4,20,1,1887,7,375,8,375
321,4,21,1,1941,7,385,8,385
322,4,22,1,1968,7,391,8,391
323,4,23,1,1996,7,396,8,396
324,4,24,1,2024,7,402,8,402
325,4,25,1,2052,7,407,8,407
326,4,26,1,2114,7,420,8,420
327,4,27,1,2143,7,425,8,425
328,4,28,1,2172,7,431,8,431
329,4,29,1,2201,7,437,8,437
330,4,30,1,2230,7,443,8,443
331,4,31,1,2301,7,457,8,457
332,4,32,1,2332,7,463,8,463
333,4,33,1,2362,7,469,8,469
334,4,34,1,2392,7,475,8,475
335,4,35,1,2423,7,481,8,481
336,4,36,1,2502,7,497,8,497
337,4,37,1,2534,7,503,8,503
338,4,38,1,2566,7,509,8,509
339,4,39,1,2598,7,516,8,516
340,4,40,1,2629,7,522,8,522
341,4,41,1,2717,7,539,8,539
342,4,42,1,2750,7,546,8,546
343,4,43,1,2783,7,552,8,552
344,4,44,1,2817,7,559,8,559
345,4,45,1,2850,7,566,8,566
346,4,46,1,2946,7,585,8,585
347,4,47,1,2980,7,592,8,592
348,4,48,1,3015,7,598,8,598
349,4,49,1,3049,7,605,8,605
350,4,50,1,3084,7,612,8,612
351,4,51,1,3188,7,633,8,633
352,4,52,1,3224,7,640,8,640
353,4,53,1,3260,7,647,8,647
354,4,54,1,3296,7,654,8,654
355,4,55,1,3332,7,661,8,661
356,4,56,1,3444,7,684,8,684
357,4,57,1,3482,7,691,8,691
358,4,58,1,3519,7,698,8,698
359,4,59,1,3557,7,706,8,706
360,4,60,1,3594,7,713,8,713
361,4,61,1,3715,7,737,8,737
362,4,62,1,3754,7,745,8,745
363,4,63,1,3792,7,753,8,753
364,4,64,1,3831,7,760,8,760
365,4,65,1,3870,7,768,8,768
366,4,66,1,3999,7,794,8,794
367,4,67,1,4039,7,802,8,802
368,4,68,1,4079,7,810,8,810
369,4,69,1,4119,7,818,8,818
370,4,70,1,4160,7,826,8,826
371,4,71,1,4297,7,853,8,853
372,4,72,1,4338,7,861,8,861
373,4,73,1,4380,7,869,8,869
374,4,74,1,4422,7,878,8,878
375,4,75,1,4463,7,886,8,886
376,4,76,1,4609,7,915,8,915
377,4,77,1,4652,7,923,8,923
378,4,78,1,4695,7,932,8,932
379,4,79,1,4738,7,940,8,940
380,4,80,1,4781,7,949,8,949
381,4,81,1,4934,7,979,8,979
382,4,82,1,4979,7,988,8,988
383,4,83,1,5023,7,997,8,997
384,4,84,1,5067,7,1006,8,1006
385,4,85,1,5112,7,1014,8,1014
386,4,86,1,5274,7,1047,8,1047
387,4,87,1,5320,7,1056,8,1056
388,4,88,1,5365,7,1065,8,1065
389,4,89,1,5411,7,1074,8,1074
390,4,90,1,5457,7,1083,8,1083
391,4,91,1,5627,7,1117,8,1117
392,4,92,1,5675,7,1126,8,1126
393,4,93,1,5722,7,1135,8,1135
394,4,94,1,5769,7,1145,8,1145
395,4,95,1,5816,7,1154,8,1154
396,4,96,1,5995,7,1190,8,1190
397,4,97,1,6043,7,1199,8,1199
398,4,98,1,6092,7,1209,8,1209
399,4,99,1,6140,7,1219,8,1219
400,4,100,1,6189,7,1228,8,1228
401,5,1,9,385,10,385,,
402,5,2,9,391,10,391,,
403,5,3,9,397,10,397,,
404,5,4,9,403,10,403,,
405,5,5,9,410,10,410,,
406,5,6,9,418,10,418,,
407,5,7,9,424,10,424,,
408,5,8,9,431,10,431,,
409,5,9,9,437,10,437,,
410,5,10,9,444,10,444,,
411,5,11,9,454,10,454,,
412,5,12,9,461,10,461,,
413,5,13,9,468,10,468,,
414,5,14,9,475,10,475,,
415,5,15,9,482,10,482,,
416,5,16,9,495,10,495,,
417,5,17,9,502,10,502,,
418,5,18,9,509,10,509,,
419,5,19,9,517,10,517,,
420,5,20,9,524,10,524,,
421,5,21,9,539,10,539,,
422,5,22,9,547,10,547,,
423,5,23,9,554,10,554,,
424,5,24,9,562,10,562,,
425,5,25,9,570,10,570,,
426,5,26,9,587,10,587,,
427,5,27,9,595,10,595,,
428,5,28,9,603,10,603,,
429,5,29,9,611,10,611,,
430,5,30,9,619,10,619,,
431,5,31,9,639,10,639,,
432,5,32,9,648,10,648,,
433,5,33,9,656,10,656,,
434,5,34,9,665,10,665,,
435,5,35,9,673,10,673,,
436,5,36,9,695,10,695,,
437,5,37,9,704,10,704,,
438,5,38,9,713,10,713,,
439,5,39,9,721,10,721,,
440,5,40,9,730,10,730,,
441,5,41,9,755,10,755,,
442,5,42,9,764,10,764,,
443,5,43,9,773,10,773,,
444,5,44,9,782,10,782,,
445,5,45,9,792,10,792,,
446,5,46,9,818,10,818,,
447,5,47,9,828,10,828,,
448,5,48,9,837,10,837,,
449,5,49,9,847,10,847,,
450,5,50,9,857,10,857,,
451,5,51,9,886,10,886,,
452,5,52,9,896,10,896,,
453,5,53,9,906,10,906,,
454,5,54,9,916,10,916,,
455,5,55,9,926,10,926,,
456,5,56,9,957,10,957,,
457,5,57,9,967,10,967,,
458,5,58,9,978,10,978,,
459,5,59,9,988,10,988,,
460,5,60,9,998,10,998,,
461,5,61,9,1032,10,1032,,
462,5,62,9,1043,10,1043,,
463,5,63,9,1053,10,1053,,
464,5,64,9,1064,10,1064,,
465,5,65,9,1075,10,1075,,
466,5,66,9,1111,10,1111,,
467,5,67,9,1122,10,1122,,
468,5,68,9,1133,10,1133,,
469,5,69,9,1144,10,1144,,
470,5,70,9,1155,10,1155,,
471,5,71,9,1194,10,1194,,
472,5,72,9,1205,10,1205,,
473,5,73,9,1217,10,1217,,
474,5,74,9,1228,10,1228,,
475,5,75,9,1240,10,1240,,
476,5,76,9,1280,10,1280,,
477,5,77,9,1292,10,1292,,
478,5,78,9,1304,10,1304,,
479,5,79,9,1316,10,1316,,
480,5,80,9,1328,10,1328,,
481,5,81,9,1371,10,1371,,
482,5,82,9,1383,10,1383,,
483,5,83,9,1395,10,1395,,
484,5,84,9,1408,10,1408,,
485,5,85,9,1420,10,1420,,
486,5,86,9,1465,10,1465,,
487,5,87,9,1478,10,1478,,
488,5,88,9,1490,10,1490,,
489,5,89,9,1503,10,1503,,
490,5,90,9,1516,10,1516,,
491,5,91,9,1563,10,1563,,
492,5,92,9,1576,10,1576,,
493,5,93,9,1589,10,1589,,
494,5,94,9,1602,10,1602,,
495,5,95,9,1615,10,1615,,
496,5,96,9,1665,10,1665,,
497,5,97,9,1679,10,1679,,
498,5,98,9,1692,10,1692,,
499,5,99,9,1706,10,1706,,
500,5,100,9,1719,10,1719,,
501,6,1,1,1386,7,275,8,275
502,6,2,1,1408,7,280,8,280
503,6,3,1,1431,7,284,8,284
504,6,4,1,1453,7,288,8,288
505,6,5,1,1475,7,293,8,293
506,6,6,1,1504,7,299,8,299
507,6,7,1,1528,7,303,8,303
508,6,8,1,1551,7,308,8,308
509,6,9,1,1575,7,313,8,313
510,6,10,1,1598,7,317,8,317
511,6,11,1,1636,7,325,8,325
512,6,12,1,1661,7,330,8,330
513,6,13,1,1686,7,335,8,335
514,6,14,1,1711,7,340,8,340
515,6,15,1,1736,7,345,8,345
516,6,16,1,1781,7,354,8,354
517,6,17,1,1808,7,359,8,359
518,6,18,1,1834,7,364,8,364
519,6,19,1,1860,7,369,8,369
520,6,20,1,1887,7,375,8,375
521,6,21,1,1941,7,385,8,385
522,6,22,1,1968,7,391,8,391
523,6,23,1,1996,7,396,8,396
524,6,24,1,2024,7,402,8,402
525,6,25,1,2052,7,407,8,407
526,6,26,1,2114,7,420,8,420
527,6,27,1,2143,7,425,8,425
528,6,28,1,2172,7,431,8,431
529,6,29,1,2201,7,437,8,437
530,6,30,1,2230,7,443,8,443
531,6,31,1,2301,7,457,8,457
532,6,32,1,2332,7,463,8,463
533,6,33,1,2362,7,469,8,469
534,6,34,1,2392,7,475,8,475
535,6,35,1,2423,7,481,8,481
536,6,36,1,2502,7,497,8,497
537,6,37,1,2534,7,503,8,503
538,6,38,1,2566,7,509,8,509
539,6,39,1,2598,7,516,8,516
540,6,40,1,2629,7,522,8,522
541,6,41,1,2717,7,539,8,539
542,6,42,1,2750,7,546,8,546
543,6,43,1,2783,7,552,8,552
544,6,44,1,2817,7,559,8,559
545,6,45,1,2850,7,566,8,566
546,6,46,1,2946,7,585,8,585
547,6,47,1,2980,7,592,8,592
