变量名,levelExp5,levelExp3,levelExp1,levelExp6,levelExp2,levelExp4
默认值,0,0,0,0,0,0
ID,升级经验序列1,升级经验序列2,升级经验序列3,升级经验序列4,升级经验序列5,升级经验序列6
,,,,,,
1,77,34,25,113,25,50
2,77,34,25,113,25,50
3,153,68,45,225,45,99
4,153,68,45,225,45,99
5,230,101,70,338,70,149
6,230,101,70,338,70,149
7,306,135,90,450,90,198
8,306,135,90,450,90,198
9,383,169,115,563,115,248
10,459,203,135,675,135,297
11,536,236,160,788,160,347
12,612,270,180,900,180,396
13,689,304,205,1013,205,446
14,765,338,225,1125,225,495
15,842,371,250,1238,250,545
16,918,405,270,1350,270,594
17,995,439,295,1463,295,644
18,1071,473,315,1575,315,693
19,1148,506,340,1688,340,743
20,1224,540,360,1800,360,792
21,1301,574,385,1913,385,842
22,1301,574,385,1913,385,842
23,1316,581,385,1935,385,851
24,1316,581,385,1935,385,851
25,1331,587,390,1958,390,861
26,1331,587,390,1958,390,861
27,1346,594,395,1980,395,871
28,1346,594,395,1980,395,871
29,1362,601,400,2003,400,881
30,1362,601,400,2003,400,881
31,1377,608,405,2025,405,891
32,1377,608,405,2025,405,891
33,1392,614,410,2048,410,901
34,1392,614,410,2048,410,901
35,1408,621,415,2070,415,911
36,1408,621,415,2070,415,911
37,1423,628,420,2093,420,921
38,1423,628,420,2093,420,921
39,1438,635,425,2115,425,931
40,1438,635,425,2115,425,931
41,1454,641,430,2138,430,941
42,1454,641,430,2138,430,941
43,1469,648,430,2160,430,950
44,1469,648,430,2160,430,950
45,1484,655,435,2183,435,960
46,1484,655,435,2183,435,960
47,1499,662,440,2205,440,970
48,1499,662,440,2205,440,970
49,1515,668,445,2228,445,980
50,1515,668,445,2228,445,980
51,1530,675,450,2250,450,990
52,1530,675,450,2250,450,990
53,1561,689,460,2295,460,1010
54,1561,689,460,2295,460,1010
55,1591,702,470,2340,470,1030
56,1591,702,470,2340,470,1030
57,1622,716,475,2385,475,1049
58,1622,716,475,2385,475,1049
59,1652,729,485,2430,485,1069
60,1652,729,485,2430,485,1069
61,1683,743,495,2475,495,1089
62,1683,743,495,2475,495,1089
63,1714,756,505,2520,505,1109
64,1714,756,505,2520,505,1109
65,1744,770,515,2565,515,1129
66,1744,770,515,2565,515,1129
67,1775,783,520,2610,520,1148
68,1775,783,520,2610,520,1148
69,1805,797,530,2655,530,1168
70,1805,797,530,2655,530,1168
71,1836,810,540,2700,540,1188
72,1836,810,540,2700,540,1188
73,1913,844,565,2813,565,1238
74,1989,878,585,2925,585,1287
75,2066,911,610,3038,610,1337
76,2142,945,630,3150,630,1386
77,2295,1013,675,3375,675,1485
78,2448,1080,720,3600,720,1584
79,2601,1148,765,3825,765,1683
80,2754,1215,810,4050,810,1782
81,2907,1283,855,4275,855,1881
82,3060,1350,900,4500,900,1980
83,3213,1418,945,4725,945,2079
84,3366,1485,990,4950,990,2178
85,3519,1553,1035,5175,1035,2277
86,3672,1620,1080,5400,1080,2376
87,3825,1688,1125,5625,1125,2475
88,3978,1755,1170,5850,1170,2574
89,4131,1823,1215,6075,1215,2673
90,4284,1890,1260,6300,1260,2772
91,4437,1958,1305,6525,1305,2871
92,4590,2025,1350,6750,1350,2970
93,4743,2093,1395,6975,1395,3069
94,4896,2160,1440,7200,1440,3168
95,5049,2228,1485,7425,1485,3267
96,5202,2295,1530,7650,1530,3366
97,5355,2363,1575,7875,1575,3465
98,5508,2430,1620,8100,1620,3564
99,5661,2498,1665,8325,1665,3663
100,5814,2565,1710,8550,1710,3762
101,5891,2599,1735,8663,1735,3812
102,5967,2633,1755,8775,1755,3861
103,6044,2666,1780,8888,1780,3911
104,6120,2700,1800,9000,1800,3960
105,6197,2734,1825,9113,1825,4010
106,6273,2768,1845,9225,1845,4059
107,6350,2801,1870,9338,1870,4109
108,6426,2835,1890,9450,1890,4158
109,6503,2869,1915,9563,1915,4208
110,6579,2903,1935,9675,1935,4257
111,6656,2936,1960,9788,1960,4307
112,6732,2970,1980,9900,1980,4356
113,6809,3004,2005,10013,2005,4406
114,6885,3038,2025,10125,2025,4455
115,6962,3071,2050,10238,2050,4505
116,7038,3105,2070,10350,2070,4554
117,7115,3139,2095,10463,2095,4604
118,7191,3173,2115,10575,2115,4653
119,7268,3206,2140,10688,2140,4703
120,7344,3240,2160,10800,2160,4752
