±äÁ¿Ãû,suitID,suitName,suitName_tw,suitName_en,suitName_vn,suitName_kr,suitIcon,suitNum,suitQuality,skillID,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3
Ä¬ÈÏÖµ,0,"""""","""""","""""","""""","""""","""config/chip/suit/img_gj_1_00.png""",0,1,0,0,"""""",0,"""""",0,""""""
ID,Ì××°id,Ì××°Ãû×Ö,Ì××°Ãû×Ö,Ì××°Ãû×Ö,Ì××°Ãû×Ö,Ì××°Ãû×Ö,Ì××°icon,Ì××°É¢¼þÊýÁ¿,Ì××°Æ·ÖÊ,Ì××°Ð§¹û¼¼ÄÜ,Ì××°ÊôÐÔÀàÐÍ1,Ì××°ÊôÐÔÊýÖµ1,Ì××°ÊôÐÔÀàÐÍ2,Ì××°ÊôÐÔÊýÖµ2,Ì××°ÊôÐÔÀàÐÍ3,Ì××°ÊôÐÔÊýÖµ3
,,,,,,,,,,,,,,,,
1,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,2,,7,3%,8,3%,,
2,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,2,66001,,,,,,
3,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,3,,7,4%,8,4%,,
4,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,3,66002,,,,,,
5,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,4,,7,5%,8,5%,,
6,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,4,66003,,,,,,
7,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,2,5,,7,6%,8,6%,,
8,1,»ðÎè,»ðÎè,Fire Dance,404,404,config/chip/suit/img_gj_1_00.png,4,5,66004,,,,,,
