变量名,_beizhu,cardID,weight,weight2,CDTime,isForce,serverOpenDays,extraAward
默认值,"""""",0,0,0,0,0,0,{}
ID,名字备注,怪物ID,自然属性权重，对应 unit natureType,第二自然属性权重，对应 unit natureType,冷却时间,强制开关,开服天数,额外奖励
1,Bulbasaur,1,75,75,,,,{rmb=10;20001=1}
2,Ivysaur,2,75,75,,,,{rmb=10;20001=1}
3,Venusaur,3,75,75,,,,{rmb=10;20001=1}
4,Charmander,11,75,,,,,{rmb=10;20011=1}
5,Charmeleon,12,75,,,,,{rmb=10;20011=1}
6,Charizard,13,75,75,,,,{rmb=10;20011=1}
7,Squirtle,21,75,,,,,{rmb=10;20021=1}
8,Wartortle,22,75,,,,,{rmb=10;20021=1}
9,Blastoise,23,75,,,,,{rmb=10;20021=1}
10,Caterpie,31,75,,,,,{rmb=10;20031=1}
11,Butterfree,33,75,75,,,,{rmb=10;20031=1}
12,Beedrill,41,75,75,,,,{rmb=10;20041=1}
13,Pidgey,51,75,75,,,,{rmb=10;20051=1}
14,Pidgeotto,52,75,75,,,,{rmb=10;20051=1}
15,Pidgeot,53,75,75,,,,{rmb=10;20051=1}
16,Rattata,61,75,,,,,{rmb=10;20061=1}
17,Raticate,62,75,,,,,{rmb=10;20061=1}
18,Spearow,71,75,75,,,,{rmb=10;20071=1}
19,Fearow,72,75,75,,,,{rmb=10;20071=1}
20,Ekans,81,75,,,,,{rmb=10;20081=1}
21,Arbok,82,75,,,,,{rmb=10;20081=1}
22,Pichu,91,75,,,,,{rmb=10;20091=1}
23,Pikachu,92,75,,,,,{rmb=10;20091=1}
24,Raichu,93,75,,,,,{rmb=10;20091=1}
25,Sandshrew,101,75,,,,,{rmb=10;20101=1}
26,Sandslash,102,75,,,,,{rmb=10;20101=1}
27,Nidoran♀,111,75,,,,,{rmb=10;20111=1}
28,Nidorina,112,75,,,,,{rmb=10;20111=1}
29,Nidoqueen,113,75,75,,,,{rmb=10;20111=1}
30,Nidoran♂,121,75,,,,,{rmb=10;20121=1}
31,Nidorino,122,75,,,,,{rmb=10;20121=1}
32,Nidoking,123,75,75,,,,{rmb=10;20121=1}
33,Cleffa,131,75,,,,,{rmb=10;20131=1}
34,Clefairy,132,75,,,,,{rmb=10;20131=1}
35,Clefable,133,75,,,,,{rmb=10;20131=1}
36,Oddish,171,75,75,,,,{rmb=10;20171=1}
37,Gloom,172,75,75,,,,{rmb=10;20171=1}
38,Vileplume,173,75,75,,,,{rmb=10;20171=1}
39,Venonat,191,75,75,,,,{rmb=10;20191=1}
40,Venomoth,192,75,75,,,,{rmb=10;20191=1}
41,Mankey,231,75,,,,,{rmb=10;20231=1}
42,Primeape,232,75,,,,,{rmb=10;20231=1}
43,Abra,261,100,,,,,{rmb=10;20261=1}
44,Kadabra,262,100,,,,,{rmb=10;20261=1}
45,Alakazam,263,100,,,,,{rmb=10;20261=1}
46,Machop,271,100,,,,,{rmb=10;20271=1}
47,Machoke,272,100,,,,,{rmb=10;20271=1}
48,Machamp,273,100,,,,,{rmb=10;20271=1}
49,Bellsprout,281,100,100,,,,{rmb=10;20281=1}
50,Weepinbell,282,100,100,,,,{rmb=10;20281=1}
51,Victreebel,283,100,100,,,,{rmb=10;20281=1}
52,Geodude,301,100,100,,,,{rmb=10;20301=1}
53,Graveler,302,100,100,,,,{rmb=10;20301=1}
54,Magnemite,331,100,100,,,,{rmb=10;20331=1}
55,Magneton,332,100,100,,,,{rmb=10;20331=1}
56,Magnezone,333,100,100,,,,{rmb=10;20331=1}
57,Doduo,351,100,100,,,,{rmb=10;20351=1}
58,Dodrio,352,100,100,,,,{rmb=10;20351=1}
59,Grimer,371,100,,,,,{rmb=10;20371=1}
60,Muk,372,100,,,,,{rmb=10;20371=1}
61,Gastly,391,100,100,,,,{rmb=10;20391=1}
62,Haunter,392,100,100,,,,{rmb=10;20391=1}
63,Gengar,393,100,100,,,,{rmb=10;20391=1}
64,Cubone,451,100,,,,,{rmb=10;20451=1}
65,Marowak,452,100,,,,,{rmb=10;20451=1}
66,Tyrogue,461,100,,,,,{rmb=10;20461=1}
67,Hitmonlee,462,100,,,,,{rmb=10;20461=1}
68,Hitmonchan,463,100,,,,,{rmb=10;20461=1}
