变量名,fightPointRate,groupKey,buffValueRate,buffProbRate,attr,excludeBuffID,combatPowerLimit,combatPowerLimit_tw,combatPowerLimit_en,combatPowerLimit_kr
默认值,<>,"""""",1,0,{},<>,{},{},{},{}
ID,战力系数(左开右闭),buff组(映射formula_const表),value修正系数(乘法),prob修正(加法),属性修正(加法),特殊buff不做修正,战斗力限制(开关),战斗力限制(开关),战斗力限制(开关),战斗力限制(开关)
1,<1;0.9>,c.debuffs_gabuffs(),,,{block=0;strike=0},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
2,<0.9;0.8>,c.debuffs_gabuffs(),0.9,-0.02,{block=-800;finalDamageDeepen=1000;finalDamageReduce=1000;strike=-800},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
3,<0.8;0.7>,c.debuffs_gabuffs(),0.8,-0.03,{block=-1200;finalDamageDeepen=2000;finalDamageReduce=2000;strike=-1200},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
4,<0.7;0.6>,c.debuffs_gabuffs(),0.7,-0.05,{block=-2500;damageDeepen=2000;damageReduce=2000;finalDamageDeepen=2000;finalDamageReduce=2000;strike=-2500},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
5,<0.6;0.5>,c.debuffs_gabuffs(),0.6,-0.08,{block=-3500;damageDeepen=3500;damageReduce=3500;finalDamageDeepen=3500;finalDamageReduce=3500;strike=-3500},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
6,<0.5;0.4>,c.debuffs_gabuffs(),0.5,-0.1,{block=-5000;damageDeepen=5000;damageReduce=5000;finalDamageDeepen=5000;finalDamageReduce=5000;strike=-5000},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
7,<0.4;0.3>,c.debuffs_gabuffs(),0.4,-0.15,{block=-10000;damageDeepen=10000;damageReduce=10000;finalDamageDeepen=10000;finalDamageReduce=10000;strike=-10000},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
8,<0.3;0.2>,c.debuffs_gabuffs(),0.3,-0.2,{block=-10000;damageDeepen=10000;damageReduce=10000;finalDamageDeepen=10000;finalDamageReduce=10000;strike=-10000},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
9,<0.2;0.1>,c.debuffs_gabuffs(),0.2,-0.2,{block=-10000;damageDeepen=10000;damageReduce=10000;finalDamageDeepen=10000;finalDamageReduce=10000;strike=-10000},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
10,<0.1;0>,c.debuffs_gabuffs(),0.15,-0.2,{block=-10000;damageDeepen=10000;damageReduce=10000;finalDamageDeepen=10000;finalDamageReduce=10000;strike=-10000},,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
11,<1;0.9>,c.kongzhis(),,,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
12,<0.9;0.8>,c.kongzhis(),,-0.01,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
13,<0.8;0.7>,c.kongzhis(),,-0.015,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
14,<0.7;0.6>,c.kongzhis(),,-0.02,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
15,<0.6;0.5>,c.kongzhis(),,-0.025,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
16,<0.5;0.4>,c.kongzhis(),,-0.03,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
17,<0.4;0.3>,c.kongzhis(),,-0.035,,,{2=3000000;9=3000000;10=500000;13=2000000;14=500000;17=3000000;19=3000000;20=3000000;21=3000000;23=2000000;28=3000000;29=3000000;34=3000000;999999=3000000},,,
