变量名,targetArg2,targetType2,redPoint,exchangeTimes,targetDesc1,targetArg1,targetType1,contractCsvID,onlyShow,targetDesc3,targetArg3,targetType3,targetDesc2,pos,targetParam1,targetParam2,targetParam3,costItems,costContractMap,languages,__version
默认值,1,0,0,2,"""""",1,0,0,0,"""""",1,0,"""""",{y=0;x=0},{},{},{},{},{},<cn;tw;en;en_us;en_eu;kr>,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,__version
1002,,,,1,养成开启后，竞技场累计胜利100次,100,42,81403,,,,,,,,,,{coin1=48000;gold=2000000;rmb=500},{4=1},,
1004,,,,1,养成开启后，以太乐园累计通关10次,10,130,82403,,,,,,,,,,{coin2=48000;gold=2000000;rmb=500},{4=1},,
1006,,,,1,养成开启后，公会捐献50次,50,55,83404,,,,,,,,,,{coin3=24000;gold=2000000;rmb=500},{4=1},,
1101,,,,1,小火龙系列达到12星,,128,81401,,,,,,,{12=<11>},,,{502=10;coin5=3600;gold=2000000;rmb=300},{3=3},,
1102,,,,1,杰尼龟系列达到12星,,128,82402,,,,,,,{12=<21>},,,{502=10;coin5=3600;gold=2000000;rmb=300},{3=3},,
1103,,,,1,妙蛙种子系列达到12星,,128,83402,,,,,,,{12=<1>},,,{502=10;coin5=3600;gold=2000000;rmb=300},{3=3},,
1401,,,,1,拥有超级裂空座解锁,1982,13,81601,,,,,,,,,,{521=10;21981=30;gold=8000000;rmb=2000},{6=1},,
1402,,,,1,拥有原始固拉多解锁,1972,13,82603,,,,,,,,,,{521=10;21971=30;gold=8000000;rmb=2000},{6=1},,
1403,,,,1,拥有原始盖欧卡解锁,1962,13,83603,,,,,,,,,,{521=10;21961=30;gold=8000000;rmb=2000},{6=1},,
1501,,,,1,帕路奇亚达到12星解锁,,128,81602,,,,,,,{12=<2361>},,,{521=10;22361=30;gold=6000000;rmb=1500},{6=1},,
1502,,,,1,雷吉奇卡斯达到12星解锁,,128,81603,,,,,,,{12=<2381>},,,{521=10;22381=30;gold=6000000;rmb=1500},{6=1},,
1504,,,,1,美录坦达到12星解锁,,128,82601,,,,,,,{12=<4171>},,,{521=10;24171=30;gold=6000000;rmb=1500},{6=1},,
1505,,,,1,酋雷姆达到12星解锁,,128,82602,,,,,,,{12=<3241>},,,{521=10;23241=30;gold=6000000;rmb=1500},{6=1},,
1507,,,,1,谢米达到12星解锁,,128,83601,,,,,,,{12=<2441>},,,{521=10;22441=30;gold=6000000;rmb=1500},{6=1},,
1508,,,,1,达克莱伊达到12星解锁,,128,83602,,,,,,,{12=<2431>},,,{521=10;22431=30;gold=6000000;rmb=1500},{6=1},,
1509,,,,1,帝牙卢卡达到12星解锁,,128,81604,,,,,,,{12=<2351>},,,{521=10;22351=30;gold=6000000;rmb=1500},{6=1},,
1510,,,,1,玛夏多达到12星解锁,,128,81605,,,,,,,{12=<4121>},,,{521=10;24121=30;gold=6000000;rmb=1500},{6=1},,
1511,,,,1,骑拉帝纳达到12星解锁,,128,82604,,,,,,,{12=<2391>},,,{521=10;22391=30;gold=6000000;rmb=1500},{6=1},,
1512,,,,1,捷克罗姆达到12星解锁,,128,81606,,,,,,,{12=<3221>},,,{521=10;23221=30;gold=6000000;rmb=1500},{6=1},,
1513,,,,1,莱希拉姆达到12星解锁,,128,82605,,,,,,,{12=<3211>},,,{521=10;23211=30;gold=6000000;rmb=1500},{6=1},,
1514,,,,1,玛纳霏达到12星解锁,,128,83604,,,,,,,{12=<2421>},,,{521=10;22421=30;gold=6000000;rmb=1500},{6=1},,
1515,,,,1,美洛耶塔达到12星解锁,,128,81607,,,,,,,{12=<3261>},,,{521=10;23261=30;gold=6000000;rmb=1500},{6=1},,
1516,,,,1,盖诺赛克特达到12星解锁,,128,81608,,,,,,,{12=<3271>},,,{521=10;23271=30;gold=6000000;rmb=1500},{6=1},,
1517,,,,1,哲尔尼亚斯达到12星解锁,,128,83605,,,,,,,{12=<3601>},,,{521=10;23601=30;gold=6000000;rmb=1500},{6=1},,
1518,,,,1,超梦达到12星解锁,,128,81609,,,,,,,{12=<761>},,,{521=10;20761=30;gold=6000000;rmb=1500},{6=1},,
1519,,,,1,凤王达到12星解锁,,128,83606,,,,,,,{12=<1271>},,,{521=10;21271=30;gold=6000000;rmb=1500},{6=1},,
1520,,,,1,洛奇亚达到12星解锁,,128,83607,,,,,,,{12=<1261>},,,{521=10;21261=30;gold=6000000;rmb=1500},{6=1},,
1521,,,,1,比克提尼达到12星解锁,,128,81610,,,,,,,{12=<2461>},,,{521=10;22461=30;gold=6000000;rmb=1500},{6=1},,
1522,,,,1,时拉比达到12星解锁,,128,83608,,,,,,,{12=<1281>},,,{521=10;21281=30;gold=6000000;rmb=1500},{6=1},,
1523,,,,1,基拉祈达到12星解锁,,128,83609,,,,,,,{12=<1991>},,,{521=10;21991=30;gold=6000000;rmb=1500},{6=1},,
1524,,,,1,伊裴尔塔尔达到12星解锁,,128,81611,,,,,,,{12=<3611>},,,{521=10;23611=30;gold=6000000;rmb=1500},{6=1},,
1525,,,,1,基格尔德达到12星解锁,,128,82606,,,,,,,{12=<3621>},,,{521=10;23621=30;gold=6000000;rmb=1500},{6=1},,
1526,,,,1,蒂安希达到12星解锁,,128,83610,,,,,,,{12=<3631>},,,{521=10;23631=30;gold=6000000;rmb=1500},{6=1},,
1527,,,,1,惩戒胡帕达到12星解锁,,128,81612,,,,,,,{12=<3641>},,,{521=10;23641=30;gold=6000000;rmb=1500},{6=1},,
1528,,,,1,捷拉奥拉达到12星解锁,,128,81613,,,,,,,{12=<4161>},,,{521=10;24161=30;gold=6000000;rmb=1500},{6=1},,
1529,,,,1,小智版甲贺忍蛙达到12星解锁,,128,81614,,,,,,,{12=<7011>},,,{521=10;27011=30;gold=6000000;rmb=1500},{6=1},,
1530,,,,1,波尔凯尼恩达到12星解锁,,128,81615,,,,,,,{12=<3651>},,,{521=10;23651=30;gold=6000000;rmb=1500},{6=1},,
1531,,,,1,玛机雅娜达到12星解锁,,128,83611,,,,,,,{12=<4111>},,,{521=10;24111=30;gold=6000000;rmb=1500},{6=1},,
1532,,,,1,艾岚超级喷火龙x达到12星解锁,,128,81616,,,,,,,{12=<7121>},,,{521=10;27121=30;gold=6000000;rmb=1500},{6=1},,
1533,,,,1,奈克洛兹玛达到12星解锁,,128,81617,,,,,,,{12=<4101>},,,{521=10;24101=30;gold=6000000;rmb=1500},{6=1},<cn;kr;tw;en_us>,
1534,,,,1,索尔迦雷欧达到12星解锁,,128,82607,,,,,,,{12=<4023>},,,{521=10;24023=30;gold=6000000;rmb=1500},{6=1},<cn;kr;tw;en_us>,
1535,,,,1,露奈雅拉达到12星解锁,,128,83612,,,,,,,{12=<4024>},,,{521=10;24024=30;gold=6000000;rmb=1500},{6=1},<cn;kr;tw;en_us>,
1536,,,1,1,苍响达到12星解锁,,128,81618,,,,,,,{12=<4591>},,,{521=10;24591=30;gold=6000000;rmb=1500},{6=1},<cn;kr;tw;en_us>,
1537,,,1,1,藏玛然特达到12星解锁,,128,82608,,,,,,,{12=<4601>},,,{521=10;24601=30;gold=6000000;rmb=1500},{6=1},<cn;kr;tw;en_us>,
1538,,,1,1,萨戮德达到12星解锁,,128,83613,,,,,,,{12=<4631>},,,{521=10;24631=30;gold=6000000;rmb=1500},{6=1},<cn;kr;tw;en_us>,
