变量名,damageReduce,damageDeepen,ultimateSub,ultimateAdd,damageSub,damageAdd,damageDodge,damageHit,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,speed,specialDefenceIgnore,defenceIgnore,specialDefence,defence,specialDamage,damage,hp,advance,quality,pvpDamageSub,pvpDamageAdd,finalDamageSub,finalDamageAdd,immuneControl,controlPer,natureRestraint,cure,rebound,suckBlood,__version
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,__version
1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,0,0,64,64,145,145,804,1,1,7,7,7,7,7,7,7,7,7,7,
2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4,0,0,128,128,287,287,1596,2,1,13,13,13,13,13,13,13,13,13,13,
3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,6,0,0,202,202,454,454,2520,3,1,21,21,21,21,21,21,21,21,21,21,
4,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9,0,0,288,288,648,648,3600,4,1,30,30,30,30,30,30,30,30,30,30,
5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,12,0,0,384,384,864,864,4800,5,1,40,40,40,40,40,40,40,40,40,40,
6,51,51,51,51,51,51,51,51,51,51,51,51,51,51,15,0,0,490,490,1102,1102,6120,6,1,51,51,51,51,51,51,51,51,51,51,
7,63,63,63,63,63,63,63,63,63,63,63,63,63,63,19,0,0,605,605,1361,1361,7560,7,1,63,63,63,63,63,63,63,63,63,63,
8,75,75,75,75,75,75,75,75,75,75,75,75,75,75,23,0,0,720,720,1620,1620,9000,8,1,75,75,75,75,75,75,75,75,75,75,
9,89,89,89,89,89,89,89,89,89,89,89,89,89,89,27,0,0,854,854,1922,1922,10680,9,1,89,89,89,89,89,89,89,89,89,89,
10,104,104,104,104,104,104,104,104,104,104,104,104,104,104,31,0,0,998,998,2246,2246,12480,10,1,104,104,104,104,104,104,104,104,104,104,
101,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,,,64,64,145,145,804,1,2,7,7,7,7,7,7,7,7,7,7,
102,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4,,,128,128,287,287,1596,2,2,13,13,13,13,13,13,13,13,13,13,
103,21,21,21,21,21,21,21,21,21,21,21,21,21,21,6,,,202,202,454,454,2520,3,2,21,21,21,21,21,21,21,21,21,21,
104,30,30,30,30,30,30,30,30,30,30,30,30,30,30,9,,,288,288,648,648,3600,4,2,30,30,30,30,30,30,30,30,30,30,
105,40,40,40,40,40,40,40,40,40,40,40,40,40,40,12,,,384,384,864,864,4800,5,2,40,40,40,40,40,40,40,40,40,40,
106,51,51,51,51,51,51,51,51,51,51,51,51,51,51,15,,,490,490,1102,1102,6120,6,2,51,51,51,51,51,51,51,51,51,51,
107,63,63,63,63,63,63,63,63,63,63,63,63,63,63,19,,,605,605,1361,1361,7560,7,2,63,63,63,63,63,63,63,63,63,63,
108,75,75,75,75,75,75,75,75,75,75,75,75,75,75,23,,,720,720,1620,1620,9000,8,2,75,75,75,75,75,75,75,75,75,75,
109,89,89,89,89,89,89,89,89,89,89,89,89,89,89,27,,,854,854,1922,1922,10680,9,2,89,89,89,89,89,89,89,89,89,89,
