变量名,advance,seq,costSelfNum,costItemMap,costContractMap,__version
默认值,1,1,0,{},{},
ID,默认值,默认值,默认值,默认值,默认值,__version
1,,2,,{gold=100000},{2=2},
2,2,2,,{gold=160000},{2=3},
3,3,2,,{gold=240000},{2=5},
4,4,2,,{gold=360000},{2=10},
5,5,2,,{gold=500000},{2=10},
6,6,2,,{gold=660000},{2=10},
7,7,2,,{gold=840000},{2=10},
8,8,2,,{gold=1040000},{2=10},
9,9,2,,{gold=1260000},{2=10},
10,10,2,,{gold=1500000},{2=10},
101,,3,,{gold=200000},{2=2;3=2},
102,2,3,,{gold=320000},{2=3;3=2},
103,3,3,,{gold=480000},{2=5;3=3},
104,4,3,,{gold=720000},{2=10;3=10},
105,5,3,,{gold=1000000},{2=10;3=10},
106,6,3,,{gold=1320000},{2=10;3=10},
107,7,3,,{gold=1680000},{2=10;3=10},
108,8,3,,{gold=2080000},{2=10;3=10},
109,9,3,,{gold=2520000},{2=10;3=10},
110,10,3,,{gold=3000000},{2=10;3=10},
201,,4,,{gold=400000},{3=2;4=1},
202,2,4,,{gold=640000},{3=2;4=2},
203,3,4,,{gold=960000},{3=3;4=2},
204,4,4,,{gold=1440000},{3=5;4=3},
205,5,4,,{gold=2000000},{3=10;4=10},
206,6,4,,{gold=2640000},{3=10;4=10},
207,7,4,,{gold=3360000},{3=10;4=10},
208,8,4,,{gold=4160000},{3=10;4=10},
209,9,4,,{gold=5040000},{3=10;4=10},
210,10,4,,{gold=6000000},{3=10;4=10},
301,,5,,{gold=700000},{4=1;5=1},
302,2,5,,{gold=1120000},{4=2;5=1},
303,3,5,,{gold=1680000},{4=2;5=2},
304,4,5,,{gold=2520000},{4=3;5=2},
305,5,5,,{gold=3500000},{4=4;5=3},
306,6,5,,{gold=4620000},{4=10;5=10},
307,7,5,,{gold=5880000},{4=10;5=10},
308,8,5,,{gold=7280000},{4=10;5=10},
309,9,5,,{gold=8820000},{4=10;5=10},
310,10,5,,{gold=10500000},{4=10;5=10},
401,,6,,{gold=1200000},{4=2;5=1;6=1},
402,2,6,,{gold=1920000},{4=2;5=1;6=1},
403,3,6,,{gold=2880000},{4=3;5=2;6=1},
404,4,6,,{gold=4320000},{4=4;5=2;6=2},
405,5,6,,{gold=6000000},{4=5;5=3;6=2},
406,6,6,,{gold=7920000},{4=10;5=10;6=8},
407,7,6,,{gold=10080000},{4=10;5=10;6=10},
408,8,6,,{gold=12480000},{4=10;5=10;6=12},
409,9,6,,{gold=15120000},{4=10;5=10;6=14},
410,10,6,,{gold=18000000},{4=10;5=10;6=16},
