变量名,quality,attrNum2,effectID,attrNum3,attrType1,attrType2,attrType3,attrNum1,level
默认值,0,"""""",1,"""""",0,0,0,"""""",0
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值
1,1,,,,1,,,2772,1
2,1,,,,1,,,2816,2
3,1,,,,1,,,2861,3
4,1,,,,1,,,2905,4
5,1,,,,1,,,2949,5
6,1,,,,1,,,3008,6
7,1,,,,1,,,3055,7
8,1,,,,1,,,3102,8
9,1,,,,1,,,3149,9
10,1,,,,1,,,3196,10
11,1,,,,1,,,3271,11
12,1,,,,1,,,3321,12
13,1,,,,1,,,3371,13
14,1,,,,1,,,3421,14
15,1,,,,1,,,3471,15
16,1,,,,1,,,3562,16
17,1,,,,1,,,3615,17
18,1,,,,1,,,3667,18
19,1,,,,1,,,3720,19
20,1,,,,1,,,3773,20
101,2,550,,,7,8,,550,1
102,2,559,,,7,8,,559,2
103,2,568,,,7,8,,568,3
104,2,576,,,7,8,,576,4
105,2,585,,,7,8,,585,5
106,2,597,,,7,8,,597,6
107,2,606,,,7,8,,606,7
108,2,615,,,7,8,,615,8
109,2,625,,,7,8,,625,9
110,2,634,,,7,8,,634,10
111,2,649,,,7,8,,649,11
112,2,659,,,7,8,,659,12
113,2,669,,,7,8,,669,13
114,2,679,,,7,8,,679,14
115,2,689,,,7,8,,689,15
116,2,707,,,7,8,,707,16
117,2,717,,,7,8,,717,17
118,2,728,,,7,8,,728,18
119,2,738,,,7,8,,738,19
120,2,749,,,7,8,,749,20
201,3,385,,,9,10,,385,1
202,3,391,,,9,10,,391,2
203,3,397,,,9,10,,397,3
204,3,403,,,9,10,,403,4
205,3,410,,,9,10,,410,5
206,3,418,,,9,10,,418,6
207,3,424,,,9,10,,424,7
208,3,431,,,9,10,,431,8
209,3,437,,,9,10,,437,9
210,3,444,,,9,10,,444,10
211,3,454,,,9,10,,454,11
212,3,461,,,9,10,,461,12
213,3,468,,,9,10,,468,13
214,3,475,,,9,10,,475,14
215,3,482,,,9,10,,482,15
216,3,495,,,9,10,,495,16
217,3,502,,,9,10,,502,17
218,3,509,,,9,10,,509,18
219,3,517,,,9,10,,517,19
220,3,524,,,9,10,,524,20
301,4,275,,275,1,7,8,1386,1
302,4,280,,280,1,7,8,1408,2
303,4,284,,284,1,7,8,1431,3
304,4,288,,288,1,7,8,1453,4
305,4,293,,293,1,7,8,1475,5
306,4,299,,299,1,7,8,1504,6
307,4,303,,303,1,7,8,1528,7
308,4,308,,308,1,7,8,1551,8
309,4,313,,313,1,7,8,1575,9
310,4,317,,317,1,7,8,1598,10
311,4,325,,325,1,7,8,1636,11
312,4,330,,330,1,7,8,1661,12
313,4,335,,335,1,7,8,1686,13
314,4,340,,340,1,7,8,1711,14
315,4,345,,345,1,7,8,1736,15
316,4,354,,354,1,7,8,1781,16
317,4,359,,359,1,7,8,1808,17
318,4,364,,364,1,7,8,1834,18
319,4,369,,369,1,7,8,1860,19
320,4,375,,375,1,7,8,1887,20
401,5,385,,,9,10,,385,1
402,5,391,,,9,10,,391,2
403,5,397,,,9,10,,397,3
404,5,403,,,9,10,,403,4
405,5,410,,,9,10,,410,5
406,5,418,,,9,10,,418,6
407,5,424,,,9,10,,424,7
408,5,431,,,9,10,,431,8
409,5,437,,,9,10,,437,9
410,5,444,,,9,10,,444,10
411,5,454,,,9,10,,454,11
412,5,461,,,9,10,,461,12
413,5,468,,,9,10,,468,13
414,5,475,,,9,10,,475,14
415,5,482,,,9,10,,482,15
416,5,495,,,9,10,,495,16
417,5,502,,,9,10,,502,17
418,5,509,,,9,10,,509,18
419,5,517,,,9,10,,517,19
420,5,524,,,9,10,,524,20
501,6,275,,275,1,7,8,1386,1
502,6,280,,280,1,7,8,1408,2
503,6,284,,284,1,7,8,1431,3
504,6,288,,288,1,7,8,1453,4
505,6,293,,293,1,7,8,1475,5
506,6,299,,299,1,7,8,1504,6
507,6,303,,303,1,7,8,1528,7
508,6,308,,308,1,7,8,1551,8
509,6,313,,313,1,7,8,1575,9
510,6,317,,317,1,7,8,1598,10
511,6,325,,325,1,7,8,1636,11
512,6,330,,330,1,7,8,1661,12
513,6,335,,335,1,7,8,1686,13
514,6,340,,340,1,7,8,1711,14
515,6,345,,345,1,7,8,1736,15
516,6,354,,354,1,7,8,1781,16
517,6,359,,359,1,7,8,1808,17
518,6,364,,364,1,7,8,1834,18
519,6,369,,369,1,7,8,1860,19
520,6,375,,375,1,7,8,1887,20
