变量名,damageAdd,damageDodge,damageHit,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,speed,specialDefenceIgnore,defenceIgnore,specialDefence,specialDamage,damage,hp,level,quality,defence,pvpDamageSub,pvpDamageAdd,finalDamageReduce,finalDamageDeepen,finalDamageSub,finalDamageAdd,immuneControl,controlPer,natureRestraint,cure,rebound,suckBlood,damageReduce,damageDeepen,ultimateSub,ultimateAdd,damageSub,__version
默认值,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
ID,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,默认值,__version
1,24,24,24,24,24,24,24,24,24,10,0,0,115,274,274,1440,1,1,115,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,
2,25,25,25,25,25,25,25,25,25,12,0,0,138,329,329,1728,2,1,138,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,
3,26,26,26,26,26,26,26,26,26,14,0,0,161,384,384,2016,3,1,161,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
4,28,28,28,28,28,28,28,28,28,16,0,0,184,438,438,2304,4,1,184,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,
5,29,29,29,29,29,29,29,29,29,18,0,0,207,493,493,2592,5,1,207,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,
6,30,30,30,30,30,30,30,30,30,20,0,0,230,548,548,2880,6,1,230,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
7,31,31,31,31,31,31,31,31,31,22,0,0,253,603,603,3168,7,1,253,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,
8,32,32,32,32,32,32,32,32,32,24,0,0,276,658,658,3456,8,1,276,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,
9,34,34,34,34,34,34,34,34,34,26,0,0,299,712,712,3744,9,1,299,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
10,35,35,35,35,35,35,35,35,35,28,0,0,322,767,767,4032,10,1,322,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
11,36,36,36,36,36,36,36,36,36,30,0,0,345,822,822,4320,11,1,345,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,
12,37,37,37,37,37,37,37,37,37,32,0,0,368,877,877,4608,12,1,368,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,
13,38,38,38,38,38,38,38,38,38,34,0,0,391,932,932,4896,13,1,391,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,
14,40,40,40,40,40,40,40,40,40,36,0,0,414,986,986,5184,14,1,414,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
15,41,41,41,41,41,41,41,41,41,38,0,0,437,1041,1041,5472,15,1,437,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,
16,42,42,42,42,42,42,42,42,42,40,0,0,460,1096,1096,5760,16,1,460,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,
17,43,43,43,43,43,43,43,43,43,42,0,0,483,1151,1151,6048,17,1,483,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,
18,44,44,44,44,44,44,44,44,44,44,0,0,506,1206,1206,6336,18,1,506,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,
19,46,46,46,46,46,46,46,46,46,46,0,0,529,1260,1260,6624,19,1,529,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,
20,47,47,47,47,47,47,47,47,47,48,0,0,552,1315,1315,6912,20,1,552,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,
21,48,48,48,48,48,48,48,48,48,50,0,0,575,1370,1370,7200,21,1,575,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,
22,49,49,49,49,49,49,49,49,49,52,0,0,598,1425,1425,7488,22,1,598,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,
