变量名,unlockType,fieldType,fieldID,planID,conditionArg,cost,__version
默认值,0,1,1,1,1,{},
ID,默认值,默认值,默认值,默认值,默认值,默认值,__version
1,,,,,,{gold=2000;rmb=10},
2,1,2,2,,50,,
3,2,3,3,,8,{gold=2000;rmb=10},
4,,3,,2,,,
5,,3,2,2,,{gold=2000;rmb=10},
6,1,2,3,2,50,,
7,3,,4,2,4,{gold=2000;rmb=10},
8,,,,3,,,
9,,2,2,3,,{gold=2000;rmb=10},
10,1,2,3,3,50,,
11,3,3,4,3,4,{gold=2000;rmb=10},
12,1,,5,3,80,{gold=2000;rmb=10},
13,,,,4,,,
14,,2,2,4,,,
15,,,3,4,,{gold=2000;rmb=10},
16,4,3,4,4,500,,
17,2,3,5,4,7,{gold=2000;rmb=10},
18,1,2,6,4,90,{gold=2000;rmb=10},
211,,4,,210,,{gold=100000},
212,2,4,2,210,6,{gold=300000;rmb=50},
213,2,,3,210,9,{gold=500000;rmb=200},
221,,4,,220,,{gold=100000},
222,2,4,2,220,6,{gold=300000;rmb=50},
223,2,2,3,220,9,{gold=500000;rmb=200},
231,,4,,230,,{gold=100000},
232,2,4,2,230,6,{gold=300000;rmb=50},
233,2,3,3,230,9,{gold=500000;rmb=200},
311,,4,,310,,{gold=100000},
312,2,4,2,310,6,{gold=300000;rmb=50},
313,2,,3,310,9,{gold=500000;rmb=200},
321,,4,,320,,{gold=100000},
322,2,4,2,320,6,{gold=300000;rmb=50},
323,2,2,3,320,9,{gold=500000;rmb=200},
331,,4,,330,,{gold=100000},
332,2,4,2,330,6,{gold=300000;rmb=50},
333,2,3,3,330,9,{gold=500000;rmb=200},
411,,4,,410,,{gold=100000},
412,2,4,2,410,6,{gold=300000;rmb=50},
413,2,,3,410,9,{gold=500000;rmb=200},
414,3,3,4,410,12,{gold=1000000;rmb=400},
421,,4,,420,,{gold=100000},
422,2,4,2,420,6,{gold=300000;rmb=50},
423,2,2,3,420,9,{gold=500000;rmb=200},
424,3,3,4,420,12,{gold=1000000;rmb=400},
431,,4,,430,,{gold=100000},
432,2,4,2,430,6,{gold=300000;rmb=50},
433,2,3,3,430,9,{gold=500000;rmb=200},
434,3,2,4,430,12,{gold=1000000;rmb=400},
441,,4,,440,,{gold=100000},
442,2,4,2,440,6,{gold=300000;rmb=50},
443,2,3,3,440,9,{gold=500000;rmb=200},
444,3,,4,440,12,{gold=1000000;rmb=400},
511,,4,,510,,{gold=100000},
512,2,4,2,510,6,{gold=300000;rmb=50},
513,2,,3,510,9,{gold=500000;rmb=200},
514,3,3,4,510,12,{gold=1000000;rmb=400},
515,4,,5,510,208,{gold=2000000;rmb=700},
521,,4,,520,,{gold=100000},
522,2,4,2,520,6,{gold=300000;rmb=50},
523,2,2,3,520,9,{gold=500000;rmb=200},
524,3,3,4,520,12,{gold=1000000;rmb=400},
525,4,2,5,520,208,{gold=2000000;rmb=700},
531,,4,,530,,{gold=100000},
532,2,4,2,530,6,{gold=300000;rmb=50},
533,2,3,3,530,9,{gold=500000;rmb=200},
534,3,2,4,530,12,{gold=1000000;rmb=400},
535,4,3,5,530,208,{gold=2000000;rmb=700},
541,,4,,540,,{gold=100000},
542,2,4,2,540,6,{gold=300000;rmb=50},
543,2,3,3,540,9,{gold=500000;rmb=200},
544,3,,4,540,12,{gold=1000000;rmb=400},
545,4,2,5,540,208,{gold=2000000;rmb=700},
611,,4,,610,,{gold=100000},
612,2,4,2,610,6,{gold=300000;rmb=50},
613,2,,3,610,9,{gold=500000;rmb=200},
614,3,3,4,610,12,{gold=1000000;rmb=400},
615,4,,5,610,208,{gold=2000000;rmb=700},
616,4,4,6,610,408,{gold=3000000;rmb=1000},
621,,4,,620,,{gold=100000},
622,2,4,2,620,6,{gold=300000;rmb=50},
623,2,2,3,620,9,{gold=500000;rmb=200},
624,3,3,4,620,12,{gold=1000000;rmb=400},
625,4,2,5,620,208,{gold=2000000;rmb=700},
626,4,4,6,620,408,{gold=3000000;rmb=1000},
631,,4,,630,,{gold=100000},
632,2,4,2,630,6,{gold=300000;rmb=50},
633,2,3,3,630,9,{gold=500000;rmb=200},
634,3,2,4,630,12,{gold=1000000;rmb=400},
635,4,3,5,630,208,{gold=2000000;rmb=700},
636,4,4,6,630,408,{gold=3000000;rmb=1000},
641,,4,,640,,{gold=100000},
642,2,4,2,640,6,{gold=300000;rmb=50},
643,2,3,3,640,9,{gold=500000;rmb=200},
644,3,,4,640,12,{gold=1000000;rmb=400},
645,4,2,5,640,208,{gold=2000000;rmb=700},
646,4,4,6,640,408,{gold=3000000;rmb=1000},
