变量名,service,_comment,seqParam,mapParam
默认值,,,<>,{}
ID,服务名,注释,序列参数,字典参数
1,pvpshop_refresh_cost,,<20;30;50;50;80;80;100>,
2,pvppw_buy_cost,,<10;15;20;30;40;55;70;85;100>,
3,stamina_buy_cost,,<50;50;100;100;100;100;200;200;200;400;400;800;800;1000;1200;1500;2000>,
4,herogate_buy_cost,,<30;100;150;200;300>,
5,pvppw_cd_buy_cost,,<10;10;20>,
6,lianjin_cost,,<0;0;0;10;10;20;20;20;30;30;30;30;30;40;40;40;40;40;50;50;50;50;50;60;60;60;60;60;60;60;60;60;60;70;70;70;70;70;70;70;70;70;70;80;80;80;80;80;80;80;80;80;80;90;90;90;90;90;90;90;90;90;90;100;100;100;100;100;100;100;100;100;100;110;110;110;110;110;110;110;110;110;110;120;120;120;120;120;120;120;120;120;120;130;130;130;130;130;130;130;130;130;130;140;140;140;140;140;140;140;140;140;140;150;150;150;150;150;150;150;150;150;150;160;160;160;160;160;160;160;160;160;160;170;170;170;170;170;170;170;170;170;170;180;180;180;180;180;180;180;180;180;180;190;190;190;190;190;190;190;190;190;190;200>,
7,lianjin_gold_rate,,<1;1.005;1.01;1.015;1.02;1.025;1.03;1.035;1.04;1.045;1.05;1.055;1.06;1.065;1.07;1.075;1.08;1.085;1.09;1.095;1.1;1.105;1.11;1.115;1.12;1.125;1.13;1.135;1.14;1.145;1.15;1.155;1.16;1.165;1.17;1.175;1.18;1.185;1.19;1.195;1.2;1.205;1.21;1.215;1.22;1.225;1.23;1.235;1.24;1.245;1.25;1.255;1.26;1.265;1.27;1.275;1.28;1.285;1.29;1.295;1.3;1.305;1.31;1.315;1.32;1.325;1.33;1.335;1.34;1.345;1.35;1.355;1.36;1.365;1.37;1.375;1.38;1.385;1.39;1.395;1.4;1.405;1.41;1.415;1.42;1.425;1.43;1.435;1.44;1.445;1.45;1.455;1.46;1.465;1.47;1.475;1.48;1.485;1.49;1.495;1.5;1.505;1.51;1.515;1.52;1.525;1.53;1.535;1.54;1.545;1.55;1.555;1.56;1.565;1.57;1.575;1.58;1.585;1.59;1.595;1.6;1.605;1.61;1.615;1.62;1.625;1.63;1.635;1.64;1.645;1.65;1.655;1.66;1.665;1.67;1.675;1.68;1.685;1.69;1.695;1.7;1.705;1.71;1.715;1.72;1.725;1.73;1.735;1.74;1.745;1.75;1.755;1.76;1.765;1.77;1.775;1.78;1.785;1.79;1.795>,
8,fixshop_refresh_cost,,<20;30;50;50;80;80;100>,
9,unionshop_refresh_cost,,<20;30;50;50;80;80;100>,
10,skill_point_buy_cost,,<20;20;20;30;30;30;50;50;50;100>,
11,pvp_enermys_fresh_cost,,<0;0;0;0;0;1;1;1;1;1;2;2;2;2;2;5;5;5;5;5;10;10;10;20>,
12,luckyegg_cost,,<10;10;20;20;30;30;30;40;40;40;50>,
13,mysteryshop_refresh_cost,,<100>,
14,cardbag_buy_cost,,<20;20;20;50;50;50;100;100;100;150;150;150;150;150;150;200;200;200;200;200;200;250;250;250;250;250;250;300;300;300;300;300;300;400;400;400;400;400;400;500;500;500;500;500;500>,
15,rename_cost,,<0;50;100;200;200;500>,
101,sign_in_buy,,<0;0;0;10;20;30;50;50;50;100;100;100;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200>,
102,explorershop_refresh_cost,,<20;30;50;50;80;80;100>,
103,fragshop_refresh_cost,,<20;30;50;50;80;80;100>,
104,random_tower_box_cost1,,<10;20;40;80;80;120;200>,
105,random_tower_box_cost2,,<10;10;20;20;40;40;40;40;40;40>,
106,randomTowerShop_refresh_cost,,<20;30;50;50;80;80;100>,
107,clone_box_draw_cost,,<50>,
108,endless_tower_reset_times_cost,,<0;150>,
109,world_boss_buy_cost,,<50;100>,
110,cross_arena_fresh_cost,,<0;0;0;0;0;5000;5000;5000;5000;5000;7500;7500;7500;7500;7500;10000>,
111,cross_arena_pw_buy_cost,,<10;15;20;30;40;55;70;85;100>,
