变量名,_beizhu,itemMap,costMap,exchangeLimit,regainHour,beginDate,endDate,vipStart,levelRange,limitType,limitTimes,showUnable,languages
默认值,,{},{},-1,0,0,20990101,0,<1;150>,0,0,FALSE,<cn>
商店ID,备注,商品ID表(ID=数量),消耗积分,兑换次数(-1表示无限次兑换),次数恢复间隔,开始贩售时间,结束贩售时间,vip等级限制,等级限制,限购周期类型(1-日限购；2-周限购；3-月限购；4-永久限购),限购数量,未解锁时是否可见,语言区域
1,甘甜冰水,{11=5},{coin6=1500},5,12,,,,,,,,<cn;en;tw;kr>
2,劲爽汽水,{12=10},{coin6=300},,,,,,,,,,<cn;en;tw;kr>
3,美味之水,{13=5},{coin6=1500},,,,,,,,,,<cn;en;tw;kr>
4,哞哞鲜奶,{14=10},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
5,果汁牛奶,{15=5},{coin6=900},,,,,,,,,,<cn;en;tw;kr>
6,树果汁,{16=10},{coin6=1000},,,,,,,4,1,,<cn;en;tw;kr>
7,神奇胶囊,{19=5},{coin7=900},,,,,,,3,1,,<cn;en;tw;kr>
8,潜力装置,{800=3},{coin7=600},,,,,,,2,1,,<cn;en;tw;kr>
9,西子伊的信物,{2209=1},{coin7=20000},,,,,,,1,1,,<cn;en;tw;kr>
10,初级好感度礼盒,{900=30},{coin7=1000},5,1,,,,,1,1,,<cn;en;tw;kr>
,,,,,,,,,,,,,
101,宝贝龙碎片,{21891=2},{coin6=1000},,,,,,<150;150>,,,,<cn;en;tw;kr>
102,幼基拉斯碎片,{21251=2},{coin6=1000},,,,,,<150;150>,,,,<cn;en;tw;kr>
103,小猫怪碎片,{22071=2},{coin6=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
104,冰雪龙碎片,{23501=2},{coin6=600},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
111,宝贝龙碎片,{21891=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
112,幼基拉斯碎片,{21251=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
113,小猫怪碎片,{22071=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
114,冰雪龙碎片,{23501=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
201,宝贝龙碎片,{21891=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
202,幼基拉斯碎片,{21251=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
203,火焰鸟,{20741=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
204,夜巡灵,{21811=2},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
205,卡比兽,{20711=2},{coin6=1000},,,,,,,,,,<cn;kr>
206,木木枭,{23661=2},{coin6=1000},,,,,,,,,,<cn;kr>
,,,,,,,,,,,,,
221,小猫怪碎片,{22071=2},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
222,冰雪龙碎片,{23501=2},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
223,石丸子,{22591=2},{coin6=600},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
301,宝贝龙碎片,{21891=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
302,幼基拉斯碎片,{21251=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
303,火焰鸟,{20741=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
304,夜巡灵,{21811=2},{coin7=1200},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
321,小猫怪碎片,{22071=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
322,冰雪龙碎片,{23501=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
323,石丸子,{22591=2},{coin7=720},,,,,,<150;150>,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
600,经验药水,{15=1},{coin6=200},,,,,,,,,,<cn;en;tw;kr>
610,金币,{514=10},{coin6=500},,,,,,,,,,<cn;en;tw;kr>
620,能量药剂,{5000=10},{coin6=1000},,,,,,,,,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1001,饰品觉醒随机箱子,{6050=1},{coin6=32000},,,,,,,3,1,,<cn;en;tw;kr>
,,,,,,,,,,,,,
1101,霍米加,{2214=1},{coin6=24000},,,,,,,4,1,,<cn;en;tw;kr>
