变量名,skillName,skillName_tw,skillName_en,skillName_kr,_beizhu,skillTypeShow,skillTypeShow_tw,skillTypeShow_en,describe,describe1,describe_tw,describe_en,describe_kr,simDesc,simDesc_tw,simDesc_en,simDesc_kr,starEffect,starEffectDesc,starEffectDesc1,starEffectDesc_tw,starEffectDesc_en,starEffectDesc_kr,zawakeEffect,zawakeEffectDesc,zawakeEffectDesc1,zawakeEffectDesc_tw,zawakeEffectDesc_en,zawakeEffectDesc_kr,zawakeSimpleType,zawakeSimpleDesc,zawakeSimpleDesc_tw,zawakeSimpleDesc_en,zawakeSimpleDesc_kr,upLvDesc,upLvDesc_tw,upLvDesc_en,upLvDesc_kr,iconRes,isGlobal,changeUnitTrigger,isCombat,alwaysEffective,passivePriority,skillType,skillType2,skillDamageType,skillNatureType,skillPower,skillHit,weather,cdRound,startRound,passiveStartRound,passiveTriggerType,passiveTriggerArg,posChoose,moveTime,specialChoose,hitFormula,hintTargetType,hintChoose,specialHintChoose,autoHintChoose,targetTypeDesc,targetChooseType,targetTypeDesc_en,targetTypeDesc_kr,targetTypeDesc_tw,_attacktest,damageFormula,_damageFormula,hpFormula,skillCalDamageProcessId,diffSkillCalDmgProcessId,skillProcess,passiveSkillAttrs,activeType,activeCondition,fightingPoint,costMp1,costMp1Args,recoverMp1,widgetEffects,hurtMp1,costID,posC,chargeArgs,skillArgs,conditionValue,spineAction,flashBack,cameraNear,cameraNear_posC,cameraNear_blankTime,cameraNear_scaleArgs,blankTime,scaleArgs,effectBigName,effectBigPos,effectBigFlip,notShowProcedure,hurtPos,sound,allEffectTime,descGray,keyWords,zawakeKeyWords,skillPriority,zawakeStarEffectDesc
默认值,"""""","""""","""""","""""",,必杀技能,必殺技能,,未知的神秘力量，等它出现，世界将会轰动~,<>,原来的描述还留着,The skill is powerful.,"""""",这只小精灵拥有不俗的伤害和出其不意的效果，值得入手哦,"""""",This Pokémon is worth having,"""""",<>,"""""",<>,"""""","""""","""""",<>,"""""",<>,"""""","""""","""""",,"""""","""""","""""","""""","""技能效果等级+1""","""""",Skill power +1,"""""","""""",FALSE,FALSE,FALSE,FALSE,10,0,,0,,10000,10000,,0,1,1,,,0,<>,,{},1,2,,{},"""""","""other""","""""","""""","""""",,,,,1,{},<>,,1,1,8,0,<1;1>,0,{},0,1,{x=0;y=0},,,,,,0,{x=0;y=0},3400,{scale=1;startLast=50;delayLast=4200;endLast=50},3400,{'scale'=1;'startLast'=50;'delayLast'=4200;'endLast'=50},<img_179_mly@>,{x=0;y=0},FALSE,{},{x=0;y=0},,<>,,<>,<>,,<>
ID,技能名,技能名,技能名,技能名_韩,备注,技能展示类型,技能展示類型,技能展示类型,描述(可摻公式),新版描述(可摻公式),描述(可掺公式),描述(可摻公式),描述(可摻公式)_韩,简单描述,简单描述,简单描述,简单描述_韩,解锁星级,星级解锁描述,新版星级描述,星級解鎖描述,星级解锁描述,星级解锁描述_韩,解锁z觉醒激活（激活技能标记id；类型0-激活基础效果也可以不配置，类型1-激活星级效果）,z觉醒完整技能描述,新版Z觉醒描述,z觉醒完整技能描述,z觉醒完整技能描述,z觉醒完整技能描述,z觉醒预览技能类型：1、附带额外效果；2、已有效果强化,z觉醒预览技能描述,z觉醒预览技能描述,z觉醒预览技能描述,z觉醒预览技能描述,技能升级描述,技能升级描述,技能升级描述,技能升级描述_韩,技能icon,全局被动技能（服务器专用）,变身后替换技能,是否战力修正,TRUE是会无视所有禁用false禁用正常生效,被动技能触发优先级（同skillType之间的优先级）,技能类型;0:常规技能1:被动增加属性2:被动光环类3:被动技件触发,技能类型2：0普通攻击，1小技能，2大招，3被动技能,伤害类型0物理1特殊,技能自然属性,技能威力,技能命中等级,天气,触发回合冷却,技能初始释放cd（第几回合）,被动3初始触发回合,技能类型为3的被动触发条件类型,触发条件参数,技能释放显示位置,移动时间,单个特殊显示位置选择,选择提示公式，{hintChoose={key=self:hasBuff(54214);value=<14;11>}},选中提示目标阵营（0友方1敌方）,选中提示目标类型,单个选中提示目标类型,自动战斗下的选择目标公式,技能目标提示文字,理论的技能伤害目标（single-单体，all-全体，row-前后排，column-列排，other-其他）,技能目标提示文字,技能目标提示文字_韩,技能目標提示文字_繁,攻击方式（1-特攻；2-物攻）,技能总伤害公式,技能总伤害(原有值参考),加血总量,伤害类型,其他情况下的伤害类型{exAttackMode={1=1;2=111;3=111;4=111;5=1}},技能过程,服务器被动技能属性加成,技能解锁条件类型（1-潜力值;2-突破阶段））,解锁参数,技能战斗力,消耗mp1 的百分比,消耗mp1 的概率和消耗量,释放回复mp1,技能按钮特殊特效,受到该技能伤害的目标回复mp1,技能升级消耗序列,攻击位置偏移,蓄力参数,技能参数（召唤精灵ID；召唤类型（1-12：指定位置召唤OR 0：空位召唤）；等级；属性修正；数量）,合体技配置（1-（小回合开始，小回合结束，大回合开始，必杀技切换）；2-概率；3-全场最大使用次数；4-双方系数比例（双方相加乘该值）；5-是否消耗双方怒气）,技能动作,技能结束是否闪回(默认不填;1即闪回),镜头拉伸类型（0为非拉伸，1为拉远，2为拉近）,镜头拉伸下的位置偏移,镜头拉伸下的黑屏时间,镜头拉伸下的技能放大,非镜头拉伸下的黑屏时间,非镜头拉伸下的技能放大,技能放大大图名,技能放大图位置偏移,技能放大图水平翻转,隐藏技能释放中的某些流程,总伤害显示的位置偏移量,技能音效,被动技能个数,新增描述,新增描述,新增描述,新增描述,新增描述
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Vine Whip,藤鞭,Vine Whip,????,妙蛙种子,,,,Bulbasaur whips a single enemy to deal #C0x3D8A99#80%SP.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54# SP.DMG#C0x5B545B#,,妙蛙種子用藤鞭攻擊敵方單體目標，造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊傷害#C0x5B545B#,Bulbasaur whips a single enemy to deal #C0x3D8A99#80%SP.ATK#C0x5B545B#+$(skillLevel*4*24)$#C0xF13B54# SP.DMG#C0x5B545B#,????? ?? ???? ? ??? 1??? ???? #C0x3D8A99#?? ???? 80%#C0x5B545B#+$(skillLevel*4*24)$? #C0xF13B54#?? ??#C0x5B545B#? ???.,Bulbasaur attacks a single enemy target with its vines,妙蛙種子用藤鞭攻擊敵方單體目標,Bulbasaur attacks a single enemy target with its vines,????? ?? ???? ? ??? 1??? ????.,,,,,,,<79001>,妙蛙种子用藤鞭攻击敌方单体目标，造成#C0x3D8A99#80%特攻#C0x5B545B#+$(skillLevel*4*24)$的#C0xF13B54#特殊伤害#C0x5B545B#，并提升自身5%治疗率，持续2回合,,,,,1,#C0x5c9970#提高自身5%治疗率2回合#C0x5B545B#,,,,DMG+96,固定傷害+96,DMG+96,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,0,1,4,,,,,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,特攻,self:specialDamage()*0.8+(self:flag(99) and skillLevel or skillLevel*4)*24,self:specialDamage()+skillLevel*24,,,,<111;112>,,,,,,,240,,,1,{x=-400;y=0},,,,attack,,,,,,,,,,,,,{res=hero_sound/miaowazhongzi_attack.mp3;loop=0;delay=0},,,,,,
12,Leaf Razor,毒葉快刀,Leaf Razor,?????,妙蛙种子,,,,"Bulbasaur shoots poison leaves to chop a single enemy and paralyzes it to deal #C0x3D8A99#130%SP.ATK#C0x5B545B#+$(skillLevel*4*36)$#C0xF13B54# SP.DMG#C0x5B545B# to a single enemy, with 60% chance to make the enemy unable to move for 1 round",,妙蛙種子飛出毒葉片切斬敵方單體目標，麻痹敵人神經，造成#C0x3D8A99#130%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊傷害#C0x5B545B#，並有60%概率【眩暈】目標1回合（眩暈：控制效果，無法行動）,"Bulbasaur shoots poison leaves to chop a single enemy and paralyzes it to deal #C0x3D8A99#130%SP.ATK#C0x5B545B#+$(skillLevel*4*36)$#C0xF13B54# SP.DMG#C0x5B545B# to a single enemy, with 60% chance to make the enemy unable to move for 1 round","????? ? ???? ?? ? ??? 1??? ?? ?? ??? ????? #C0x3D8A99#?? ???? 130%#C0x5B545B#+$(skillLevel*4*36)$? #C0xF13B54#?? ??#C0x5B545B#? ??? 60%? ??? ??? 1? ? [??]???(??: ?? ??, ?? ??)",Bulbasaur attacks single enemy target by slashing it with its leaves,妙蛙種子飛出葉片，切斬敵方單體目標進行攻擊,Bulbasaur attacks single enemy target by slashing it with its leaves,????? ???? ?? ? ??? 1??? ?? ????.,,,,,,,<79002>,妙蛙种子飞出毒叶片切斩敌方单体目标，麻痹敌人神经，造成#C0x3D8A99#130%特攻#C0x5B545B#+$(skillLevel*4*36)$的#C0xF13B54#特殊伤害#C0x5B545B#，并有100%概率【眩晕】目标1回合（眩晕：控制效果，无法行动）,,,,,2,有60%概率【眩晕】目标1回合\n#F20# \n#F40##C0x5c9970#→有100%概率【眩晕】目标1回合#C0x5B545B#,,,,DMG+144,固定傷害+144,DMG+144,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,1,1,8,,,,2,,,,,1,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,特攻,self:specialDamage()*1.3+(self:flag(99) and skillLevel or skillLevel*4)*36,self:specialDamage()*1.5+skillLevel*24,,,,<121;122;123>,,,,,,,360,,,2,{x=-450;y=0},,,,skill1,,,,,,,,,,,,,{res=hero_sound/miaowazhongzi_skill1.mp3;loop=0;delay=0},,,,,,
13,Power Whip,強力鞭打,Power Whip,???,妙蛙种子,,,,"Bulbasaur traps a single enemy and whips to attack to deal #C0x3D8A99#370%SP.ATK#C0x5B545B#+$(skillLevel*4*60)$#C0xF13B54# SP.DMG#C0x5B545B#, inflicting 【Leech Seed】 to all allied Pokémon for 3 rounds (Leech Seed: Recover own HP before each round. Recovery amount: Bulbasaur's #C0x3D8A99#30%SP.ATK#C0x5B545B# bonus initially, increasing with the increase of ability level)",,妙蛙種子困住敵方單體目標，然後揮舞藤鞭進行攻擊，造成#C0x3D8A99#370%特攻#C0x5B545B#+$(skillLevel*4*60)$的#C0xF13B54#特殊傷害#C0x5B545B#，並為友方全體添加一枚【寄生種子】3回合,"Bulbasaur traps a single enemy and whips to attack to deal #C0x3D8A99#370%SP.ATK#C0x5B545B#+$(skillLevel*4*60)$#C0xF13B54# SP.DMG#C0x5B545B#, inflicting 【Leech Seed】 to all allied Pokémon for 3 rounds (Leech Seed: Recover own HP before each round. Recovery amount: Bulbasaur's #C0x3D8A99#30%SP.ATK#C0x5B545B# bonus initially, increasing with the increase of ability level)",????? ? ??? 1??? ?? ? ?? ???? ???? #C0x3D8A99#?? ???? 370%#C0x5B545B#+$(skillLevel*4*60)$? #C0xF13B54#?? ??#C0x5B545B#? ??? 3? ? ?? ???? [????]? 1? ???.,Bulbasaur traps a single enemy target before lashing it with powserful vine attack. It also gives all allies a Leech Seed for healing,妙蛙種子困住敵方單體目標，然後強烈揮舞藤鞭進行攻擊，並為己方全體添加一枚寄生種子治療友方,Bulbasaur traps a single enemy target before lashing it with powserful vine attack. It also gives all allies a Leech Seed for healing,"????? ? ??? 1??? ??? ?, ?? ??? ??? ??? ?? ?? ?? ?? ??? ????? ?? ????.",<11>,Additional effect: Triggers healing effect of Leech Seed once when dealing Ultimate move,,額外效果：釋放必殺技時立即觸發一次寄生種子中的恢復效果,Additional effect: Triggers healing effect of Leech Seed once when dealing Ultimate move,?? ??: ??? ?? ? ?? ????? ?? ??? 1? ????,<79003;1>,额外效果：释放必杀技时立即触发一次寄生种子中的恢复效果，并使本次恢复量加倍,,,,,2,#C0x5c9970#释放必杀技时立即触发一次寄生种子中的恢复效果#C0x5c9970#→释放必杀技时立即触发一次寄生种子中的恢复效果，并使本次恢复量加倍#C0x5B545B#,,,,DMG+240,固定傷害+240,DMG+240,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,0,2,1,4,,,,,,,,,0,,,,,2,,,Single,"""single""",Single,? ?? ??,敵方單體,特攻,self:specialDamage()*3.7+(self:flag(99) and skillLevel or skillLevel*4)*60,self:specialDamage()*4.5+skillLevel*60,,,,<131;132;133;134>,,,,,1000,,,,,3,{x=-480;y=0},,,,skill2,,0,,4785,{scale=1.2;startLast=50;delayLast=4785;endLast=50},4785,{'scale'=1.2;'startLast'=50;'delayLast'=4785;'endLast'=50},<img_1_mwzz@>,,,,,{res=hero_sound/miaowazhongzi_skill2.mp3;loop=0;delay=0},,,,,,
16,Sprout,生芽,Sprout,??,妙蛙种子,,,,"When own round ends, inflict 【Leech Seed】 to a random Pokemon for 3 rounds (Leech Seed: Recover HP of own $(30+skillLevel*0.2-0.2)$% Bulbasaur's SP.ATK)",,自身回合結束後，為己方隨機一個精靈添加【寄生種子】3回合（寄生種子：增益效果，每回合前回復自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#妙蛙種子特攻的生命值）,"When own round ends, inflict 【Leech Seed】 to a random Pokemon for 3 rounds (Leech Seed: Recover HP of own $(30+skillLevel*0.2-0.2)$% Bulbasaur's SP.ATK)","??? ? ?? ? 3? ? ?? ?? ??? 1???? [????] ? ???(????: ?? ?? ??, ? ?? ???? ?? ??? HP? ???? ?? ???? #C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#?? ????.)",,,,,<8>,Effect boost: Leech Seed recovery amount increases by 10%,,效果強化：寄生種子回復量提升10%,Effect boost: Leech Seed recovery amount increases by 10%,?? ??: ????? ???? 10% ????,<79004>,自身回合结束后，为己方随机一个精灵添加【寄生种子】3回合（寄生种子：增益效果，每回合前回复自身#C0x5c9970#$(30+skillLevel*0.2-0.2)$%#C0x5B545B#妙蛙种子特攻的生命值），有30%概率给自己也添加一个【寄生种子】3回合,,,,,1,#C0x5c9970#有30%概率给自己也添加一个【寄生种子】3回合#C0x5B545B#,,,,,,,,ICON/skill/skill/001gqs_skill2.png,,TRUE,TRUE,,,3,3,,,,,,,,,9,0,5,,,,,,,,,,,,,,,,,,,<161;162>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stats boost,屬性加成,Stats boost,?? ???,,,,,Increase own $(5+skillLevel*0.05-0.05)$% PVP damage bonus,,提升自身$(5+skillLevel*0.05-0.05)$%的pvp傷害加成,Increase own $(5+skillLevel*0.05-0.05)$% PVP damage bonus,??? pvp ?? ???? $(5+skillLevel*0.05-0.05)$% ????.,,,,,,,,,,,,,,,,,,,,,,,,,,ICON/skill/skill/001gqs_skill2.png,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{92=(500+(skillLevel-1)*5)},1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stats boost,屬性加成,Stats boost,?? ???,,,,,Increase own $(5+skillLevel*0.05-0.05)$% PVP damage reduction,,提升自身$(5+skillLevel*0.05-0.05)$%的pvp傷害減免,Increase own $(5+skillLevel*0.05-0.05)$% PVP damage reduction,??? pvp ?? ???? $(5+skillLevel*0.05-0.05)$% ????.,,,,,,,,,,,,,,,,,,,,,,,,,,ICON/skill/skill/001gqs_skill2.png,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{93=(500+(skillLevel-1)*5)},1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
