变量名,percent,const,play,value,type,__version
默认值,1,1,"""""",0,0,
ID,percent,const,play,value,type,__version
1,,,star,8,1,
2,,,zawake,408,1,
3,,,level,144,2,
4,,,advance,29,2,
5,,,equip_level,29,2,
6,,,equip_star,5,1,
100,,,equip_signet_advance,,3,
101,0.8,0.8,gem,,4,
102,,,held_item,,4,
103,,,character,,4,
104,,,union_skill,,3,
105,,,trainer_attr_skill,,4,
106,,,trainer,,4,
107,,,town_relic,,3,
108,,,town,,3,
109,0.8,0.8,totem,,4,
110,0.8,0.8,title,,4,
111,,,talent,,3,
113,,,skin,,4,
114,,,pokedex_develop,,3,
115,,,pokedex_advance,,3,
116,,,pokedex,,3,
117,,,passive_skill,,4,
118,0.8,0.8,meteorite,,4,
119,,,medal,,3,
120,,,fishingLevel,,3,
121,,,fetters,,3,
122,,,feel_effect,,3,
123,,,feel,,3,
124,,,explorer_effect,,3,
125,,,explorer_core_tech,,3,
126,,,explorer_component,,3,
127,,,effort_advance,,3,
128,,,effort,,3,
129,,,default,,4,
130,0.8,0.8,contracts,,4,
131,0.8,0.8,chips,,4,
132,,,badge,,4,
133,,,arms,,3,
134,0.8,0.8,aid,,4,
135,,,ability_extra,,3,
136,,,ability,,3,
137,0.8,0.8,emeras,,4,
