变量名,specialDamage,damage,hp,elementalDamageAdd,attrtype,mpAttackRecover,play,shieldPower,finalDamageReduce,finalDamageDeepen,finalDamageSub,finalDamageAdd,damageDodge,damageHit,fairyCure,steelCure,evilCure,dragonCure,ghostCure,rockCure,wormCure,superCure,flyCure,groundCure,poisonCure,combatCure,iceCure,electricityCure,grassCure,waterCure,fireCure,normalCure,damageReduce,damageDeepen,natureRestraint,rebound,suckBlood,hit,dodge,mp2Recover,mp1Recover,hpRecover,initMp1,mp1,ignoreDamageSub,mpBeAttackRecover,elementalDamageSub,elementalDamageReduce,elementalDamageDeepen,specialDamageAdd,physicalDamageAdd,specialDefenceIgnore,defenceIgnore,specialDamageSub,physicalDamageSub,fairyDamageSub,steelDamageSub,evilDamageSub,dragonDamageSub,ghostDamageSub,rockDamageSub,wormDamageSub,superDamageSub,flyDamageSub,groundDamageSub,poisonDamageSub,combatDamageSub,iceDamageSub,electricityDamageSub,grassDamageSub,waterDamageSub,fireDamageSub,normalDamageSub,fairyDamageAdd,steelDamageAdd,evilDamageAdd,dragonDamageAdd,ghostDamageAdd,rockDamageAdd,wormDamageAdd,superDamageAdd,flyDamageAdd,groundDamageAdd,poisonDamageAdd,combatDamageAdd,iceDamageAdd,electricityDamageAdd,grassDamageAdd,waterDamageAdd,fireDamageAdd,normalDamageAdd,damageSub,damageAdd,immuneControl,controlPer,ultimateSub,ultimateAdd,speed,pvpDamageSub,pvpDamageAdd,cure,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,specialDefence,defence,__version
默认值,0,0,0,0,"""""",0,"""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ID,specialDamage,damage,hp,elementalDamageAdd,attrtype,mpAttackRecover,play,shieldPower,finalDamageReduce,finalDamageDeepen,finalDamageSub,finalDamageAdd,damageDodge,damageHit,fairyCure,steelCure,evilCure,dragonCure,ghostCure,rockCure,wormCure,superCure,flyCure,groundCure,poisonCure,combatCure,iceCure,electricityCure,grassCure,waterCure,fireCure,normalCure,damageReduce,damageDeepen,natureRestraint,rebound,suckBlood,hit,dodge,mp2Recover,mp1Recover,hpRecover,initMp1,mp1,ignoreDamageSub,mpBeAttackRecover,elementalDamageSub,elementalDamageReduce,elementalDamageDeepen,specialDamageAdd,physicalDamageAdd,specialDefenceIgnore,defenceIgnore,specialDamageSub,physicalDamageSub,fairyDamageSub,steelDamageSub,evilDamageSub,dragonDamageSub,ghostDamageSub,rockDamageSub,wormDamageSub,superDamageSub,flyDamageSub,groundDamageSub,poisonDamageSub,combatDamageSub,iceDamageSub,electricityDamageSub,grassDamageSub,waterDamageSub,fireDamageSub,normalDamageSub,fairyDamageAdd,steelDamageAdd,evilDamageAdd,dragonDamageAdd,ghostDamageAdd,rockDamageAdd,wormDamageAdd,superDamageAdd,flyDamageAdd,groundDamageAdd,poisonDamageAdd,combatDamageAdd,iceDamageAdd,electricityDamageAdd,grassDamageAdd,waterDamageAdd,fireDamageAdd,normalDamageAdd,damageSub,damageAdd,immuneControl,controlPer,ultimateSub,ultimateAdd,speed,pvpDamageSub,pvpDamageAdd,cure,blockPower,breakBlock,block,strikeResistance,strikeDamage,strike,specialDefence,defence,__version
1,2400,2400,12000,,const,,union_skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,900,1200,1200,1200,1200,1200,1200,1200,1200,1200,
2,0.12,0.12,0.12,,percent,,union_skill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.12,
3,20048,20048,96525,,const,,town_relic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,170,150,170,170,,170,,170,170,170,,5693,6683,
4,,,,,percent,,town_relic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7647,7647,25480,,const,,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,150,150,,150,150,,,100,100,150,,150,2545,2545,
6,0.05,0.05,0.065,,percent,,town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,0.045,0.045,
7,500,500,2000,,const,,talent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,500,500,,,,,100,,,,,,,500,,500,280,280,
8,0.15,0.05,0.125,,percent,,talent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,0.05,0.05,
9,,,,,const,,pokedex_develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.1181,2.5836,1.2358,,percent,,pokedex_develop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0872,,,,,,,,,,1.2801,1.4806,
11,,,350,,const,,pokedex_advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,,,,,,,,,,,,,,,,,,,700,700,700,700,700,600,600,500,600,600,700,700,700,600,500,800,700,600,,,,,,,,,,,,,,900,,,750,1020,
12,,,,,percent,,pokedex_advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,const,,pokedex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.5174,0.596,0.3197,,percent,,pokedex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2669,,,,,,,,,,0.3129,0.3659,
15,35529.869,35529.869,129086.588,,const,,meteorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13620.232,13620.232,
16,,,,,percent,,meteorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9240,9240,27040,,const,,medal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680,4680,
