变量名,str2,gameType,sceneType,str1,type,__version
默认值,"""""",0,1,"""""",1,
ID,str2,gameType,sceneType,str1,type,__version
1,,,,#C0x5B545B#欢迎来到极巨巅峰的赛场！我是大吾，极巨巅峰的舞台汇聚来自各地的顶尖强者，他们将用实力诠释 “巅峰” 的含义！,,
2,,,,#C0x5B545B#这场舞台会汇聚多个战区的【跨服竞技场】王者和大师，可谓是含金量最高的顶尖赛事！,,
3,,,,#C0x5B545B#高手如云的对峙，搭配和能力的权衡！究竟会碰撞出怎样的火花！！让我们拭目以待！,,
4,,,,#C0x5B545B#各位屏幕前的观众、到场的朋友们，极巨巅峰即将拉开战幕！我是大吾，让我们一起见证新王诞生！,,
5,,,,#C0x5B545B#现场的观众朋友们，欢迎锁定极巨巅峰的赛事现场！此刻空气中已经弥漫着肾上腺素的味道，巅峰对决即将引爆，你们准备好了吗？,,
6,,,,#C0x5B545B#灯光就位，掌声就绪，极巨巅峰的战鼓即将敲响！赛场的每一个角落都充满了期待的气息，让我们一起屏住呼吸，迎接这场视觉盛宴！,,
101,,2,2,#C0x5B545B#这里为您实况转播极巨巅峰·积分赛的赛程比拼，在场外都可以感受到选手和精灵们的熊熊气焰，为他们精彩的战斗喝彩欢呼吧！,,
102,,2,2,#C0x5B545B#看着宝可梦战斗的英姿，正是我希望的，精灵的美丽需要被更多人看见！！！,,
103,,2,2,#C0x5B545B#愿每位选手都能展现自己独特的魅力，相信选手们在赛场上能用精灵传递出最动人的故事~,,
104,,2,2,#C0x5B545B#果然水系精灵是最优雅的！选手们搭档的水系精灵的战斗得到了美纳斯的认可~,,
105,,2,2,#C0xF76B45#{name1}#C0x5B545B#的精灵正在用华丽的身姿为这场战斗画上完美的句号！优雅至极~,2,
106,,2,2,#C0xF76B45#{name1}#C0x5B545B#的看着陷入了劣势，但精灵们的意志未曾动摇，把你和你的精灵的力量展现给全场观众看吧！,2,
107,,2,2,#C0xF76B45#{name1}#C0x5B545B#与其他选手的积分拉开了差距，台下的观众们请献上掌声~,2,
108,,2,2,#C0xF76B45#{name1}#C0x5B545B#的精灵队伍士气高涨，能否可以赢下本轮战斗，我们拭目以待！,2,
109,,2,2,#C0x5B545B#华丽的战斗！比赛结束后，#C0xF76B45#{name1}#C0x5B545B#请容我邀请你参加下一届米可利杯大赛~,2,
110,,2,2,#C0xF76B45#{name1}#C0x5B545B#你的气质变了，我能感觉到这一点，请放松下来，相信你的搭档们,2,
111,,2,2,#C0xF76B45#{name1}#C0x5B545B#和#C0xF76B45#{name2}#C0x5B545B#的战斗的最华丽的人究竟是谁呢，我在赛场等着哦！,3,
112,,2,2,#C0xF76B45#{name1}#C0x5B545B#战胜了#C0xF76B45#{name2}#C0x5B545B#，胜者不宜骄傲，请在后续的对战中继续保持站姿~,3,
113,,2,2,#C0xF76B45#{name2}#C0x5B545B#战败于#C0xF76B45#{name1}#C0x5B545B#，败者不宜沮丧，请在后续的对战中绽放光彩~,3,
114,,2,2,#C0xF76B45#{name1}#C0x5B545B#和#C0xF76B45#{name2}#C0x5B545B#的对战精彩绝伦，美纳斯也想尝试与这两位强敌对战一番,3,
115,,2,2,#C0x5B545B#观众们！请把掌声赠予#C0xF76B45#{name1}#C0x5B545B#和#C0xF76B45#{name2}#C0x5B545B#，他们的战斗值得这份赞誉,3,
201,#C0x5B545B#当然，不过现在的我更热衷于感受他们与精灵之间的牵绊。到了这个位置，训练家们一定很热爱自己的精灵~,1,3,#C0x5B545B#多个战区的强者汇聚，我也想参与到他们的对战中！！竹兰，你也有这种感觉吧？？,,
202,#C0x5B545B#也需要对自己搭档精灵十足的信赖~,1,3,#C0x5B545B#成为冠军之路非常艰难！需要坚定且强悍的意志！,,
203,#C0x5B545B#我还要再思考一下，两位训练家精灵的实力都很强,1,3,#C0x5B545B#竹兰，这场竞猜的战斗你怎么看？,,
204,#C0x5B545B#可能两位选手中比较难抉择，你投下的竞猜币是对他们最大的支持,1,3,#C0x5B545B#观众们！选择一位你心仪的选手，投下竞猜币吧！,,
205,#C0x5B545B#我们这次是主持人的身份......比赛后再切磋,1,3,#C0x5B545B#等待开赛是最难熬的时刻！！竹兰，我们去打一场吧！,,
206,#C0x5B545B#是的，我也感受到观众们的热情，不过不要忘记竞猜心仪的选手哦~,1,3,#C0x5B545B#观众们的欢呼声让我也热血沸腾起来了！,,
207,#C0x5B545B#在犹豫的同时，也不要错过了可以竞猜的时间哦~,1,3,#C0x5B545B#本场比赛在19:00开赛！开赛后就无法竞猜了！！！,,
208,#C0x5B545B#但是#C0xF76B45#{name2}#C0x5B545B#与精灵的羁绊也毫不逊色，赢面也能很大,1,3,#C0x5B545B#我感觉#C0xF76B45#{name1}#C0x5B545B#赢面会更大！我感受到了他强大的意志！,2,
209,#C0xF76B45#{name2}#C0x5B545B#对精灵的羁绊不逊色于我，我感觉他会赢,1,3,#C0xF76B45#{name1}#C0x5B545B#有我当年的风采，我感觉会赢,2,
210,#C0x5B545B#我会多关注#C0xF76B45#{name2}#C0x5B545B#，感受他和精灵之间的心灵交流，值得我学习,1,3,#C0x5B545B#在战斗的时候！我会多多关注#C0xF76B45#{name1}#C0x5B545B#，如果胜利了请和我再来一场对战！,2,
211,#C0x5B545B#无须担心，#C0xF76B45#{name1}#C0x5B545B#和#C0xF76B45#{name2}#C0x5B545B#一定会拿出最好的状态来应对强敌的,1,3,#C0x5B545B#不知道#C0xF76B45#{name1}#C0x5B545B#和#C0xF76B45#{name2}#C0x5B545B#准备的如何,3,
