变量名,name,__version
默认值,"""""",
ID,name,__version
762,Mega Mewtwo X,
763,Mega Mewtwo Y,
1111,Swinub,
1112,Piloswine,
1113,Mamoswine,
1141,Delibird,
1261,Lugia,
1941,Latias,
1951,Latios,
1961,Kyogre,
1962,Primal Kyogre,
1971,Groudon,
1972,Primal Groudon,
1982,Mega Rayquaza,
2421,Manaphy,
3241,Kyurem,
3242,White Kyurem,
3243,Black Kyurem,
3601,Xerneas,
3611,Yveltal,
3632,Mega Diancie,
3641,Hoppa Confined,
3642,Hoppa Unbound,
4103,Dusk Mane,
4104,Dawn Wings,
4631,Zarude,
4682,Calyrex Ice Rider,
4683,Calyrex Shadow Rider,
5391,Miraidon,
7051,Shiny Mega Gardevoir,
7131,Shiny Mega Abomasnow,
7181,Zinnia's Mega Salamence,
7191,Red Flash Mega Scizor,
7221,Shiny Mega Aerodactyl,
