变量名,winRatio,betRatio,extRatio,failRatio,cost,__version
默认值,1,2,3,0.1,<100;200;500;1000;2000>,
ID,winRatio,betRatio,extRatio,failRatio,cost,__version
1,,,2.8,,<100;300;500>,
2,,,2.8,,<100;300;500>,
3,,2.5,3.5,,<100;300;500>,
4,,,2.8,,<100;300;500>,
5,,2.5,3.5,,<100;300;500>,
6,,3,4.2,,<100;300;500>,
7,,,2.8,,<100;300;500>,
8,,2.5,3.5,,<100;300;500>,
9,,2.5,3.5,,<100;300;500>,
10,,2.5,3.5,,<100;300;500>,
11,,2.5,3.5,,<100;300;500>,
12,,3.5,4.9,,<100;300;500>,
13,,2.5,3.5,,<100;300;500>,
14,,2.5,3.5,,<100;300;500>,
15,,3,4.2,,<100;300;500>,
