变量名,mainSkillSub,damageSub,blockPower,strikeResistance,specialDefence,finalDamageSub,damageAdd,finalDamageReduce,shieldPower,ignoreDamageSub,elementalDamageSub,elementalDamageDeepen,elementalDamageReduce,immuneControl,finalDamageAdd,controlPer,breakBlock,elementalDamageAdd,mainSkillAdd,mpAttackRecover,mpBeAttackRecover,suckBlood,rebound,finalDamageDeepen,equipAwake,equipLevel,equipStar,equipAdvance,fetters,speed,star,defence,specialDamage,damage,hp,rarity,desc,cardID,block,strikeDamage,level,strike,advance,helditem,skillLevels,abilities,nvalue,zawake,languages,__version
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",5,100,5,18,TRUE,"""""",12,"""""","""""","""""","""""",1,"""""",0,"""""","""""",100,"""""",19,{advance=7;level=60;id=30318},<100;100;100;100;100;100>,<20;20;20;20;20;20;20;20;20;20>,{defence=31;hp=31;speed=31;specialDefence=31;specialDamage=31;damage=31},<8;0;0;0;0;0;0;0>,<cn;kr;en;en_us;en_eu;tw>,
ID,mainSkillSub,damageSub,blockPower,strikeResistance,specialDefence,finalDamageSub,damageAdd,finalDamageReduce,shieldPower,ignoreDamageSub,elementalDamageSub,elementalDamageDeepen,elementalDamageReduce,immuneControl,finalDamageAdd,controlPer,breakBlock,elementalDamageAdd,mainSkillAdd,mpAttackRecover,mpBeAttackRecover,suckBlood,rebound,finalDamageDeepen,equipAwake,equipLevel,equipStar,equipAdvance,fetters,speed,star,defence,specialDamage,damage,hp,rarity,desc,cardID,block,strikeDamage,level,strike,advance,helditem,skillLevels,abilities,nvalue,zawake,languages,__version
1,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Magnezone,333,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Zeraora,4161,,,,,,{advance=7;id=30426;level=60},,,,,,
3,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Ash's Pikachu,7001,,,,,,,,,,,,
4,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Zapdos,731,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Zekrom,3221,,,,,,{advance=7;id=30416;level=60},,,,,,
6,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Thundurus,3201,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Meltan,4171,,,,,,{advance=7;id=30420;level=60},,,,,,
8,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Magnezone,333,,,,,,,,,,,,
9,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Mega Aggron,1504,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Jirachi,1991,,,,,,{advance=7;id=30419;level=60},,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Dialga,2351,,,,,,{advance=7;id=30410;level=60},,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Genesect,3271,,,,,,{advance=7;id=30424;level=60},,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Ho-Oh,1271,,,,,,{advance=7;id=31301;level=60},,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Reshiram,3211,,,,,,{advance=7;id=30415;level=60},,,,,,
15,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Entei,1231,,,,,,,,,,,,
16,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Moltres,741,,,,,,,,,,,,
17,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Infernape,2023,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Victini,2461,,,,,,{advance=7;id=30427;level=60},,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Darkrai,2431,,,,,,{advance=7;id=30405;level=60},,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Yveltal,3611,,,,,,{advance=7;id=30421;level=60},,,,,,
21,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Tyranitar,1253,,,,,,,,,,,,
22,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Zoroark,2822,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Hoppa Unbound,3642,,,,,,{advance=7;id=30414;level=60},,,,,,
24,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Hydreigon,3143,,,,,,,,,,,,
25,,,,,120%,,,,,,,,,,,,,,,,,,,,,,,,,120%,,120%,120%,120%,120%,3,Dusknoir,1813,,,,,,,,,,,,
