变量名,exchangeLimit,goods,cost,__version,shopID
默认值,1,{},{},,
ID,exchangeLimit,goods,cost,__version,shopID
1,10,{20331=3},{540=150},,1
2,10,{21501=3},{540=150},,1
3,10,{21811=3},{540=150},,1
4,10,{21921=3},{540=200},,1
5,10,{21931=3},{540=200},,1
6,10,{21911=3},{540=200},,1
7,10,{20971=3},{540=300},,1
8,10,{20861=3},{540=300},,1
9,10,{5000=10},{540=100},,1
10,10,{930=10},{540=100},,1
11,3,{502=1},{540=400},,1
12,,{501=1},{540=600},,1
13,3,{519=1},{540=200},,1
14,3,{503=1},{540=200},,1
15,3,{520=1},{540=200},,1
16,5,{talent_point=1},{540=250},,1
17,5,{902=5},{540=150},,1
18,10,{851=10},{540=100},,1
19,10,{850=20},{540=100},,1
20,30,{gold=100000},{540=100},,1
101,10,{21391=3},{540=150},,2
102,10,{23351=3},{540=150},,2
103,10,{23021=3},{540=150},,2
104,10,{21221=3},{540=200},,2
105,10,{21231=3},{540=200},,2
106,10,{21241=3},{540=200},,2
107,10,{21941=3},{540=300},,2
108,10,{21951=3},{540=300},,2
109,10,{5000=10},{540=100},,2
110,10,{930=10},{540=100},,2
111,3,{502=1},{540=400},,2
112,,{501=1},{540=600},,2
113,3,{519=1},{540=200},,2
114,3,{503=1},{540=200},,2
115,3,{520=1},{540=200},,2
116,5,{talent_point=1},{540=250},,2
117,5,{902=5},{540=150},,2
118,10,{851=10},{540=100},,2
119,10,{850=20},{540=100},,2
120,30,{gold=100000},{540=100},,2
201,10,{22721=3},{540=150},,3
202,10,{20491=3},{540=150},,3
203,10,{22031=3},{540=150},,3
204,10,{20741=3},{540=200},,3
205,10,{20731=3},{540=200},,3
206,10,{20721=3},{540=200},,3
207,10,{23251=3},{540=300},,3
208,10,{20641=3},{540=300},,3
209,10,{5000=10},{540=100},,3
210,10,{930=10},{540=100},,3
211,3,{502=1},{540=400},,3
212,,{501=1},{540=600},,3
213,3,{519=1},{540=200},,3
214,3,{503=1},{540=200},,3
215,3,{520=1},{540=200},,3
216,5,{talent_point=1},{540=250},,3
217,5,{902=5},{540=150},,3
218,10,{851=10},{540=100},,3
219,10,{850=20},{540=100},,3
220,30,{gold=100000},{540=100},,3
301,10,{20711=3},{540=150},,4
302,10,{21421=3},{540=150},,4
303,10,{21841=3},{540=150},,4
304,10,{23151=3},{540=200},,4
305,10,{21031=3},{540=200},,4
306,10,{22231=3},{540=200},,4
307,10,{20501=3},{540=300},,4
308,10,{20381=3},{540=300},,4
309,10,{5000=10},{540=100},,4
310,10,{930=10},{540=100},,4
311,3,{502=1},{540=400},,4
312,,{501=1},{540=600},,4
313,3,{519=1},{540=200},,4
314,3,{503=1},{540=200},,4
315,3,{520=1},{540=200},,4
316,5,{talent_point=1},{540=250},,4
317,5,{902=5},{540=150},,4
318,10,{851=10},{540=100},,4
319,10,{850=20},{540=100},,4
320,30,{gold=100000},{540=100},,4
401,10,{21081=3},{540=150},,5
402,10,{21071=3},{540=150},,5
403,10,{21771=3},{540=150},,5
404,10,{22241=3},{540=200},,5
405,10,{20701=3},{540=200},,5
406,10,{20571=3},{540=200},,5
407,10,{24081=3},{540=300},,5
408,10,{24071=3},{540=300},,5
409,10,{5000=10},{540=100},,5
410,10,{930=10},{540=100},,5
411,3,{502=1},{540=400},,5
412,,{501=1},{540=600},,5
413,3,{519=1},{540=200},,5
414,3,{503=1},{540=200},,5
415,3,{520=1},{540=200},,5
