变量名,rank,award
默认值,1,{}
ID,排名,奖励
1,1,{142=450;gold=1200000;rmb=300}
2,2,{142=420;gold=1120000;rmb=280}
3,3,{142=390;gold=1040000;rmb=260}
4,5,{142=360;gold=960000;rmb=240}
5,7,{142=330;gold=880000;rmb=220}
6,10,{142=300;gold=800000;rmb=200}
7,15,{142=270;gold=720000;rmb=180}
8,20,{142=240;gold=640000;rmb=160}
9,30,{142=210;gold=560000;rmb=140}
10,100,{142=180;gold=480000;rmb=120}
11,200,{142=150;gold=400000;rmb=100}
12,500,{142=135;gold=360000;rmb=90}
13,800,{142=120;gold=320000;rmb=80}
14,1000,{142=105;gold=280000;rmb=70}
15,99999,{142=90;gold=240000;rmb=60}
