变量名,point,rank,themeType
默认值,0,1,0
ID,积分,排名,主题类型
1,3000,1,1
2,2800,2,1
3,2700,3,1
4,2600,4,1
5,2500,5,1
6,2400,6,1
7,2300,7,1
8,2200,8,1
9,2100,9,1
10,2000,10,1
11,1950,11,1
12,1900,12,1
13,1850,13,1
14,1800,14,1
15,1750,15,1
16,1700,16,1
17,1650,17,1
18,1600,18,1
19,1550,19,1
20,1500,20,1
21,1480,21,1
22,1460,22,1
23,1440,23,1
24,1420,24,1
25,1400,25,1
26,1380,26,1
27,1360,27,1
28,1340,28,1
29,1320,29,1
30,1300,30,1
31,1280,31,1
32,1260,32,1
33,1240,33,1
34,1220,34,1
35,1200,35,1
36,1180,36,1
37,1160,37,1
38,1140,38,1
39,1120,39,1
40,1100,40,1
41,1090,41,1
42,1080,42,1
43,1070,43,1
44,1060,44,1
45,1050,45,1
46,1040,46,1
47,1030,47,1
48,1020,48,1
49,1010,49,1
50,1000,50,1
51,990,51,1
52,980,52,1
53,970,53,1
54,960,54,1
55,950,55,1
56,940,56,1
57,930,57,1
58,920,58,1
59,910,59,1
60,900,60,1
61,890,61,1
62,880,62,1
63,870,63,1
64,860,64,1
65,850,65,1
66,840,66,1
67,830,67,1
68,820,68,1
69,810,69,1
70,800,70,1
71,790,71,1
72,780,72,1
73,770,73,1
74,760,74,1
75,750,75,1
76,740,76,1
77,730,77,1
78,720,78,1
79,710,79,1
80,700,80,1
81,690,81,1
82,680,82,1
83,670,83,1
84,660,84,1
85,650,85,1
86,640,86,1
87,630,87,1
88,620,88,1
89,610,89,1
90,600,90,1
91,590,91,1
92,580,92,1
93,570,93,1
94,560,94,1
95,550,95,1
96,540,96,1
97,530,97,1
98,520,98,1
99,510,99,1
100,500,100,1
101,490,105,1
102,480,110,1
103,470,115,1
104,460,120,1
105,450,130,1
106,440,140,1
107,430,150,1
108,420,160,1
109,410,170,1
110,400,180,1
111,390,190,1
112,380,200,1
113,370,210,1
114,360,220,1
115,350,230,1
116,340,240,1
117,330,250,1
118,320,260,1
119,310,270,1
120,300,280,1
121,295,290,1
122,290,300,1
123,285,310,1
124,280,320,1
125,275,330,1
126,270,340,1
127,265,350,1
128,260,360,1
129,255,370,1
130,250,380,1
131,245,390,1
132,240,400,1
133,235,410,1
134,230,420,1
135,225,430,1
136,220,440,1
137,215,460,1
138,210,480,1
139,205,500,1
140,200,600,1
141,195,700,1
142,190,800,1
143,185,900,1
144,180,1000,1
145,175,1500,1
146,170,2000,1
147,165,2500,1
148,160,3000,1
149,155,3500,1
150,150,99999,1
1001,3000,,2
1002,2800,2,2
1003,2700,3,2
1004,2600,4,2
1005,2500,5,2
1006,2400,6,2
1007,2300,7,2
1008,2200,8,2
1009,2100,9,2
1010,2000,10,2
1011,1950,11,2
1012,1900,12,2
1013,1850,13,2
1014,1800,14,2
1015,1750,15,2
1016,1700,16,2
1017,1650,17,2
1018,1600,18,2
1019,1550,19,2
1020,1500,20,2
1021,1480,21,2
1022,1460,22,2
1023,1440,23,2
1024,1420,24,2
1025,1400,25,2
1026,1380,26,2
1027,1360,27,2
1028,1340,28,2
1029,1320,29,2
1030,1300,30,2
1031,1280,31,2
1032,1260,32,2
1033,1240,33,2
1034,1220,34,2
1035,1200,35,2
1036,1180,36,2
1037,1160,37,2
1038,1140,38,2
1039,1120,39,2
1040,1100,40,2
1041,1090,41,2
1042,1080,42,2
1043,1070,43,2
1044,1060,44,2
1045,1050,45,2
1046,1040,46,2
1047,1030,47,2
1048,1020,48,2
1049,1010,49,2
1050,1000,50,2
1051,990,51,2
1052,980,52,2
1053,970,53,2
1054,960,54,2
1055,950,55,2
1056,940,56,2
1057,930,57,2
1058,920,58,2
1059,910,59,2
1060,900,60,2
1061,890,61,2
1062,880,62,2
1063,870,63,2
1064,860,64,2
1065,850,65,2
1066,840,66,2
1067,830,67,2
1068,820,68,2
1069,810,69,2
1070,800,70,2
1071,790,71,2
1072,780,72,2
1073,770,73,2
1074,760,74,2
1075,750,75,2
1076,740,76,2
1077,730,77,2
1078,720,78,2
1079,710,79,2
1080,700,80,2
1081,690,81,2
1082,680,82,2
1083,670,83,2
1084,660,84,2
1085,650,85,2
1086,640,86,2
1087,630,87,2
1088,620,88,2
1089,610,89,2
1090,600,90,2
1091,590,91,2
1092,580,92,2
1093,570,93,2
1094,560,94,2
1095,550,95,2
1096,540,96,2
1097,530,97,2
1098,520,98,2
1099,510,99,2
1100,500,100,2
1101,490,105,2
1102,480,110,2
1103,470,115,2
1104,460,120,2
1105,450,130,2
1106,440,140,2
1107,430,150,2
1108,420,160,2
1109,410,170,2
1110,400,180,2
1111,390,190,2
1112,380,200,2
1113,370,210,2
1114,360,220,2
1115,350,230,2
1116,340,240,2
1117,330,250,2
1118,320,260,2
1119,310,270,2
1120,300,280,2
1121,295,290,2
1122,290,300,2
1123,285,310,2
1124,280,320,2
1125,275,330,2
1126,270,340,2
1127,265,350,2
1128,260,360,2
1129,255,370,2
1130,250,380,2
1131,245,390,2
1132,240,400,2
1133,235,410,2
1134,230,420,2
1135,225,430,2
1136,220,440,2
1137,215,460,2
1138,210,480,2
1139,205,500,2
1140,200,600,2
1141,195,700,2
1142,190,800,2
1143,185,900,2
1144,180,1000,2
1145,175,1500,2
1146,170,2000,2
1147,165,2500,2
1148,160,3000,2
1149,155,3500,2
1150,150,99999,2
2001,3000,,3
2002,2800,2,3
2003,2700,3,3
2004,2600,4,3
2005,2500,5,3
2006,2400,6,3
2007,2300,7,3
2008,2200,8,3
2009,2100,9,3
2010,2000,10,3
2011,1950,11,3
2012,1900,12,3
2013,1850,13,3
2014,1800,14,3
2015,1750,15,3
2016,1700,16,3
2017,1650,17,3
2018,1600,18,3
2019,1550,19,3
2020,1500,20,3
2021,1480,21,3
2022,1460,22,3
2023,1440,23,3
2024,1420,24,3
2025,1400,25,3
2026,1380,26,3
2027,1360,27,3
2028,1340,28,3
2029,1320,29,3
2030,1300,30,3
2031,1280,31,3
2032,1260,32,3
2033,1240,33,3
2034,1220,34,3
2035,1200,35,3
2036,1180,36,3
2037,1160,37,3
2038,1140,38,3
2039,1120,39,3
2040,1100,40,3
2041,1090,41,3
2042,1080,42,3
2043,1070,43,3
2044,1060,44,3
2045,1050,45,3
2046,1040,46,3
2047,1030,47,3
2048,1020,48,3
2049,1010,49,3
2050,1000,50,3
2051,990,51,3
2052,980,52,3
2053,970,53,3
2054,960,54,3
2055,950,55,3
2056,940,56,3
2057,930,57,3
2058,920,58,3
2059,910,59,3
2060,900,60,3
2061,890,61,3
2062,880,62,3
2063,870,63,3
2064,860,64,3
2065,850,65,3
2066,840,66,3
2067,830,67,3
2068,820,68,3
2069,810,69,3
2070,800,70,3
2071,790,71,3
2072,780,72,3
2073,770,73,3
2074,760,74,3
2075,750,75,3
2076,740,76,3
2077,730,77,3
2078,720,78,3
2079,710,79,3
2080,700,80,3
2081,690,81,3
2082,680,82,3
2083,670,83,3
2084,660,84,3
2085,650,85,3
2086,640,86,3
2087,630,87,3
2088,620,88,3
2089,610,89,3
2090,600,90,3
2091,590,91,3
2092,580,92,3
2093,570,93,3
2094,560,94,3
2095,550,95,3
2096,540,96,3
2097,530,97,3
2098,520,98,3
2099,510,99,3
2100,500,100,3
2101,490,105,3
2102,480,110,3
2103,470,115,3
2104,460,120,3
2105,450,130,3
2106,440,140,3
2107,430,150,3
2108,420,160,3
2109,410,170,3
2110,400,180,3
2111,390,190,3
2112,380,200,3
2113,370,210,3
2114,360,220,3
2115,350,230,3
2116,340,240,3
2117,330,250,3
2118,320,260,3
2119,310,270,3
2120,300,280,3
2121,295,290,3
2122,290,300,3
